,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),SPM/RPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman
0,0.247,4.48,1.81,15.0,-1.48,0.7170000000000001,-1.33,0.0381,2.39,-2.63,90.0,247000000.0,2.790415792010349,1.3005972852215975,10.697489248679542,-1.1934876909783014,0.36480486725676264,-1.2251222878885926,1.7883677495607744,0.19319635286408324,0.07465467516216918
1,0.267,2.73,1.68,15.9,-0.192,-0.574,-0.902,5.32,-3.1,7.74,90.0,267000000.0,2.776857132049991,1.3973675358992164,12.32149456192985,-0.43395194371840806,-0.198748830513651,-1.0043481416863127,2.7672518535052606,-0.6056199014303107,3.012539136080623
2,0.317,2.21,2.45,8.51,-1.15,-0.154,-1.5,7.22,-1.65,-0.815,90.0,317000000.0,2.593445093504552,1.7818506503024705,10.709767916734231,-0.9971824891025788,-0.16924538159753405,-1.362261643484182,4.479505552279412,-0.9720499540895688,1.127032527711535
3,0.36700000000000005,1.86,1.22,8.43,-0.332,-0.584,-0.9329999999999999,3.19,-3.19,0.0977,90.0,367000000.0,2.324952087477459,1.5533151485305645,9.666731351474365,-0.4731133486131943,-0.44548352359920373,-1.0510147403796652,3.934449486352032,-1.844801733938752,0.5925140925552468
4,0.41700000000000004,1.86,1.22,8.43,-0.634,-0.0586,-0.9520000000000001,3.64,-3.22,-1.23,90.0,417000000.0,2.1470118420715654,1.4129867418389568,9.088522097506829,-0.599878368281985,-0.1875191546844498,-0.9791994373998917,3.8063267992783785,-2.4069593969244476,-0.36498308640117194
5,0.467,0.304,1.24,2.95,-0.534,0.315,-0.0708,2.39,-1.7,1.7,90.0,467000000.0,1.4301148485939472,1.3393381123416928,6.201245149084359,-0.5479716229686538,0.14758988625754454,-0.3203226216809626,3.184462900174238,-2.114222433688715,0.7227229966322558
6,0.517,-0.792,1.26,10.5,-0.007640000000000001,0.8059999999999999,0.0453,7.07,-1.57,-0.433,90.0,517000000.0,0.5605683204160808,1.3054364719590017,8.226580410467726,-0.12223473732422102,0.5866621591134082,-0.05513015012161465,4.89528686659601,-1.8878850212635254,0.11360562779661709
7,0.5670000000000001,4.39,2.17,9.41,0.0889,-0.55,-1.08,6.82,-0.746,-0.823,90.0,567000000.0,2.062387981452701,1.675311064690647,8.784403780464235,0.04412207435994242,-0.17134201118441705,-0.7984862782683673,5.743494607777514,-1.4122794649358485,-0.3800912490802164
8,0.617,4.39,2.17,9.41,-0.703,-0.7290000000000001,0.16399999999999998,0.6779999999999999,0.647,0.623,90.0,617000000.0,2.9759687304845865,1.8870298858762438,9.079326978895589,-0.5445486930986638,-0.5432265893921265,-0.10037807080396599,3.5105526863588494,-0.554137789055056,0.14866640852049096
9,0.667,4.39,2.17,9.41,-1.32,0.19899999999999998,0.418,2.65,-0.0184,2.31,90.0,667000000.0,3.5311380901190668,2.0081519830462056,9.23522097468698,-1.1555406005443933,-0.04825898035701642,0.27561065896849,3.1311762916679364,-0.33084715289682065,1.2879735716039258
10,0.7170000000000001,-0.29,2.19,11.4,-1.6,1.98,0.915,3.35,-1.51,0.461,90.0,717000000.0,2.0307374285084494,2.0859931883779064,10.255804991912044,-1.505738079144908,1.3043232669144729,0.7393709951513625,3.2276477269990362,-0.8223360101455659,0.8520490502545599
11,0.767,-0.836,-0.304,12.8,0.601,2.97,0.317,4.16,-2.05,6.06,90.0,767000000.0,0.9050439789641718,1.0629276758924924,11.455268217999222,0.1541983032482963,2.4151108037717304,0.4330178941714199,3.6386915878438617,-1.334055190686584,3.597329313516412
12,0.8170000000000001,-0.836,-0.304,12.8,2.81,-0.713,0.836,4.22,-4.67,3.79,90.0,817000000.0,0.2213708735642601,0.477795124157014,12.089243880915712,2.246751614249919,0.32907191903594324,0.7253079126796547,3.8949722247252625,-2.7245647976931866,3.6988922847283527
13,0.867,-1.97,-0.342,16.8,-0.5589999999999999,-0.431,0.831,2.79,-1.83,-1.21,90.0,867000000.0,-0.6391413558760616,0.1268698111624207,14.310136204654706,0.03605004121642885,-0.1777961767817563,0.8019682187666897,3.407824053458155,-2.351685813259254,1.1112552883070674
14,0.917,-1.24,1.11,7.24,-1.1,3.95,-0.276,4.19,-4.45,-2.21,90.0,917000000.0,-0.8750883042611474,0.5477132950572103,10.976910103081742,-0.8590639950565953,2.5749015292771484,0.020098939022497042,3.752661404065332,-3.22632099031988,-0.6394865538853372
15,0.9670000000000001,-1.44,-2.02,5.73,2.13,0.997,0.11699999999999999,4.44,-3.64,0.23600000000000002,90.0,967000000.0,-1.0969196849941514,-0.5514346778113222,8.503246671915125,1.496072738810743,1.5226485251103665,0.09038297977120956,4.055687907050744,-3.398753906644659,-0.17798907920961615
16,1.02,-1.44,-2.02,5.73,-0.509,2.0,0.155,4.35,-3.35,-2.64,90.0,1020000000.0,-1.2316416366089673,-1.1800759960180192,7.195795476019582,-0.08375970911361263,1.8409792368166444,0.13725084047624467,4.185441031280426,-3.3784318859958726,-1.475795269709049
