,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Still,Walk,Run,Cycle,RPM/SPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman
1336,66.9,-3.36,-3.18,8.11,-0.589,0.521,-0.231,-0.436,0.0796,-0.659,0.0,0.0,0.0,1.0,30.0,66900000000.0,-2.8070893149142044,-2.976790515270877,7.8760553636829735,-0.516868222631421,0.4516563900442951,-0.19051035621148515,0.055429852459680795,0.32184587677699694,-0.9404518394560164
1337,66.9,-2.86,-2.81,8.22,-0.86,0.638,-0.128,0.293,0.785,-0.345,0.0,0.0,0.0,1.0,30.0,66900000000.0,-2.837772298425998,-2.8524377317681484,8.086857524673116,-0.777606446085211,0.5830272621968191,-0.14535744230597888,0.1863614840411975,0.5820982914804711,-0.5639666446223126
1338,67.0,-3.51,-2.83,7.78,-1.1,0.638,-0.16899999999999998,-0.12300000000000001,1.19,-0.502,0.0,0.0,0.0,1.0,30.0,67000000000.0,-3.22759889114431,-2.8357089452033906,7.898786166557703,-1.0225861616258736,0.6217826430302845,-0.16243509999063074,0.01586362240430081,0.923686297600111,-0.5247870966296073
1339,67.0,-3.24,-3.79,7.35,-1.2,0.6409999999999999,-0.253,0.349,0.732,-0.581,0.0,0.0,0.0,1.0,30.0,67000000000.0,-3.2347903320594673,-3.547192468639318,7.562437731648057,-1.1573990311682714,0.6353307181186084,-0.22785256647490423,0.19946450195345938,0.8159752393860936,-0.5603287026882325
1340,67.1,-4.02,-5.19,7.19,-1.44,0.8809999999999999,-0.305,-0.205,-0.133,-0.289,0.0,0.0,0.0,1.0,30.0,67100000000.0,-3.6901354563576447,-4.772008076308524,7.3341724896289335,-1.372141270934668,0.8085257288285639,-0.28357824613599947,-0.02344731863925817,0.2827335569373902,-0.3887762263722465
1341,67.1,-4.23,-6.42,6.14,-1.54,0.7020000000000001,-0.536,-0.228,-0.76,-0.795,0.0,0.0,0.0,1.0,30.0,67100000000.0,-4.003204324995108,-6.000688986310565,6.602269888063805,-1.4996933600251272,0.7334258948969724,-0.4659093048954088,-0.13618208427921133,-0.30319215251842635,-0.6456185642465233
1342,67.2,-3.62,-6.73,6.71,-1.47,0.541,-0.7909999999999999,-0.218,-0.135,-0.22899999999999998,0.0,0.0,0.0,1.0,30.0,67200000000.0,-3.780983070635362,-6.544435887641155,6.66829717388897,-1.4771300573250743,0.5977670710537673,-0.7007310987925344,-0.18127424780344858,-0.20868277052743484,-0.3822039439253917
1343,67.2,-3.94,-8.37,6.54,-1.32,0.379,-0.96,-0.0632,-1.51,0.708,0.0,0.0,0.0,1.0,30.0,67200000000.0,-3.8731974360937937,-7.90550780683045,6.589664435671031,-1.3577304583487462,0.44353791289007805,-0.8880080118322831,-0.11620019009876191,-0.9399100502276854,0.3070972183754588
1344,67.3,-3.84,-8.91,6.89,-1.01,0.21899999999999997,-0.83,-0.214,-1.53,1.54,0.0,0.0,0.0,1.0,30.0,67300000000.0,-3.8539461065044214,-8.654419327349116,6.773738562723748,-1.093497803032918,0.2852403460137365,-0.8461072464047944,-0.17010043107231324,-1.271489346359006,1.0866222746485956
1345,67.3,-4.37,-7.69,6.02,-0.7709999999999999,0.155,-0.6579999999999999,-0.987,0.0517,1.04,0.0,0.0,0.0,1.0,30.0,67300000000.0,-4.1532070395650855,-7.9353845586999565,6.3117758462570945,-0.848438910036502,0.19342186808496395,-0.7102322972404229,-0.6203168716390963,-0.5279718309992087,1.057144474231802
1346,67.4,-3.71,-8.41,6.26,-0.623,-0.201,-0.5579999999999999,-0.5720000000000001,-0.391,1.57,0.0,0.0,0.0,1.0,30.0,67400000000.0,-3.8961901429416916,-8.289239883750618,6.280042821801346,-0.6771329115460673,-0.08464262950750592,-0.6002708184431447,-0.5936880924369029,-0.4510055571921707,1.3814066884146627
1347,67.4,-4.35,-8.37,5.55,-0.389,-0.172,-0.3,-1.43,-0.163,1.04,0.0,0.0,0.0,1.0,30.0,67400000000.0,-4.159355607914025,-8.349451506449434,5.83260323846493,-0.4581871138348427,-0.14622893244458848,-0.38337710649551554,-1.0546031990281355,-0.28917144398184885,1.1655461112986476
1348,67.5,-3.63,-8.76,5.31,-0.245,-0.494,-0.0604,-0.865,-0.445,0.902,0.0,0.0,0.0,1.0,30.0,67500000000.0,-3.85238097595271,-8.655541207056524,5.512302216413502,-0.2961909670770354,-0.39140494927622504,-0.15008202215638214,-0.9501075210577894,-0.3767335573090246,0.9989143226018893
1349,67.5,-2.66,-8.93,5.29,0.11699999999999999,-0.332,0.172,0.0094,-0.598,0.865,0.0,0.0,0.0,1.0,30.0,67500000000.0,-3.1609161863811845,-8.860167597499252,5.376054244141009,0.01778366592160241,-0.34952489135958065,0.0825665240447262,-0.4212958001929251,-0.5010660791392126,0.9142445763626672
1350,67.6,-1.83,-7.77,4.82,0.336,-0.0855,0.228,0.867,0.483,0.265,0.0,0.0,0.0,1.0,30.0,67600000000.0,-2.389114441902726,-8.047379586879542,5.035251403436565,0.2595891833752281,-0.1633893009016864,0.18761705104261994,0.2887204275640898,0.05189361321488295,0.5037479425018305
1351,67.6,-2.92,-7.62,4.75,0.28,-0.10099999999999999,0.33799999999999997,-0.132,0.517,0.0467,0.0,0.0,0.0,1.0,30.0,67600000000.0,-2.696976406575193,-7.728741340856826,4.860422203512538,0.27509891026718925,-0.11940530859283456,0.2962427156130477,0.05684950620736773,0.31324302676724985,0.21477111575019747
1352,67.7,-4.15,-9.51,6.37,0.42200000000000004,0.0244,0.35700000000000004,-1.23,-1.5,1.52,0.0,0.0,0.0,1.0,30.0,67700000000.0,-3.539588635214944,-9.056781034925216,5.785635034004553,0.38672577704996647,-0.018023632063043457,0.3401293379698805,-0.6523696474933436,-0.7056421040726037,1.0400256704655282
1353,67.7,-2.92,-7.78,6.22,0.319,-0.0373,0.425,0.172,0.0713,1.23,0.0,0.0,0.0,1.0,30.0,67700000000.0,-3.1802876131469113,-8.10486122822007,6.051855083702828,0.33526246841293866,-0.031613329897499834,0.40143371757955104,-0.19803622591717962,-0.2690681061977814,1.1601403880071275
1354,67.8,-3.39,-7.6,5.45,0.469,-0.174,0.369,-0.20600000000000002,0.0864,0.257,0.0,0.0,0.0,1.0,30.0,67800000000.0,-3.301900434339154,-7.728455596095755,5.68298090873879,0.4368866556416846,-0.13199487360690626,0.3780059587612609,-0.2024252870882127,-0.06932589578823861,0.5891135441900933
1355,67.8,-2.15,-8.36,6.73,0.843,-0.129,0.297,1.13,-0.8909999999999999,1.29,0.0,0.0,0.0,1.0,30.0,67800000000.0,-2.633910422009334,-8.199311116673837,6.324693836912649,0.7454831574252762,-0.12988350511773458,0.3194931607502322,0.5319119547816689,-0.5310353782601502,1.032261657096954
1356,67.9,-3.57,-8.12,6.9,0.894,-0.174,0.32,-0.237,-0.9570000000000001,1.1,0.0,0.0,0.0,1.0,30.0,67900000000.0,-3.17675117219858,-8.140179642965032,6.677296248908502,0.858337801061559,-0.16098530354642768,0.3198592592603451,0.10814283680851866,-0.7703905173330705,1.0750904645012846
1357,67.9,-4.28,-7.44,6.98,0.7,-0.0446,0.6509999999999999,-0.87,-0.583,0.8540000000000001,0.0,0.0,0.0,1.0,30.0,67900000000.0,-3.8165281679182623,-7.618152053883833,6.862821919647925,0.7380204155426076,-0.07893452615466257,0.5590511748257383,-0.4309393361053404,-0.6650933207742219,0.9353020024733134
1358,68.0,-4.89,-7.66,8.66,1.03,-0.982,0.6,-1.42,-1.16,2.2,0.0,0.0,0.0,1.0,30.0,68000000000.0,-4.43903720702647,-7.6493521962597395,7.964303544091553,0.9598891916914906,-0.7155889881733372,0.5886296342369501,-0.9760386059026827,-0.9431878812736627,1.734930213276384
1359,68.0,-3.48,-6.36,6.29,1.23,-0.873,0.371,-0.121,-0.35,-0.6920000000000001,0.0,0.0,0.0,1.0,30.0,68000000000.0,-3.8828890392280786,-6.688059747157461,6.938131009316319,1.1651404070443065,-0.8265626031403277,0.43142986678584655,-0.5048026571678155,-0.6098677972170315,0.20045971335005675
1360,68.1,-1.21,-5.11,6.76,1.42,-0.307,0.0557,2.06,0.381,-0.677,0.0,0.0,0.0,1.0,30.0,68100000000.0,-2.332873732884603,-5.511517796622766,6.828955519029455,1.358802515657507,-0.46027482614236515,0.16003003821378214,0.9087325647898963,-0.05308612884829267,-0.354330050291644
1361,68.1,-2.93,-5.16,7.59,1.41,-0.00122,-0.12,0.217,-0.168,-0.24100000000000002,0.0,0.0,0.0,1.0,30.0,68100000000.0,-2.679148852034307,-5.249439222380888,7.295396079140788,1.3977063209405285,-0.13664457560722904,-0.04224321827336064,0.5274991884650941,-0.11765774479142106,-0.28267507434131744
1362,68.2,-2.67,-4.55,8.53,1.28,0.121,-0.18600000000000003,0.46799999999999997,-0.0519,0.39799999999999996,0.0,0.0,0.0,1.0,30.0,68200000000.0,-2.6738434531097246,-4.727963762608398,8.052078663072226,1.3082638815751868,0.04499294041022056,-0.14608262685300097,0.494707500719096,-0.08070760184418121,0.14769405243978206
1363,68.2,-3.04,-3.81,8.04,1.04,-0.11599999999999999,-0.38,0.045,0.253,-0.335,0.0,0.0,0.0,1.0,30.0,68200000000.0,-2.8861785679760175,-4.043564432086012,8.044675685751754,1.10441609031129,-0.06850588715745855,-0.31504745864695627,0.24686098444900775,0.10680708844273976,-0.15749799688145416
1364,68.3,-0.318,-2.02,7.48,0.606,-0.249,-0.654,2.6,1.76,-1.09,0.0,0.0,0.0,1.0,30.0,68300000000.0,-1.3968851085226033,-2.5348708150536314,7.698588711831285,0.7256807837447465,-0.19575289769728882,-0.5598820208432195,1.543742368578637,1.0357579468843452,-0.7470892735014648
1365,68.3,-1.32,-3.28,7.91,0.47100000000000003,-0.0623,-0.8420000000000001,1.36,0.384,-0.784,0.0,0.0,0.0,1.0,30.0,68300000000.0,-1.3522992638840217,-3.0904111149363005,7.82816157017077,0.5321545049780787,-0.10166959403793034,-0.7636634609037887,1.4424767625876003,0.6695265770220225,-0.7704267348865497
1366,68.4,-1.54,-2.72,8.72,0.532,-0.12300000000000001,-1.03,0.95,0.8420000000000001,-0.0724,0.0,0.0,0.0,1.0,30.0,68400000000.0,-1.4611473884210437,-2.8142465275924375,8.374765176514291,0.5320371040643478,-0.1167073745634056,-0.956045514475851,1.1710588894233185,0.7664416685550604,-0.32908671045310467
1367,68.4,-1.99,-2.38,9.51,0.478,0.0892,-1.03,0.295,1.08,0.623,0.0,0.0,0.0,1.0,30.0,68400000000.0,-1.7678304033901069,-2.4904887192530456,9.070545227164471,0.4909754982602894,0.02845579681532387,-1.0094648157423038,0.6882380613135246,0.9426342475804965,0.27288734673944226
1368,68.5,-4.34,-2.96,10.7,0.47100000000000003,-0.0715,-0.6829999999999999,-2.19,0.375,1.68,0.0,0.0,0.0,1.0,30.0,68500000000.0,-3.2594383527503825,-2.8405387161947493,10.069230027551615,0.4757965503367741,-0.04201230155147914,-0.773650483923628,-0.8980403360230145,0.6236730900977305,1.1625597358477395
1369,68.5,-3.34,-2.51,9.49,0.41,-0.569,-0.272,-1.4,0.66,0.419,0.0,0.0,0.0,1.0,30.0,68500000000.0,-3.3061562124339545,-2.594101462660583,9.714222616250415,0.4257992111424352,-0.41353472765057386,-0.4112948036875018,-1.1746844845227018,0.6440856738075359,0.6924306456324846
1370,68.6,-2.8,-1.9,9.11,0.436,-0.414,0.088,-1.08,1.06,-0.0794,0.0,0.0,0.0,1.0,30.0,68600000000.0,-3.012634876431363,-2.0766054759827757,9.343897298564832,0.43355055594299263,-0.41386274440251464,-0.050640684564836225,-1.122501211944085,0.8777933776861616,0.20442675971565427
1371,68.6,-2.71,-2.57,7.87,0.41100000000000003,-0.14400000000000002,0.39899999999999997,-1.05,0.14400000000000002,-1.41,0.0,0.0,0.0,1.0,30.0,68600000000.0,-2.8371361440171645,-2.4444618434539587,8.44055273169685,0.41641489974348833,-0.22361150509702285,0.2741469158974032,-1.0825437180916144,0.4654652137763924,-0.816323734477438
1372,68.7,-2.19,-2.14,6.18,-0.168,-0.0452,0.8540000000000001,-0.48700000000000004,0.42200000000000004,-3.13,0.0,0.0,0.0,1.0,30.0,68700000000.0,-2.4618602386516963,-2.217466611689811,7.055070834960302,-0.02766899404325629,-0.09783271717662606,0.69299043669587,-0.7543227322223485,0.4410415327789803,-2.2791874679148787
1373,68.7,-2.15,-1.65,5.48,-1.14,0.45799999999999996,0.8,-0.282,1.08,-3.75,0.0,0.0,0.0,1.0,30.0,68700000000.0,-2.281011727795629,-1.7943848114462326,6.089717580786347,-0.8729045964955172,0.29402523235586514,0.770286342526079,-0.4940123244244905,0.8000807324841688,-3.2091352905687014
1374,68.8,-2.89,-3.01,6.43,-1.37,1.08,0.84,-0.513,0.226,-2.52,0.0,0.0,0.0,1.0,30.0,68800000000.0,-2.634165676770585,-2.7007018107885497,6.298274917827263,-1.2506363508395062,0.8481316491866495,0.8206423808963348,-0.5044769755388752,0.47749720804574747,-2.773417028223537
1375,68.8,-3.88,-4.18,8.62,-1.6,0.794,0.5,-0.8859999999999999,-0.418,0.0766,0.0,0.0,0.0,1.0,30.0,68800000000.0,-3.356628318046663,-3.8036108263564152,7.721248875753667,-1.5161100424307234,0.8099692585051269,0.5890337306721704,-0.7147450879446702,-0.025694470836883476,-0.9714422201836923
1376,68.9,-2.48,-3.39,7.02,-1.61,0.19399999999999998,0.139,0.768,1.03,-1.11,0.0,0.0,0.0,1.0,30.0,68900000000.0,-2.8482692800047995,-3.495238214338253,7.291456833529752,-1.5874549456448663,0.3757155000486533,0.2639622134376973,0.10243765215157008,0.5675141360715383,-1.059047891296832
1377,68.9,-3.11,-5.27,6.88,-1.48,0.27899999999999997,-0.121,0.242,-0.261,-0.8540000000000001,0.0,0.0,0.0,1.0,30.0,68900000000.0,-3.000047546653992,-4.8184338988001825,7.039277008522641,-1.5058023347954967,0.3075317991596097,-0.014106388225360311,0.1793544068731019,0.10196113021247838,-0.9294026363029316
1378,69.0,-4.01,-8.15,7.14,-1.43,0.41600000000000004,-0.305,-0.5539999999999999,-2.57,-0.146,0.0,0.0,0.0,1.0,30.0,69000000000.0,-3.5857217424408843,-7.302324112032883,7.101009559036247,-1.448201785198837,0.38400108297915236,-0.2242267043551633,-0.22481795033809643,-1.399448971769994,-0.43408215052095106
1379,69.0,-2.97,-6.76,5.92,-1.47,0.654,-0.523,0.5429999999999999,-0.601,-0.845,0.0,0.0,0.0,1.0,30.0,69000000000.0,-3.2286631139308586,-6.897987803196576,6.37717458229987,-1.464765785968852,0.5743483075077698,-0.4400387251355869,0.19834821949174275,-0.9507899879012698,-0.6938924102805123
1380,69.1,-3.98,-6.95,5.92,-1.49,0.862,-0.7090000000000001,-0.43700000000000006,-0.193,-0.242,0.0,0.0,0.0,1.0,30.0,69100000000.0,-3.664365345755962,-6.936766000510589,6.096974547706693,-1.4839407117057963,0.7771406109500105,-0.634316710696529,-0.15181014964648404,-0.5249778183195768,-0.4081752607007233
1381,69.1,-5.0,-9.96,5.78,-1.18,0.445,-0.645,-1.49,-2.68,0.22699999999999998,0.0,0.0,0.0,1.0,30.0,69100000000.0,-4.4389033669471445,-9.190775697490354,5.902702515304444,-1.2529828791623259,0.5429839365780036,-0.642033525270541,-0.8893244131848794,-1.7359131938587382,-0.006574216357505713
