,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Time (s).1,Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Time (s).2,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Sitting,Walking,Running,Biking,RPM,COUNT,Time(m),Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman
3211,160.62129290000001,-5.26690197,-6.3547387120000005,6.3550376889999995,160.66867219999997,0.232735157,-0.3291544914,1.622440815,165.5373236,0.8596147895,-0.3920875788,0.5303681493,0,0,0,1,32,,,-5.475745897061296,-6.393234425356934,6.756554761652952,0.8036031001137808,-0.3338748481618159,0.4959739013653032,0.11255701084270325,-0.3475546498734036,1.1752488478001406
3212,160.6712929,-5.25254488,-6.792924404,7.152146816,160.7186722,-0.4502434731,-1.147643089,1.182413578,165.58885869999997,0.9991170764,-0.5554892421000001,0.6622347832,0,0,0,1,32,,,-5.351088720101667,-6.6622487182686605,6.957251968257742,0.9471546859237986,-0.48842082544613463,0.6131848757097568,-0.18051925598357554,-0.7380357999770324,1.1790099862913457
3213,160.7212929,-5.841478348,-7.613961697000001,6.498607159,160.7686722,-0.1784324646,-0.3453350067,1.128939629,165.6403938,1.033935308,-0.6972057818999999,0.7585195898999999,0,0,0,1,32,,,-5.624970028428905,-7.302806169081283,6.724565970044802,1.0108713378939698,-0.6340200104677424,0.7156432728459402,-0.17943256710188757,-0.5463791657292341,1.152725458689477
3214,160.7712929,-5.594718456,-6.80249548,6.567998886,160.81867219999998,0.3089361191,-0.028134346010000002,0.7069649695999999,165.69192900000002,1.130449176,-0.6878139973,0.7020162343999999,0,0,0,1,32,,,-5.608074605494384,-6.966068363495804,6.645134201820817,1.098668581806896,-0.671534018990838,0.7060364523084628,0.07488361683275832,-0.2934510851956426,0.9187226590519766
3215,160.8212929,-5.201996326000001,-6.460022926000001,6.091827392999999,160.8686722,0.7713780403,-0.38207006450000003,0.6400704384,165.74346409999998,1.126631379,-0.6912500262000001,0.8119687438,0,0,0,1,32,,,-5.381280962089202,-6.625470743627434,6.364422974891594,1.119199614807031,-0.6852832595184071,0.7807168399343702,0.4375805073652079,-0.3367013551311282,0.7724436563983579
3216,160.87129290000001,-4.840680122,-6.725925446000001,6.154040813,160.91867219999997,-0.11567354199999999,-0.35672140119999995,0.7471823692,165.79499919999998,1.117316008,-0.7524874806,0.6492542624000001,0,0,0,1,32,,,-5.079356824816826,-6.693082522864764,6.257689000762065,1.1178166200732342,-0.7321490873531843,0.6880380532613581,0.14947551093953704,-0.34647208825840414,0.7591826966128199
3217,160.9212929,-5.803193092000001,-6.4073810579999995,6.4555363660000005,160.9686722,0.01968574524,-0.4034466743,0.8971734047,165.8465343,0.8316685557,-0.3378748894,0.4933355153,0,0,0,1,32,,,-5.483617463250157,-6.500789041157351,6.358063649284554,0.9077190649372898,-0.4571963184095155,0.550776215489769,0.08188797131910938,-0.37427839166984,0.8316211760378523
3218,160.9712929,-5.42961359,-6.316453457000001,6.845865726,161.0186722,0.34639692310000003,-0.10146808619999999,0.3933548927,165.89806940000003,0.5693096518999999,-0.07391251624,0.3765109777,0,0,0,1,32,,,-5.453456443196158,-6.376720614389052,6.605542113851135,0.6592498310492555,-0.18990785966972662,0.4279223121037695,0.21963002794150796,-0.24113400840589994,0.6015524736767929
3219,161.0212929,-5.455934525,-5.787340641,6.853044033,161.06867219999998,-1.401710033,-1.2479929920000001,0.3357586861,165.9496045,0.2895416021,0.09720107168,0.2901524603,0,0,0,1,32,,,-5.454840445061673,-5.980034069300323,6.731108194450964,0.38780017022893226,0.010311672999455096,0.3307970088732326,-0.6246768019844665,-0.7325290026232002,0.4620235294242724
3220,161.0712929,-6.765407085,-6.440880299,6.934400082000001,161.1186722,0.417632103,-0.038121223450000005,0.1121931076,166.0011396,-0.030771430580000002,0.2549523711,0.08567132801,0,0,0,1,32,,,-6.186788442843731,-6.290210028417745,6.834245033041763,0.0804737160607834,0.18091537389949247,0.15798774924028663,-0.08189830146103494,-0.39362503289606915,0.27837939739784817
