,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Still,Walk,Run,Cycle,SPM/RPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman
3684,184.0,-6.39,-5.67,6.24,0.894,-0.597,0.983,-0.727,-0.185,0.409,0.0,0.0,0.0,1,60,184000000000.0,-6.665595145987245,-5.785019530364321,6.161091788471456,0.8698042098407136,-0.5628490303430509,0.9445796839854546,-1.1091824093528495,-0.08671483885351844,0.6426182456907479
3685,184.0,-5.66,-4.78,6.91,1.09,-1.33,1.04,-0.187,0.10400000000000001,0.401,0.0,0.0,0.0,1,60,184000000000.0,-5.997132677445731,-5.043100362818428,6.5680862338189145,1.0431264329815924,-1.15744599513987,1.017352816941196,-0.5570641747698943,0.015156994345083136,0.4870414489482737
3686,184.0,-3.29,-2.99,6.81,1.15,-1.78,0.894,1.75,1.24,-0.461,0.0,0.0,0.0,1,60,184000000000.0,-4.197585065897922,-3.5274732760154786,6.699554355472789,1.1272495548495922,-1.6399699032543738,0.9232766771578129,0.824194234864047,0.6694165301226075,-0.12339774391727243
3687,184.0,-3.96,-3.62,6.81,1.33,-1.98,0.802,0.5,-0.0366,-1.15,0.0,0.0,0.0,1,60,184000000000.0,-4.0396520740035315,-3.595777699347817,6.759576063091438,1.2868400719168147,-1.903517590075034,0.8307839182307042,0.6300964641310465,0.29229224376372576,-0.7844218391535189
3688,184.0,-2.59,-1.07,6.63,1.29,-1.72,0.624,1.33,1.93,-1.84,0.0,0.0,0.0,1,60,184000000000.0,-3.0760059007742164,-1.7312136945938987,6.689157951386262,1.2893273086855477,-1.7612783395942122,0.673078313364708,1.049134527614966,1.1670867020963753,-1.4641034128684598
3689,184.0,-2.48,-1.05,5.91,0.835,-0.986,0.502,1.22,1.59,-2.78,0.0,0.0,0.0,1,60,184000000000.0,-2.679815143407461,-1.2283322849988647,6.265724104495229,0.9317137008119462,-1.1603821155259197,0.542603879665587,1.1514331167686742,1.3929891862245465,-2.311402692670679
3690,185.0,-2.78,-1.16,6.34,0.363,-0.28,0.48100000000000004,0.948,1.35,-2.38,0.0,0.0,0.0,1,60,185000000000.0,-2.7464123098006943,-1.1778884221494967,6.3060894586067,0.4840634210689778,-0.4780229392158062,0.49562113161068283,1.0296360348724256,1.370026186823712,-2.35557223296306
3691,185.0,-2.94,-1.33,6.76,-0.11,0.41700000000000004,0.213,1.1,1.28,-1.79,0.0,0.0,0.0,1,60,185000000000.0,-2.875098416132901,-1.2901793251643996,6.552767485341629,0.01645967151227118,0.21568392137360415,0.2800775838330176,1.0717635372463516,1.3219379753655265,-1.9914030474108693
3692,185.0,-4.37,-1.67,7.43,-0.602,0.982,-0.0317,0.132,1.3,-0.7559999999999999,0.0,0.0,0.0,1,60,185000000000.0,-3.868823752652359,-1.5705681707192722,7.029499824667684,-0.4703470405162822,0.8096337474046998,0.04229760582316636,0.5091193316484368,1.3102196077069348,-1.195933129576424
3693,185.0,-3.89,-1.81,6.43,-1.08,1.38,-0.265,1.1,1.72,-1.24,0.0,0.0,0.0,1,60,185000000000.0,-3.8829005852718144,-1.7473200175521506,6.703701262909806,-0.9502217812019778,1.2517084292112144,-0.19206566563532154,0.8628844908962894,1.5291070444034294,-1.2243075754336776
3694,185.0,-4.42,-3.25,5.9,-1.42,1.46,-0.5329999999999999,0.998,0.995,-1.08,0.0,0.0,0.0,1,60,185000000000.0,-4.239933729847737,-2.856619171173244,6.266929476301305,-1.3199971771147103,1.4131493403697286,-0.4520822956761217,0.9437792795323247,1.2438095658914907,-1.1313886696268127
3695,185.0,-6.22,-6.03,5.84,-1.64,1.8,-0.9279999999999999,-0.515,-0.9359999999999999,-0.295,0.0,0.0,0.0,1,60,185000000000.0,-5.556168847939697,-5.19925295973329,6.034914529696122,-1.5718802387609627,1.7129862641612328,-0.8150451920697659,0.07039606378555163,0.07944713730960729,-0.5928421372789114
3696,185.0,-7.29,-8.46,5.84,-1.65,1.2,-1.25,-1.64,-2.51,0.47,0.0,0.0,0.0,1,60,185000000000.0,-6.7087210009607166,-7.606381567625213,5.928988217574949,-1.6333704447935538,1.3153852152134005,-1.1467673875466537,-0.9536322025218471,-1.3037264243014852,0.09151665264129916
3697,185.0,-6.98,-8.22,5.95,-1.79,0.772,-1.3,-1.55,-1.5,1.32,0.0,0.0,0.0,1,60,185000000000.0,-6.8890518381952655,-8.059363381348222,5.940406977199343,-1.756657869913854,0.894222777053152,-1.263631580968995,-1.3106825085542728,-1.4085674993855533,0.8825310322809325
3698,185.0,-7.92,-8.57,6.4,-1.52,0.569,-1.13,-2.72,-1.3,2.38,0.0,0.0,0.0,1,60,185000000000.0,-7.574367496645986,-8.436322172949598,6.190173078633635,-1.5703778997306073,0.6421518424559529,-1.161716250461906,-2.15445256823018,-1.3505752897186436,1.8467439611953584
3699,185.0,-7.16,-6.94,5.6,-0.932,0.42,-0.526,-1.99,0.535,1.91,0.0,0.0,0.0,1,60,185000000000.0,-7.298919488801182,-7.331716484505576,5.869443182962226,-1.067892983210433,0.46996824772616563,-0.6768815530032566,-2.05599346069201,-0.34338039569339496,1.8874741899459198
3700,185.0,-6.49,-7.35,5.68,-0.316,0.212,-0.0335,-1.28,0.131,2.07,0.0,0.0,0.0,1,60,185000000000.0,-6.761195742379059,-7.345213558206613,5.766490100645475,-0.47605723083559737,0.27002438258528694,-0.1862008268139001,-1.5913997382279135,-0.0899863755414364,2.0050016124772134
