,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Time (s).1,Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Time (s).2,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Standing,Walking,Running,Biking,SPM,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman
0,0.419962812,-2.987738132,2.0748763080000003,10.89661503,0.351761406,-0.8079357147,0.28108143809999997,-0.2791233063,0.402790365,0.1282779276,0.7296570539,0.6288672686,0.0,1.0,0.0,0.0,60.0,-1.887227331527783,1.2098770361587259,6.275242537229112,-0.005713208929185641,0.8693374128957065,0.567971122799368,-0.4773846593896236,0.12673011245166108,-0.19940249075068528
1,0.469962812,-2.388934374,1.861616015,8.988637923999999,0.401761406,-0.8079357147,0.28108143809999997,-0.2791233063,0.452790365,0.1509556323,1.929513812,0.661929369,0.0,1.0,0.0,0.0,60.0,-2.030717130576589,1.437236384767,6.661359850798257,0.04370662442099685,1.1108704068892798,0.6156490323499132,-0.6532817644298203,0.20595574289892568,-0.2288735665030852
2,0.519962812,-3.983451605,1.23679018,7.118647575,0.45176140600000003,-0.8079357147,0.28108143809999997,-0.2791233063,0.502790365,-0.21158221359999999,1.8546849490000001,0.7323294878000001,0.0,1.0,0.0,0.0,60.0,-2.822017571042558,1.3433558730058044,6.768444767091261,-0.06261395562115625,1.3559350813981121,0.6848932205553935,-0.7497381845990065,0.25175435714062694,-0.25334880630473644
3,0.569962812,-3.983451605,1.23679018,7.118647575,0.501761406,0.872985363,-1.433287859,-0.106297493,0.552790365,-0.6890357137,0.9822424054000001,0.9594883323000001,0.0,1.0,0.0,0.0,60.0,-3.338402907057056,1.2900604795567432,6.868082719144624,-0.3438509446782521,1.2168259561077999,0.851623999384652,0.2826799993014433,-0.7993353930590459,-0.17744040718648424
4,0.619962812,-1.912762642,1.607976794,5.02163744,0.551761406,0.1649603844,-1.043802857,-1.671965599,0.602790365,-1.681891561,0.2803025246,1.010264993,0.0,1.0,0.0,0.0,60.0,-2.6876007136548408,1.4515397119127298,6.296811855428144,-0.9575416019570426,0.8528231363463096,0.9482833005034662,0.20758940906543097,-0.9523154935500473,-0.958968291537028
5,0.6699628120000001,4.007977962,2.998805046,24.86382103,0.601761406,0.1649603844,-1.043802857,-1.671965599,0.652790365,-2.147357225,0.2712161839,0.5144860743999999,0.0,1.0,0.0,0.0,60.0,0.3922804705704226,2.2403577917150566,12.257804338778275,-1.506610512124239,0.6232339649938587,0.6838329601928008,0.1803881267135585,-1.0095909342652154,-1.3329016007916805
6,0.719962812,-7.486244677999999,-0.8769695163,4.786841869,0.651761406,1.4643435480000002,-0.1523180008,-3.985174179,0.702790365,-0.6853706240999999,0.9839985967,-0.281524241,0.0,1.0,0.0,0.0,60.0,-3.2397421992615025,0.6496894239547313,9.819378314722371,-1.1269578519450736,0.7664456360325218,0.09528710673671636,0.9997074816775515,-0.47286388787164757,-2.7248071963158527
7,0.769962812,-7.486244677999999,-0.8769695163,4.786841869,0.7017614059999999,3.9899876119999997,0.8040291071,-0.6826791763,0.752790365,-1.138924718,1.206957817,0.8328902125,0.0,1.0,0.0,0.0,60.0,-5.198644208216079,-0.12947941549721698,8.164685915675982,-1.1324928681094246,0.9416691825055484,0.544984446066888,2.9078801451103997,0.32658859122446304,-1.652944903167826
8,0.769962812,-4.644169807,1.009472013,9.168100357,0.751761406,3.9899876119999997,0.8040291071,-0.6826791763,0.802790365,-0.6585696936,2.4669065480000003,1.139840961,0.0,1.0,0.0,0.0,60.0,-4.942818977877306,0.45184274588225637,8.49569594136068,-0.9132575444212316,1.5488115969181462,0.907653595291289,3.5984005543953232,0.6255106387880451,-1.1436594675257914
9,0.869962812,-5.022534847,-0.1755733639,12.41934776,0.8017614059999999,3.9899876119999997,0.8040291071,-0.6826791763,0.852790365,-0.8777111769,2.321525097,0.6564317346,0.0,1.0,0.0,0.0,60.0,-4.979600527560651,0.13160490779888512,9.791954458976358,-0.8968132090301786,1.856482902243183,0.7544898622218105,3.8482822809589035,0.7372797773091275,-0.9016924313710304
10,0.9199628120000001,-6.916453838,-0.08943174778999999,9.299705505,0.8517614059999999,2.045610905,1.070637703,0.1600513458,0.902790365,-0.3065689802,2.116891146,0.2026485801,0.0,1.0,0.0,0.0,60.0,-5.873294323718699,0.018785828381990236,9.62922255595853,-0.6237531406902566,1.9601796162232283,0.4180459148281086,2.6979515094821633,0.9459927995924687,-0.3443856701876149
11,0.969962812,-7.538887024,1.1338988540000001,8.083553314,0.901761406,1.4730033869999999,0.01213511825,0.44655561450000003,0.952790365,0.5996229649,1.6588320730000001,0.6402443051,0.0,1.0,0.0,0.0,60.0,-6.64182779615924,0.5879498566538481,9.11809078371039,-0.0577902150982299,1.8401763552777561,0.5535147651127943,1.9162807406456954,0.3613111564769629,0.07077767222206999
12,1.019962812,-8.271389961,3.789034605,5.694319725,0.9517614059999999,1.4730033869999999,0.01213511825,0.44655561450000003,1.002790365,1.1296093459999998,0.2768665254,0.2907632887,0.0,1.0,0.0,0.0,60.0,-7.393737139545281,2.2218134690048537,7.985746376549448,0.4915296682209064,1.217623930286419,0.39332170339833405,1.6334141087246146,0.14269452576083588,0.26802270556378405
