,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Time (s).1,Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Time (s).2,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Sitting,Walking,Running,Biking,SPM,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman
0,0.269962812,-1.6923238040000002,3.350848913,8.229515076,0.162494531,-0.2067585886,0.5624217987,-1.6480016709999998,0.152790365,0.4132381678,-0.06337540597,0.1136175916,0.0,1.0,0.0,0.0,60,-1.1778117838707813,1.9753516854769284,5.735782307047318,0.18420807487796378,0.17056226526193755,0.013291810445004128,0.041823120411713564,0.3171026075008863,-0.8930130451778054
1,0.319962812,-1.45782721,3.1977083680000002,10.35075283,0.201761406,0.960416913,0.6101202965,-1.277326584,0.202790365,-0.02725905925,0.6281800270000001,-0.17622943219999998,0.0,1.0,0.0,0.0,60,-1.2579599154764287,2.4021667551432535,6.392810447306425,0.1175009591928448,0.27484796284390245,-0.08289987031274566,0.5308899192284295,0.4676143594731038,-1.035185899920363
2,0.36996281200000003,-2.987738132,2.0748763080000003,10.89661503,0.251761406,0.0,0.0,0.0,0.252790365,-0.16408884529999998,0.6944569945,-0.2050156146,0.0,1.0,0.0,0.0,60,-1.9593169059365567,2.248777544970636,7.447908374865822,0.00022558656106751174,0.4131273236326003,-0.15538087586854837,0.19966370564322566,0.18240341380036246,-0.5307270275281255
3,0.419962812,-2.987738132,2.0748763080000003,10.89661503,0.301761406,-0.4419744015,-0.021548509599999998,-1.7234659190000001,0.302790365,-0.10185877980000001,0.186919257,-0.1936385781,0.0,1.0,0.0,0.0,60,-2.4167760356717927,2.1617601215995537,8.429445671891992,-0.04560626849209816,0.32890488235468823,-0.17861364132142388,-0.20868707362124012,0.055128202820193706,-1.146672255077389
4,0.469962812,-2.388934374,1.861616015,8.988637923999999,0.351761406,-0.8079357147,0.28108143809999997,-0.2791233063,0.352790365,-0.02909160033,0.09758284687999999,-0.1378224194,0.0,1.0,0.0,0.0,60,-2.4040610770177695,2.0092333342077877,8.602503847621707,-0.03803180122405443,0.23898159021451726,-0.15375644563926558,-0.5910470092307756,0.19658171101535246,-0.6928371977656425
5,0.519962812,-3.983451605,1.23679018,7.118647575,0.401761406,-0.8079357147,0.28108143809999997,-0.2791233063,0.402790365,0.1282779276,0.7296570539,0.6288672686,0.0,1.0,0.0,0.0,60,-3.130849246337302,1.6152435395711349,8.125983451572523,0.038716131669881526,0.4327043155041145,0.3234070069453201,-0.7294829784128315,0.24950451559020137,-0.47578446504916394
6,0.569962812,-3.983451605,1.23679018,7.118647575,0.45176140600000003,-0.8079357147,0.28108143809999997,-0.2791233063,0.452790365,0.1509556323,1.929513812,0.661929369,0.0,1.0,0.0,0.0,60,-3.5240547656848658,1.4220404072724397,7.797121735260749,0.09060377262047685,1.026973582670519,0.5298196828219234,-0.7795600924075353,0.26928259891187295,-0.37253971000752695
7,0.619962812,-1.912762642,1.607976794,5.02163744,0.501761406,0.872985363,-1.433287859,-0.106297493,0.502790365,-0.21158221359999999,1.8546849490000001,0.7323294878000001,0.0,1.0,0.0,0.0,60,-2.780481092785773,1.5169823182040563,6.884330942763526,-0.04916641792994626,1.3562607544251917,0.6533007463803168,0.27528119586189737,-0.7971250322417087,-0.23274510013928387
8,0.6699628120000001,4.007977962,2.998805046,24.86382103,0.551761406,0.1649603844,-1.043802857,-1.671965599,0.552790365,-0.6890357137,0.9822424054000001,0.9594883323000001,0.0,1.0,0.0,0.0,60,0.3528126164086318,2.2736615430065834,12.81683799277809,-0.3451690816211929,1.2073565371166426,0.8400000476122174,0.20486193173800488,-0.9516322545651201,-0.9884553251400178
9,0.719962812,-7.486244677999999,-0.8769695163,4.786841869,0.601761406,0.1649603844,-1.043802857,-1.671965599,0.602790365,-1.681891561,0.2803025246,1.010264993,0.0,1.0,0.0,0.0,60,-3.26559080285579,0.6648011087733035,10.163359741254851,-0.9635614376301371,0.8381798066659027,0.9438199173408149,0.17939223256684117,-1.0093635330499746,-1.3473576485625471
10,0.769962812,-7.486244677999999,-0.8769695163,4.786841869,0.651761406,1.4643435480000002,-0.1523180008,-3.985174179,0.652790365,-2.147357225,0.2712161839,0.5144860743999999,0.0,1.0,0.0,0.0,60,-5.213818091655553,-0.12250178662589462,8.385540942195348,-1.511213840422992,0.6123786404798894,0.682031529040702,0.9995941051863482,-0.4725509926295013,-2.7324430244409537
11,0.769962812,-4.644169807,1.009472013,9.168100357,0.7017614059999999,3.9899876119999997,0.8040291071,-0.6826791763,0.702790365,-0.6853706240999999,0.9839985967,-0.281524241,0.0,1.0,0.0,0.0,60,-4.950870843226985,0.45553936579367194,8.644381223899916,-1.1291575482011749,0.7603866141473674,0.09449873165869471,2.9084028896155445,0.32703804066976283,-1.6561365484319919
12,0.869962812,-5.022534847,-0.1755733639,12.41934776,0.751761406,3.9899876119999997,0.8040291071,-0.6826791763,0.752790365,-1.138924718,1.206957817,0.8328902125,0.0,1.0,0.0,0.0,60,-4.983950688735754,0.1332623037639169,9.893158611546893,-1.133676096514322,0.9382482433599715,0.5447365136936435,3.5987931057076543,0.6258025490243176,-1.1449856834545442
