,Unnamed: 0,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Still,Walk,Run,Cycle,SPM/RPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq
0,0,0.0481,2.33,4.13,9.51,-0.542,0.687,0.106,0.537,1.55,0.227,,,,,160,48100000.0,1.463419736700115,2.6484537738988654,6.092889287550026,-0.3187510235565466,0.3145161461482566,0.03330267414380804,0.3877622363809398,1.033243588940277,-0.013169637769090844,,,,,,,,,
1,1,0.0982,2.42,4.35,9.29,0.0589,-0.055,-0.0525,0.847,1.87,-0.0648,,,,,160,98200000.0,1.6602537775924904,3.394926273954203,6.779927689281071,-0.08911621004342163,0.25650043551558466,-0.006259237643385658,0.5012641249495172,1.4085110271714023,-0.02696445673141645,,,,,,,,,
2,2,0.14800000000000002,2.19,4.28,8.2,0.142,0.18600000000000005,-0.0231,0.643,1.69,-1.13,,,,,160,148000000.0,1.8275763887474807,3.8808051418069263,7.241242301112036,0.0662071802422998,0.2398657520319153,-0.01569812932973936,0.5528653347536601,1.5653579152739998,-0.4509916883185031,,,,,,,,,
3,3,0.198,1.97,4.4,8.49,-0.117,0.191,-0.16399999999999998,0.515,1.73,-0.831,,,,,160,198000000.0,1.8793860668141382,4.176922036259316,7.7051696696326575,-0.0581536042633876,0.22621184894538265,-0.10154665091248984,0.5374134311991194,1.6604457630034144,-0.6128193793044563,,,,,,,,,
4,4,0.248,1.59,3.95,9.46,-0.0547,0.306,-0.17600000000000002,0.237,1.29,0.113,,,,,160,248000000.0,1.7686686783032963,4.046612647942329,8.388528798215804,-0.05580690451702141,0.25025202163385696,-0.14488702741656692,0.410307538592752,1.4451642974127332,-0.2940435918950315,,,,,,,,,
5,5,0.298,1.73,4.04,8.31,0.116,0.0745,-0.0616,0.478,1.29,-1.02,,,,,160,298000000.0,1.7536000193019678,4.042810651677739,8.357430065178868,0.06094686290224805,0.19544862856056294,-0.09635741128122507,0.4392840876355468,1.3548940243840704,-0.6159029604575265,,,,,,,,,
6,6,0.348,1.14,3.91,8.3,-0.187,0.458,-0.0781,-0.0111,1.12,-1.03,,,,,160,348000000.0,1.5128742523778669,3.9664335983170464,8.33454895845933,-0.10755069255893053,0.2786169333732889,-0.08571740506818849,0.2457634147218828,1.218213353957578,-0.8000297664488614,,,,,,,,,
7,7,0.398,1.09,3.78,11.7,0.0932,0.373,-0.0665,0.157,1.08,2.27,,,,,160,398000000.0,1.3465633664864545,3.8592145520534142,9.67832365819932,0.028873849241497218,0.30873186103686856,-0.07451760569104132,0.20757696963047248,1.1377868120841923,0.5662665122557853,,,,,,,,,
8,8,0.448,1.61,4.92,7.18,0.0272,-0.234,-0.145,0.68,2.06,-2.15,,,,,160,448000000.0,1.4502635353521405,4.469282797904186,8.679998708014091,0.027736348335539198,0.1349833962012882,-0.11559457148294365,0.4108962227767735,1.6744271821199492,-0.642921698118853,,,,,,,,,
9,9,0.498,1.47,3.81,9.14,-0.318,0.2,-0.0366,0.58,1.02,-0.214,,,,,160,498000000.0,1.4580352694072818,4.090122212172323,8.863866237845377,-0.20721640384059214,0.1558296053205801,-0.06955668679484793,0.483683680729796,1.2936123800605384,-0.4519644213601082,,,,,,,,,
