,Unnamed: 0,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Time (s).1,Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Time (s).2,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Sitting,Walking,Running,Biking,SPM,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq
43,43,2.1326512,-9.00150013,-9.634700775,-6.841379166,2.29465818,0.07170009613,1.540316582,0.7358776331,2.3060993780000003,0.6152759193999999,0.4963133931,-1.707394481,0.0,1.0,0.0,0,30.0,,,,,,-6.040602399894831,-7.3463125148048425,-5.233025667414347,0.5485841229385979,0.18671739047997293,-1.4227059743394102,-0.9661584417061536,0.7409331648741242,0.2402468305497425,,,,,,,,,
44,44,2.1826512000000005,-8.936893462999999,-8.195716857999999,-4.468596458,2.34465818,-0.2887825966,1.728999615,1.953124523,2.356099378,0.9087116718,-0.01580567285,-2.001670122,0.0,1.0,0.0,0,30.0,,,,,,-7.469291040651214,-7.731363194256117,-4.726778659610964,0.8248621105392195,0.04507464606966405,-1.8244448562039477,-0.5268150476755369,1.4131220249859706,1.5409258119832543,,,,,,,,,
45,45,2.2326512000000003,-5.211567879,-7.025028229,-0.8991031051,2.39465818,-0.2887825966,1.728999615,1.953124523,2.406099378,0.4579063654,-1.124188066,-1.463437319,0.0,1.0,0.0,0,30.0,,,,,,-6.355596537927128,-7.411168506540892,-2.1918816756026973,0.5433457557939322,-0.7726968051461953,-1.5739444323523584,-0.3724281062103516,1.628015868420582,1.8539301800811077,,,,,,,,,
46,46,2.2826512,-4.536492825,-7.597211838,0.0466600433,2.44465818,-0.2887825966,1.728999615,1.953124523,2.456099378,0.029397023839999994,0.1289651245,-0.4999784827000001,0.0,1.0,0.0,0,30.0,,,,,,-5.4582651734661205,-7.495505385293709,-0.7093963993659154,0.14906122568494035,-0.14208284868564106,-0.828727511065084,-0.318175947150203,1.6967158524375965,1.929253711749436,,,,,,,,,
47,47,2.3326512000000004,-4.536492825,-7.597211838,0.0466600433,2.49465818,-2.538100243,-2.473462105,1.3641139269999998,2.506099378,-0.3387911618,1.496423125,0.5417451859,0.0,1.0,0.0,0,30.0,,,,,,-5.003571340733624,-7.541610798984963,-0.2086942972827731,-0.2252030489281876,1.003872970185279,0.12223321935429787,-1.758010392812331,-1.140286828897365,1.5001130656240411,,,,,,,,,
48,48,2.3826512,-3.411267757,-10.0082798,-5.323431969,2.54465818,-3.124614,-4.003750801,-0.354210794,2.5560993780000003,0.4759263694,-0.1607291847,0.1682120711,0.0,1.0,0.0,0,30.0,,,,,,-4.218116428761801,-8.659797423166477,-3.5959545058585816,0.3126803353003481,0.18936106889848314,0.1541375998657335,-2.6443842892899743,-3.0883223924426733,0.0920264991700248,,,,,,,,,
49,49,2.4326512000000005,-5.4008998870000005,-11.40867901,0.9203394055,2.59465818,-3.124614,-4.003750801,-0.354210794,2.606099378,1.293239951,-0.2007396817,-0.4434750974,0.0,1.0,0.0,0,30.0,,,,,,-4.801562378938689,-9.90591622482927,-0.6050166241712027,1.0649333584845369,-0.08347176309881926,-0.2605413706785723,-2.9558594513865866,-3.711095059826517,-0.24682517157371825,,,,,,,,,
50,50,2.4826512000000003,-6.032904147999999,-13.84128284,-1.650748491,2.64465818,-3.124614,-4.003750801,-0.354210794,2.656099378,0.2874036431,0.2839676142,-0.2729723752,0.0,1.0,0.0,0,30.0,,,,,,-5.408961276383852,-11.689890610068474,-1.2975577024994611,0.4684381841519288,0.17351191542399735,-0.26916715149336884,-3.0653130092910392,-3.910190909254713,-0.32836877656313185,,,,,,,,,
51,51,2.5326512,-3.42323184,-9.105587006,-1.610070586,2.69465818,-0.5018296242,0.6164493561,-1.346807361,2.706099378,0.560452342,-0.4064424932,-0.8249492048999999,0.0,1.0,0.0,0,30.0,,,,,,-4.429436419509619,-10.518378047317519,-1.5045208985904983,0.5390284137763103,-0.2321027968858993,-0.6548201518567669,-1.4026474461850815,-0.8306843026096105,-1.1017232699482868,,,,,,,,,
52,52,2.5826512000000004,-0.8641080856000001,-7.204789162000001,-0.4585246444,2.74465818,1.824649692,1.171337128,-0.5234876871,2.756099378,0.7324821949,-0.3442887962,-0.6917845011,0.0,1.0,0.0,0,30.0,,,,,,-2.6707236451521763,-9.016266994798562,-0.8118047286036361,0.6874397794365312,-0.3105646400149652,-0.680469436670561,0.6905651894156541,0.5313055750605921,-0.6626382890666855,,,,,,,,,
