,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman
12,0.6579999999999999,-0.42100000000000004,4.93,8.37,0.185,-0.583,-0.083,-1.42,0.309,-0.21600000000000003,658000000.0,-0.13974902046041698,4.792152525755137,8.72941440875391,0.2812926366163326,-0.5754603252280129,-0.1518621703034338,-1.1037054093595553,0.3289060679030423,0.03836300931511827
13,0.708,0.242,4.76,9.3,0.46799999999999997,-0.723,0.203,-0.995,0.0275,0.8009999999999999,708000000.0,-0.0017450694497100905,4.778039954047236,8.965676137600205,0.42188108430628646,-0.6744520434836835,0.10205742459298373,-1.0585105833675739,0.1987723225379341,0.3885850619652566
14,0.758,-0.235,4.83,8.77,0.513,-0.315,-0.29100000000000004,-1.68,-0.127,0.431,758000000.0,-0.08606837924278068,4.800846692149102,8.884652887842071,0.4904925661953838,-0.4332777415815428,-0.17919257666976496,-1.316898162829987,0.058118252504989254,0.4080630659841995
15,0.8079999999999999,-0.0599,5.04,8.88,0.247,-0.0312,-0.17,-1.47,-0.0994,0.645,808000000.0,-0.07660829637397719,4.9058180100866045,8.882726317644922,0.30714551923648326,-0.16350373429687626,-0.17261488221892093,-1.3805511128266135,-0.009891164636410738,0.5168704619576947
16,0.858,-0.19899999999999998,5.22,8.53,-0.0877,-0.142,-0.16,-1.58,0.039,0.314,858000000.0,-0.12085395314918292,5.043721524995549,8.736673085232628,0.009831479518238595,-0.14907580977760312,-0.16358837274125845,-1.4634731197166115,0.011217880052240344,0.423707242690253
17,0.9079999999999999,-0.127,4.53,9.55,-0.254,-0.215,0.0844,-1.54,-0.585,1.3,908000000.0,-0.12307580467480132,4.8182343064925295,9.073446841672512,-0.18883053180618425,-0.19330763875348225,0.013858289629241266,-1.4952895828684474,-0.2462026473518683,0.8261229197474413
18,0.958,0.366,3.82,10.8,0.185,-0.36,0.188,-1.13,-1.27,2.6,958000000.0,0.053729440686886856,4.380080221317868,9.788359525754213,0.09265946957852611,-0.3051498657437644,0.13846439122469134,-1.343418389600445,-0.6882331013673555,1.6407318975951575
19,1.01,2.32,3.65,9.3,-0.151,-0.133,0.166,0.625,-1.45,1.09,1010000000.0,0.8730064175454266,4.059626830256515,9.58614493179327,-0.09081324388331341,-0.18964593732180737,0.1581673342864344,-0.5250374093686542,-1.0171304119691769,1.3878219580053766
20,1.06,3.46,3.73,7.99,0.0125,0.0776,-0.231,1.75,-1.3,-0.254,1060000000.0,1.8082276948821272,3.9149440403761995,8.92523026736467,-0.013019584574053167,-0.010337310030064883,-0.12029913337070161,0.42082214841607457,-1.139260981645412,0.633855969698601
21,1.11,3.01,3.62,7.9,-0.0797,0.0519,-0.243,1.33,-1.39,-0.358,1110000000.0,2.242679109063902,3.785484476609113,8.50071395637334,-0.06322915462872915,0.03142080436048393,-0.20809703816223668,0.7988179554619715,-1.2475190053675367,0.17837072852587066
22,1.16,2.03,3.5,6.88,-0.316,0.387,-0.0714,0.508,-1.44,-1.46,1160000000.0,2.165793701576688,3.660177040602933,7.829626155549019,-0.2535626432013851,0.2699966142427862,-0.11028425446189169,0.6779087666975924,-1.3306238193056241,-0.5740103821168755
23,1.21,1.13,4.14,5.25,-0.35,0.847,0.127,-0.18899999999999997,-0.639,-3.21,1210000000.0,1.791345026263469,3.870785227651432,6.761482230948976,-0.32617883566881156,0.6571369603470614,0.05950314140980725,0.3174865882836439,-1.032011211025432,-1.784523207048327
24,1.26,0.922,4.01,5.43,0.0571,2.41,1.16,0.006690000000000001,-0.685,-3.13,1260000000.0,1.4770690317491637,3.931890738764283,6.210156281633132,-0.037574372949643386,1.833220238988148,0.8469573589255918,0.18827116423718832,-0.882187102877954,-2.402400082370212
