,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Still,Walk,Run,Cycle,SPM/RPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman
2572,129.0,-0.6509999999999999,-12.3,-1.99,-0.4,-1.34,2.27,0.447,-10.1,-11.5,,,,,150,129000000000.0,-9.131604159159586,-18.43766337814592,-3.4427881086517362,0.2063291046338278,-1.0137895543144826,2.8292069288732398,-8.396793383671312,-15.509805648773277,-12.731007765262456
2573,129.0,4.89,-5.37,-3.51,-1.08,-1.29,-0.621,5.31,-2.9,-13.0,,,,,150,129000000000.0,-3.8531793113613384,-11.207172522742122,-3.469450971788745,-0.6360588036724385,-1.1045486095394812,0.7912461977114567,-3.2509509153217024,-8.086243483466564,-12.84340480404938
2574,129.0,14.5,-0.591,-2.03,-1.73,3.15,-5.13,14.8,2.5,-11.3,,,,,150,129000000000.0,3.055864585185928,-5.333120268460603,-2.898422695513195,-1.3524562000989055,0.29343933851496673,-2.7063027148101195,3.525787347478082,-1.8539795311202898,-12.198501026972371
2575,129.0,-16.7,11.0,11.7,1.91,-5.75,-3.66,-17.1,14.2,2.47,,,,,150,129000000000.0,-4.381219670836138,3.704185965229134,2.892751882110662,0.7840526642618317,-1.6923542076484492,-3.269630606784805,-4.217603240746853,7.5972140760413645,-6.069342377842705
2576,129.0,-9.43,-11.3,3.27,-0.649,5.91,4.3,-10.5,-8.16,-5.98,,,,,150,129000000000.0,-6.281830264505698,-4.597805500576361,3.0424056956377195,-0.15442115435729997,0.8056779181936864,1.2015824737652965,-6.576158103057429,-1.6792697378743124,-6.032011127096018
2577,129.0,5.57,-4.71,-5.72,2.07,-2.31,0.9209999999999999,6.8,-1.77,-15.0,,,,,150,129000000000.0,-1.8202154484164037,-4.659884048772124,-0.43362877807046507,1.3023019796445798,-0.2180922632681177,1.0358486297544036,-1.5544435581438059,-1.7326838525264994,-9.779239719668452
2578,129.0,7.51,-27.4,-6.42,-1.54,1.49,-1.21,8.44,-24.5,-15.7,,,,,150,129000000000.0,1.692138928179371,-17.24225562355571,-2.8084142223978525,-0.5590573713698015,0.3431640713443148,-0.2907243841034184,2.1976980788421985,-15.1361091505725,-12.253199245257614
2579,129.0,-3.46,-16.1,-6.24,-0.711,-0.69,-5.0,-2.41,-12.6,-15.3,,,,,150,129000000000.0,-0.24738085068667148,-16.6102324552881,-4.169719595234247,-0.6585611839416878,0.003680140862255321,-3.0723890777912377,0.4678632201408066,-13.643067800674059,-13.526289542377043
2580,129.0,-9.66,-26.2,-7.3,-2.17,0.539,-1.3,-9.65,-22.1,-16.2,,,,,150,129000000000.0,-3.7907559099383,-21.916363279153398,-5.411497698283314,-1.6483683802469302,0.17957909701597924,-2.025478118244168,-3.3306129838957013,-18.621777779622754,-14.643486193261031
2581,129.0,-12.7,-13.1,5.72,-1.49,1.68,-4.37,-12.4,-8.34,-2.87,,,,,150,129000000000.0,-7.144635700530793,-17.03816670286522,-0.9956476127662226,-1.5446565108559538,0.6725973726403831,-3.4103351441757086,-6.735467335666193,-12.568756972847712,-9.723994749668876
2582,129.0,-5.78,-2.51,3.75,-0.9670000000000001,0.8009999999999999,-2.42,-6.22,2.8,-4.48,,,,,150,129000000000.0,-6.630919447437185,-8.99956235562321,0.8869444139008673,-1.1663623126721785,0.7147887627652666,-2.8253661769849536,-6.541949076261194,-3.520963019623146,-7.532818191326082
2583,129.0,-16.8,3.69,8.25,-0.4,-0.007940000000000001,-0.34299999999999997,-17.5,9.25,0.203,,,,,150,129000000000.0,-10.459063741243904,-1.9782792442856847,3.807858664046151,-0.6644889455128854,0.4773097326661718,-1.3590875114072907,-10.65585102770425,3.9974747140498295,-4.300445860983995
2584,129.0,1.78,6.88,6.99,0.48,-0.7809999999999999,3.32,1.52,12.4,-1.08,,,,,150,129000000000.0,-5.851675178823075,2.9231101995287903,5.070209762300455,0.08501101076914219,0.06384593461648208,1.4047456988481481,-6.084759181765322,8.944154162021238,-2.954798935979567
2585,129.0,2.47,-4.62,1.13,1.94,0.12300000000000001,1.77,2.76,0.45899999999999996,-7.26,,,,,150,129000000000.0,-2.7189852875749554,-1.250580722530251,3.50713384597557,1.2998014442662005,0.08328317249292731,1.620493304965325,-2.7642350966061873,3.9488297534954233,-4.753705425514405
2586,129.0,-30.5,-29.4,0.146,2.2,-1.53,3.3,-29.8,-25.2,-8.68,,,,,150,129000000000.0,-13.177132450118696,-16.825983014448926,2.1737765680326886,1.889321179582713,-0.4468201471250219,2.61254064404652,-12.91407685498169,-13.211478902199769,-6.394287795145917
2587,129.0,-8.25,-24.6,-8.76,2.42,-1.54,3.42,-6.52,-21.9,-18.0,,,,,150,129000000000.0,-11.322316246100062,-21.127437632857305,-2.16363798501093,2.2368508042006323,-0.8060244510465076,3.089489027930875,-10.513594733396737,-18.326527932025105,-11.243675682166515
2588,129.0,-3.97,-17.7,-5.19,-0.073,-0.23199999999999998,3.07,-2.69,-15.6,-14.7,,,,,150,129000000000.0,-8.55454099440359,-19.23099677642773,-3.364191749606265,0.7241816788421456,-0.6174076718194562,3.0779772518048896,-7.576439063140038,-16.721384483837483,-12.687883160321867
2589,129.0,2.36,-7.85,-3.91,-1.05,-1.71,0.379,3.33,-5.67,-13.4,,,,,150,129000000000.0,-4.445768294213692,-12.933758264464469,-3.5807131826558596,-0.4376898033321459,-0.9764189480331993,1.4837512348521593,-3.4819134085748074,-10.21528581208263,-12.985437404786028
2590,130.0,20.2,-3.25,-5.34,-1.51,1.81,-3.55,20.7,-0.44299999999999995,-14.7,,,,,150,130000000000.0,4.832117427451339,-7.575621699586438,-4.278619957972197,-1.1399215278592054,-0.06083887179743275,-1.4895739846125702,5.596528058083249,-4.462209684217033,-13.701858595408378
2591,130.0,-5.84,7.47,14.5,1.85,-4.17,-5.86,-5.42,10.8,5.29,,,,,150,130000000000.0,0.8146048440069817,0.7492964204295331,3.170833328358748,0.818110572040019,-1.4110544267101388,-4.0710878110136015,1.460672429600871,4.522858587201444,-5.766206977141327
2592,130.0,-12.7,-11.6,-3.51,-0.534,4.44,5.68,-14.3,-8.87,-12.8,,,,,150,130000000000.0,-4.272960378882628,-6.0837137536887544,0.520555734280312,-0.06735609213173488,0.5115240226823874,1.6886634594113925,-4.456243114968629,-3.361697365910687,-8.705241739311447
2593,130.0,8.24,-5.57,13.7,0.924,1.9,2.56,9.4,-2.66,4.46,,,,,150,130000000000.0,0.4375363413550799,-5.799470028002611,5.748823476859012,0.5818606400834228,0.9677586984974296,2.2033426011302684,0.7457060653843959,-2.9485987373998332,-3.204212342890438
2594,130.0,-0.402,-14.9,-8.55,-1.77,-0.28800000000000003,-0.632,0.7709999999999999,-12.4,-17.9,,,,,150,130000000000.0,0.12149336013914791,-10.834899354826828,0.07649935508546157,-0.9583197662574847,0.555133146272043,0.5285685738127046,0.7552019950415342,-8.512765583046058,-9.344772400455236
2595,130.0,9.04,-22.0,-4.19,-0.162,2.16,-4.91,10.5,-18.7,-13.3,,,,,150,130000000000.0,3.4788600897685806,-17.012679962690243,-1.6160152247539545,-0.43682793571241596,1.0824710134226554,-2.6838732103249088,4.413621161735724,-14.510127979337096,-10.997444239807505
