,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman
10,0.721,0.402,5.75,6.57,-0.102,0.665,-0.15,-1.0,0.44799999999999995,-1.03,721000000.0,0.36704972038746525,5.856164529482733,6.82932944290976,-0.21003537571889377,0.5330025886671038,-0.26253599000474614,-1.136000535182737,0.634114007312179,-1.1716694696842456
11,0.7709999999999999,0.187,5.27,7.42,-1.0,-0.305,0.23600000000000002,-0.772,0.36700000000000005,-1.14,771000000.0,0.2519034762622654,5.478141475599584,7.1947596163096526,-0.7362112477450332,-0.01996164624355312,0.07324281764454121,-0.9206083730317145,0.4623430305479246,-1.152569453835099
12,0.821,0.47600000000000003,4.97,7.43,-0.8440000000000001,0.353,0.40299999999999997,-0.40299999999999997,0.606,-1.47,821000000.0,0.3952187514142609,5.150436103085564,7.3402956674488875,-0.8080066540654169,0.2261407455937642,0.2953440790332087,-0.6143209333452899,0.5547234359507347,-1.3440133377086219
13,0.871,0.642,4.63,7.64,-0.41600000000000004,0.884,-0.0276,-0.439,0.527,-1.47,871000000.0,0.5530414745205395,4.814802018286246,7.525713650471309,-0.5469007359139693,0.6602356314111499,0.07783164351781804,-0.5105772554948538,0.5368955419995091,-1.4199965080236223
14,0.9209999999999999,0.6579999999999999,3.78,7.36,-0.797,0.467,0.47200000000000003,-0.0154,0.153,-0.594,921000000.0,0.6201650419835143,4.1474484041299355,7.42319167656264,-0.7134856557493189,0.5327272091247996,0.34331574895545747,-0.21756311406945528,0.29002673589861905,-0.9218340888192955
15,0.971,0.718,3.73,8.51,-0.473,0.29,-0.0758,-0.18,-0.613,-0.8059999999999999,971000000.0,0.6827329134350006,3.878231997642625,8.0955674736058,-0.5533041096328406,0.3725612731561716,0.061028834038981516,-0.19533567652334702,-0.29067582538268044,-0.8519739974788392
16,1.02,0.419,2.66,8.42,-0.8270000000000001,2.43,-0.9079999999999999,-0.7140000000000001,-0.442,-0.738,1020000000.0,0.5140691938457217,3.0925827310348897,8.296284176978963,-0.7356061784865635,1.7301824477026595,-0.5916408818948599,-0.5022479504794141,-0.3879867195415767,-0.7832357248247718
17,1.07,-1.31,2.69,8.69,-0.565,0.574,-1.05,-0.773,0.298,-0.309,1070000000.0,-0.652468122585672,2.832953362140048,8.539864067482497,-0.6219696266271793,0.9672641163154603,-0.9003593391115325,-0.6624616497061384,0.053145579761801176,-0.4972219030706097
18,1.12,-3.32,4.12,9.62,-0.192,0.311,-1.04,-2.69,1.61,-0.379,1120000000.0,-2.358420675270425,3.6629818217543124,9.208111644339033,-0.3355775080348027,0.5342217932981504,-0.9944114489081028,-1.862228842157516,1.0543001924528568,-0.42592171797949585
19,1.17,-3.92,4.09,9.03,-0.22399999999999998,0.348,-1.21,-2.71,2.18,0.314,1170000000.0,-3.357089315229306,3.938369976665207,9.097919156330635,-0.2612584978575301,0.411341509265136,-1.1396167714560996,-2.3638854637454547,1.7781955012625916,0.020328582853003596
