,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),SPM/RPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman
458,22.9,-3.29,-17.6,3.91,-0.494,-0.35100000000000003,-0.114,-1.26,-8.25,1.83,60.0,22900000000.0,-1.5855608006150037,-12.101432823896562,2.734325963292804,-0.5485162082470598,-0.16093419042229468,-0.09022852237927495,0.4259897066886602,-2.8383862616499393,0.36045797609077623
459,23.0,-0.51,-9.12,3.34,0.212,0.545,0.28,1.56,0.24600000000000002,1.29,60.0,23000000000.0,-1.0865017077100214,-10.917529624745745,3.0360034190569296,0.004660104079573513,0.30590007965316973,0.16408081437871266,0.9954454006162312,-1.617170566051652,0.8249437905677761
460,23.0,2.12,-5.33,-3.37,-0.807,0.795,-0.353,4.3,4.03,-5.27,60.0,23000000000.0,0.4013116836216022,-8.698766222976985,-0.1547343958291707,-0.5857167078269152,0.6293418534049312,-0.19110109847677695,2.6548638796024084,0.618740564068029,-2.220658199720515
461,23.1,-3.89,-12.0,1.17,-0.54,0.511,-0.307,-1.84,-2.52,-0.353,60.0,23100000000.0,-1.5898525056463,-10.009659780066908,0.505096670988267,-0.5524637833178285,0.5510823744626963,-0.27071186250635026,0.397718602413335,-0.6239958782423165,-1.2874020798084467
462,23.1,-0.311,-10.0,-0.285,-0.392,0.469,-0.153,1.66,-0.495,-1.49,60.0,23100000000.0,-0.9964662734235027,-10.005823958580786,0.11156092112214505,-0.43574730979823884,0.49680131040809655,-0.18985578442420947,1.0315870520181742,-0.5729219297665897,-1.3886388887343328
463,23.2,-1.79,-9.88,-0.474,-0.31,0.185,-0.0903,0.1,-0.308,-1.46,60.0,23200000000.0,-1.3646650763171395,-9.95586031536374,-0.18009852817268535,-0.3442825503690952,0.29060711472591005,-0.12147108797531611,0.5637803837634797,-0.46803013197616883,-1.4242975702297835
464,23.2,-1.07,-10.1,-0.441,-0.32899999999999996,1.13,-0.0384,0.7929999999999999,-0.535,-1.19,60.0,23200000000.0,-1.2279408129069003,-10.013097183982977,-0.3100497940303846,-0.3331664861715471,0.8456976015302746,-0.06440970162089765,0.678885522761505,-0.4945458400854972,-1.3072206949223926
465,23.3,-1.38,-9.48,-0.79,-0.302,0.715,-0.0164,0.48700000000000004,0.13699999999999998,-1.24,60.0,23300000000.0,-1.2984961147388308,-9.801408369719205,-0.5491060771908918,-0.3104969238297789,0.7592672641991777,-0.03143192011740826,0.5825280944437647,-0.24449490009918168,-1.2736309751686885
466,23.3,-1.46,-9.85,-0.532,-0.271,0.54,-0.0964,0.368,-0.223,-0.755,60.0,23300000000.0,-1.3734337665721021,-9.820703869351236,-0.5405857895753791,-0.2817680634920482,0.6142658431240987,-0.07605838267468287,0.4748004561975287,-0.23598432421048715,-1.0144745983520698
467,23.4,-1.96,-9.92,-0.256,-0.226,0.431,-0.18,-0.203,-0.26899999999999996,-0.281,60.0,23400000000.0,-1.6455999041422429,-9.860133599784337,-0.3988377200847218,-0.24120407070492977,0.4930721427566002,-0.14745570594823826,0.13443551634250672,-0.24905637498352245,-0.6479623193389411
