,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),SPM/RPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman
11,0.597,-0.151,3.5,7.42,-0.34700000000000003,0.014,-0.363,-1.85,-0.48700000000000004,-1.38,60.0,597000000.0,0.09344428389893461,3.6745025398187563,8.83469939866212,-0.35237577644939844,-0.24049809895450713,-0.24910252091498203,-1.4771390959670994,-0.33010701573482587,-0.09145193509266725
12,0.647,1.52,1.29,12.3,-0.9179999999999999,0.49200000000000005,0.307,0.0922,-2.37,3.35,60.0,647000000.0,0.6218101241125931,2.8304118453430003,10.57333969952834,-0.763489836304093,0.23442094173460443,0.1326995576485095,-0.8439979973054335,-1.046099581316162,1.6477768177849788
13,0.6970000000000001,0.584,1.68,9.97,-0.154,0.65,0.293,-0.6990000000000001,-1.66,0.84,60.0,697000000.0,0.6078058814505615,2.4231676276979117,10.270627072441197,-0.32049281008435887,0.5038638153487561,0.24275668448015172,-0.7854991522112087,-1.2615812890556468,1.2395453968913732
14,0.747,0.156,1.57,10.1,0.6829999999999999,0.539,0.40299999999999997,-0.892,-1.86,0.98,60.0,747000000.0,0.44046368919596735,2.1211445149154904,10.18501878670236,0.40887840511148216,0.5266445308484027,0.3527745792301804,-0.8284665446454104,-1.4716311787796772,1.108377265132658
15,0.797,-0.479,2.39,7.96,1.02,1.24,0.33399999999999996,-1.25,-1.36,-1.07,60.0,797000000.0,0.09990731457567903,2.2163203492309784,9.06866330726258,0.8530614320439429,0.9891523432385756,0.33988455223472636,-0.9985327816875209,-1.432447541125312,0.007476581932047477
16,0.847,-0.773,2.45,8.18,0.78,2.15,0.985,-0.927,-1.7,-0.7040000000000001,60.0,847000000.0,-0.22340548751377287,2.299043934763046,8.622795687863766,0.799957987443421,1.7417941472132037,0.7828000401264928,-0.9696731142049804,-1.5263612881597188,-0.3520869542421119
17,0.897,-1.8,1.67,9.66,-0.0596,0.223,1.31,-1.32,-2.71,0.904,60.0,897000000.0,-0.807354461050815,2.0763595900537246,9.143190650242992,0.1752033011381282,0.7570759005269055,1.1447585046634798,-1.1110113558516552,-1.9418312943960208,0.2827098546949367
18,0.9470000000000001,-1.49,2.8,9.69,-0.303,0.542,0.961,-1.1,-1.48,0.877,60.0,947000000.0,-1.0601970435826678,2.3325315489422125,9.417540314215334,-0.17237040525910485,0.6176302956255162,1.018595854193815,-1.106568870370589,-1.779723464362203,0.5830501097571392
19,0.997,-0.6559999999999999,3.0,6.98,-0.47100000000000003,0.198,0.703,-0.431,-1.11,-1.92,60.0,997000000.0,-0.910487981608014,2.5688184268240835,8.194556701406253,-0.38942409199652955,0.34556076460364354,0.801917916766161,-0.8340128396357778,-1.544643172375637,-0.6819325490116339
20,1.05,-0.22699999999999998,2.82,10.6,-0.441,1.3,0.466,0.251,-1.06,1.63,60.0,1050000000.0,-0.6573333555129266,2.6577378310675233,9.401436525352059,-0.4269111490738536,0.9643764798486039,0.5712874934355103,-0.39626799880326546,-1.3745280615577085,0.48646380688213475
21,1.1,-0.079,2.89,8.48,0.223,-0.0745,0.47600000000000003,0.484,-1.04,-0.48700000000000004,60.0,1100000000.0,-0.4431265690010735,2.7399597420687414,8.939125263118994,0.04546540418194778,0.2908153966259647,0.5058661785410291,-0.04112678320201835,-1.25710501146515,-0.005501909858642295
22,1.15,-0.433,3.31,7.48,0.0699,0.6970000000000001,0.302,0.19399999999999998,-0.682,-1.46,60.0,1150000000.0,-0.4393758253147234,2.941756591381118,8.20704043725282,0.0632252617002086,0.5541673582998531,0.36589822029662405,0.05373434321521545,-1.0552368050298464,-0.7405710696311367
23,1.2,-0.41700000000000004,2.2,8.51,-0.193,1.66,-0.109,0.687,-1.78,-0.391,60.0,1200000000.0,-0.43108812314407574,2.679171366946166,8.359044021046806,-0.12300759026259102,1.2711398016670112,0.039848407283355036,0.3092232715059311,-1.3096366685460585,-0.5639060705436941
24,1.25,-1.28,1.21,9.14,-0.49700000000000005,1.76,-0.31,0.61,-2.6,0.3,60.0,1250000000.0,-0.7455134961709643,2.1590779656915164,8.750872121845997,-0.39483743738218013,1.5880949008281482,-0.20034623718968433,0.43057065500564773,-1.7625683944093848,-0.12730824631207727
25,1.3,1.06,-0.29,6.44,-0.6679999999999999,2.34,-0.7759999999999999,3.9,-3.82,-2.26,60.0,1300000000.0,-0.0767759378166335,1.292093114677848,7.591441579516397,-0.5933808550670899,2.0755965087012225,-0.5955715764353494,1.830300504172214,-2.4847495542777738,-1.2051205156698046
26,1.35,-2.29,-1.99,7.42,-1.3,2.13,-1.94,1.73,-4.85,-1.05,60.0,1350000000.0,-0.8965239375301992,0.13021706636527974,7.505424478828818,-1.1069745849003638,2.110869375355405,-1.5186128481349446,1.7898346047231433,-3.314978511958121,-1.12672622973016
27,1.4,-7.51,-2.19,8.67,-1.41,1.47,-1.96,-2.42,-4.01,0.49,60.0,1400000000.0,-3.346065376747716,-0.6911504576695536,8.089725330971236,-1.3272232827322217,1.6953583314982166,-1.8216550694234224,0.09139070655167036,-3.5589387995461146,-0.30967079654191043
28,1.45,-7.59,-4.49,6.17,-1.54,0.852,-1.57,-1.94,-5.25,-1.81,60.0,1450000000.0,-4.917960948895299,-2.0359605718608473,7.1265443192543465,-1.481876289814273,1.1485624779615642,-1.6488768441665798,-0.7281671879876546,-4.152519930568552,-1.0679018753298695
29,1.5,-14.5,-3.89,8.16,-2.45,1.13,-2.61,-8.49,-3.23,0.442,60.0,1500000000.0,-8.467017556077689,-2.6922990866237493,7.64505848619056,-2.1855401076759966,1.1365273937203397,-2.3087529594594143,-3.8596529085322997,-3.8287052677266504,-0.30483296346362265
30,1.55,-11.6,-2.41,5.96,-1.98,0.405,-0.586,-5.44,-0.341,-1.34,60.0,1550000000.0,-9.627431674342542,-2.5923639430634733,6.799616516390801,-2.0361468898213184,0.66223772450263,-1.125966309278066,-4.497238746234673,-2.6044822517121107,-0.8279820645230034
31,1.6,-8.67,-3.33,6.5,-2.14,0.831,-1.27,-5.38,0.581,-0.965,60.0,1600000000.0,-9.272812065628198,-2.8534904699513057,6.649290349309724,-2.1116307824831826,0.7716556227491823,-1.2248551868539908,-4.853385904728487,-1.486342860988362,-0.8972276946603291
32,1.65,-10.6,-2.2,7.92,-1.38,1.18,-0.983,-4.23,1.84,1.67,60.0,1650000000.0,-9.764384520739732,-2.622151857411293,7.286841726754565,-1.579857743305237,1.0364078339635292,-1.0588051957408608,-4.601882928026736,-0.31875982084674725,0.4001888067508702
33,1.7,-8.5,-3.87,4.37,-0.546,0.8959999999999999,-1.1,-2.01,0.727,-1.37,60.0,1700000000.0,-9.296073734963244,-3.0638957937508353,5.823378833418251,-0.8284163307974051,0.9453736872055217,-1.0870882372423212,-3.556196317116755,0.04831340865221079,-0.49442300265273276
34,1.75,-10.3,-3.99,4.96,-0.787,1.08,-1.22,-3.8,1.2,-0.289,60.0,1750000000.0,-9.667914404990722,-3.391740941969127,5.390197022897094,-0.7983135956064739,1.0326593997704574,-1.1783411902119443,-3.6545580885241433,0.45256812020633425,-0.3906070487568252
35,1.8,-8.49,-4.38,4.63,-0.265,1.45,-0.517,-1.98,1.25,-0.0682,60.0,1800000000.0,-9.231630886236644,-3.741589230481869,5.0087845131606645,-0.4106839275835823,1.3032444248448818,-0.724285653662824,-2.978963165991908,0.7324755044069409,-0.22767010569938878
36,1.85,-7.0,-4.88,3.01,-0.0516,1.22,-0.4,-0.29,0.907,-1.2,60.0,1850000000.0,-8.405065235713494,-4.144591914870045,4.005937207753216,-0.14969005760643744,1.249272478534154,-0.501641577814094,-1.8941098541841557,0.7937355289261501,-0.7190627995608728
37,1.9,-8.25,-4.79,3.53,-0.449,0.71,-0.0903,-0.138,1.01,-0.79,60.0,1900000000.0,-8.34763118682058,-4.373069329417702,3.7671458975293244,-0.3672382540510653,0.8996322897295299,-0.21922770648985734,-1.1856131320487289,0.8696467399753904,-0.7549128038215458
