,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),SPM/RPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman
0,0.0,4.64,5.47,6.09,-0.945,1.11,-0.5579999999999999,3.49,0.904,-2.58,90.0,0.0,3.4118384348723056,4.108463098963574,4.820280442512222,-0.799298206725673,1.0007703608885967,-0.4519047839964052,2.289814945900921,0.6797667904674685,-2.077651649862166
1,0.0495,4.95,5.69,5.85,-0.276,0.833,-0.294,2.29,0.96,-2.61,90.0,49500000.0,3.7669826629597503,4.4808087846462845,5.194201273974922,-0.426577855719977,0.8916655610586679,-0.34872757108131347,2.289870298899042,0.7502229834392719,-2.290845237386892
2,0.0995,3.18,5.54,6.02,-1.1,1.05,0.187,1.56,0.79,-3.76,90.0,99500000.0,3.572738441509518,4.841287702411539,5.582601733353069,-0.9304147080678917,1.0022236864024496,0.024408330476098805,1.992270770033305,0.7644872367654512,-3.033804697035365
3,0.15,2.11,5.09,5.04,-0.193,0.337,-0.0641,2.3,0.8009999999999999,-1.49,90.0,150000000.0,3.0272956281263075,4.9365516500295,5.311955818401524,-0.3770355308948008,0.5348645649980595,-0.037584741168868285,2.1287557529107684,0.7790873567299506,-2.2153655713810867
4,0.2,2.52,4.74,7.49,-0.381,0.659,-0.305,2.66,1.1,-1.41,90.0,200000000.0,2.8299707117781883,4.858154354410794,6.413701295572942,-0.3800111594158223,0.6221242507045919,-0.22498186379464147,2.3701460713855673,0.9120620648338843,-1.7841098517046257
5,0.25,2.64,4.98,7.6,-0.124,0.535,-0.0683,2.73,0.8240000000000001,-1.22,90.0,250000000.0,2.754947468728964,4.907444735288412,7.015815457869978,-0.1878541188127001,0.5608782700300902,-0.11517868010904027,2.534815809862912,0.8751380312060345,-1.4813936744324163
6,0.3,2.59,4.6,7.83,0.47700000000000004,-0.674,-0.192,2.19,1.1,-1.74,90.0,300000000.0,2.6894485351869797,4.782457856292728,7.429398862852966,0.31117292123515705,-0.30721152931267215,-0.1690155405274282,2.376702003849611,0.9697945380726231,-1.620232357460184
7,0.35,2.21,4.93,7.28,-0.264,3.79,0.0795,1.49,1.79,-3.15,90.0,350000000.0,2.4986870445351377,4.842542698216934,7.353493411092751,-0.1205411124550092,2.5730308694706054,0.005145758117066995,1.9698632303792916,1.315518703293408,-2.44160373769356
8,0.4,1.15,5.75,5.82,-2.29,2.19,1.27,2.28,0.773,1.29,90.0,400000000.0,1.961690723385363,5.212319264447509,6.574329265507598,-1.7488963447268548,2.3037692938826417,0.8915638193203999,2.112186053080195,1.0867412443166327,-0.43796809597946673
9,0.45,0.285,4.35,10.2,-1.43,1.15,0.342,2.26,-0.00387,1.2,90.0,450000000.0,1.2939224420284667,4.860860886827365,8.416544911468087,-1.5095386739723935,1.4926968283844007,0.5064259266800566,2.1800218860432508,0.6267680945712577,0.4415213855957716
