,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Time (s).1,Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Time (s).2,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Sitting,Walking,Running,Biking,SPM,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman
3963,198.1326512,-0.39960137009999996,-9.325727463,-0.08255238086,198.2946582,-2.84197402,-0.7586832047,1.6785007719999998,198.306097,-0.271368891,0.727671802,0.125605464,0.0,1.0,0.0,0,30.0,,,,,,-0.038280454576765766,-9.395001185953829,0.23057994109759838,-0.3045621846960127,0.5885384831122873,0.045716884614199954,-2.1520914808846285,-0.35408684130083345,1.5535576702304121
3964,198.18265119999998,-0.9717850684999999,-9.842875481,1.10010016,198.3446582,-0.9595680237,-0.39422512049999997,1.347491384,198.356097,-0.17080816629999998,0.42270630600000003,-0.29267218710000004,0.0,1.0,0.0,0,30.0,,,,,,-0.49876160405452585,-9.598030877151032,0.8064239874704165,-0.20195050958446772,0.4725570028119383,-0.18908875545258916,-1.37862530708358,-0.3813932073614723,1.397080597162191
3965,198.2326512,-1.924726725,-9.969994545,0.3337987661,198.39465819999998,0.8119801283,-1.0104370120000001,0.7620190381999999,198.406097,0.3873535097,-0.3382566571,-0.006032116711000001,0.0,1.0,0.0,0,30.0,,,,,,-1.2021647239033781,-9.766648878921828,0.4934256073688045,0.2501441136250445,-0.09451851988613019,-0.06206712614375559,0.042193037554176804,-0.8093363258422055,0.9148446352950608
3966,198.28265119999998,-1.002891779,-10.60439205,-0.3245265782,198.4446582,0.8119801283,-1.0104370120000001,0.7620190381999999,198.456097,1.45244205,-0.5516714454,0.25029465559999997,0.0,1.0,0.0,0,30.0,,,,,,-1.103866940063825,-10.146413334450008,-0.04826725522765807,1.1725074689857182,-0.41424701853054047,0.15467837251059646,0.5414740136349607,-0.9461465989050708,0.7987960447720368
3967,198.3326512,1.6594225169999999,-9.857233047000001,-1.17906332,198.4946582,0.9784435034000001,-1.71284008,3.18079114,198.506097,2.417809725,-0.22471544149999997,0.26663482190000004,0.0,1.0,0.0,0,30.0,,,,,,0.2592143842832948,-10.015322568452065,-0.7971425174277754,2.1278623210454084,-0.2816903986278051,0.2323641134364755,0.824890760919307,-1.4677338032582565,2.607571398135071
3968,198.3826512,-2.111366987,-13.11087322,-0.6068796515,198.5446582,1.213338971,0.4129104614,1.91711843,198.556097,2.250437737,0.1748550236,0.3382566571,0.0,1.0,0.0,0,30.0,,,,,,-0.910151057074926,-11.41859286278804,-0.6711399976167975,2.221898140350342,0.03761321791289701,0.30584215566027495,1.076836791048068,-0.18831770249226665,2.0832737982447895
3969,198.43265119999998,0.6562315822,-12.37358475,2.330609322,198.5946582,1.213338971,0.4129104614,1.91711843,198.606097,1.5867520569999998,0.09544488787999998,0.4676035643,0.0,1.0,0.0,0,30.0,,,,,,-0.1374824837526185,-11.851508325243778,1.3167832700661883,1.73463499633332,0.07806014930244345,0.4180871844185799,1.1653715853214608,0.2207022315780181,1.957103204815186
3970,198.4826512,1.9034904240000001,-9.965209007,2.7664020060000003,198.64465819999998,1.213338971,0.4129104614,1.91711843,198.656097,1.3656253809999999,-0.6694886088,0.6787276864,0.0,1.0,0.0,0,30.0,,,,,,0.8692929907948017,-10.996413999517156,2.276800416163592,1.451542980424376,-0.444768490261929,0.5989436748131785,1.1964830491259353,0.3514629015169838,1.9267406423130695
3971,198.53265119999998,2.722434044,-11.36082268,-0.6693921089,198.6946582,1.213338971,0.4129104614,1.91711843,198.706097,1.191304922,-0.9307785034,0.5947361588000001,0.0,1.0,0.0,0,30.0,,,,,,1.783414366878655,-11.161607184879855,0.32566990896279746,1.2518969181573776,-0.7846793672800583,0.596024111027136,1.2074157359639281,0.3932661276647563,1.919433985693361
3972,198.5826512,2.236391783,-13.070195199999999,-2.517548561,198.7446582,0.8482699394,0.05762481688999999,-2.8250780110000004,198.756097,0.8799254893999999,-0.8357154131,0.6313869953,0.0,1.0,0.0,0,30.0,,,,,,2.006860033926287,-12.026805387870562,-1.5572655232410664,0.9665326962546019,-0.8203735024262768,0.6205621513312555,0.9744751397771807,0.16492687970295541,-1.6833258945350604
3973,198.6326512,-0.7827520967,-10.08963585,-1.756032705,198.7946582,0.8482699394,0.05762481688999999,-2.8250780110000004,198.806097,0.40361732240000003,-0.6565080881,0.21998137239999999,0.0,1.0,0.0,0,30.0,,,,,,0.6307942048875252,-11.148650651307936,-1.6889000683217723,0.5346825721952924,-0.7057675577239327,0.3426021518195595,0.8926189273543246,0.09192849857340876,-2.550318900354491
3974,198.68265119999998,0.98913306,-9.328120232,0.12323036789999998,198.8446582,0.8482699394,0.05762481688999999,-2.8250780110000004,198.856097,-0.1428619027,-0.3536805511,-0.1097997949,0.0,1.0,0.0,0,30.0,,,,,,0.8075563605658307,-10.3233705821049,-0.48880776374968193,0.014892779344291007,-0.45952118422362265,0.028683832528411335,0.8638543426408725,0.06859145207308041,-2.75895808174011
3975,198.7326512,0.72323066,-9.320941925,1.255633712,198.89465819999998,1.294132948,3.111786842,-2.1048271659999997,198.906097,-0.6421532035,-0.025121092799999998,-0.03130592033,0.0,1.0,0.0,0,30.0,,,,,,0.7659599988927829,-9.86895115438011,0.666457193317918,-0.48917124590733674,-0.15570580582235344,-0.012942607258956206,1.142931407737467,2.1388996189110006,-2.2622417444360803
3976,198.78265119999998,2.152642965,-7.200003147,1.198205948,198.9446582,-0.09197109937999999,2.679263115,-1.2004597190000001,198.956097,-0.4209501147,-0.1598892659,0.2092915475,0.0,1.0,0.0,0,30.0,,,,,,1.449985933856695,-8.659067720235491,1.0186104244295853,-0.4368342422751592,-0.15863167883676316,0.1412640067393759,0.34197834352254963,2.5065128725467347,-1.4559742743831163
3977,198.8326512,1.491625786,-6.007779598,1.315454245,198.9946582,-0.09197109937999999,2.679263115,-1.2004597190000001,199.006097,0.1844758689,-0.43622130159999994,0.5948888659,0.0,1.0,0.0,0,30.0,,,,,,1.4705261289595701,-7.45718983830148,1.2151967060471658,0.039814399938750855,-0.3527752757902044,0.45603089587152956,0.06052038712343294,2.6240361307544666,-1.2619485050855723
3978,198.8826512,-0.07627122103999999,-6.5799632070000005,1.983350873,199.0446582,-0.09197109937999999,2.679263115,-1.2004597190000001,199.056097,0.2249445021,-0.48478364939999996,0.4194993675,0.0,1.0,0.0,0,30.0,,,,,,0.7075186289375364,-7.059526801771399,1.7239105856064203,0.18184011341493514,-0.4451007029377091,0.4306819421820742,-0.03838501040821393,2.6616074535595122,-1.2152568046886425
3979,198.93265119999998,-1.321436286,-8.688937187,6.118148327,199.0946582,0.5877624154,0.8772878647,2.071674824,199.106097,0.1253000498,-0.6360446811,-0.2081461996,0.0,1.0,0.0,0,30.0,,,,,,-0.2933285843588578,-7.798168628958834,4.63401616760488,0.13846443985845852,-0.5786451429947476,-0.0125961163103685,0.3677318259164971,1.4477217369528845,1.2806849084708731
3980,198.9826512,-2.0611176490000003,-12.70140171,7.858627796,199.14465819999998,0.5877624154,0.8772878647,2.071674824,199.156097,-0.06536065787,0.1732515544,-0.1004080176,0.0,1.0,0.0,0,30.0,,,,,,-1.1653473493488766,-10.020894760375914,6.769531097064988,-0.01790345811713842,-0.052775595228445216,-0.07352813634357308,0.5104428284934929,1.0596513855808443,1.8813255506957072
3981,199.03265119999998,-0.1794617027,-9.519845008999999,6.309574127,199.1946582,0.5877624154,0.8772878647,2.071674824,199.206097,-1.573618889,1.59957993,-0.46974155310000004,0.0,1.0,0.0,0,30.0,,,,,,-0.6790275721956651,-9.793759652308792,6.464922328877332,-1.211397068388045,1.1028664710383307,-0.34845765593045996,0.5605920181721186,0.9355881434207739,2.025867860794599
3982,199.0826512,-0.1794617027,-9.519845008999999,6.309574127,199.2446582,2.859602213,4.373707771,-4.149197102,199.256097,-0.9780428409999999,0.6009209752,-0.6594096422,0.0,1.0,0.0,0,30.0,,,,,,-0.4326006532611756,-9.669589084508496,6.362042217358332,-1.0323753952303771,0.7518104658442304,-0.5642249081143275,2.0517212769801887,3.2745661685971137,-2.663186845330463
3983,199.1326512,3.7085759639999996,-17.78196144,5.5842499729999995,199.2946582,1.461612225,-2.6738147740000002,-3.3206932539999996,199.306097,-0.8726716637999999,0.7111025453,-0.41713231799999995,0.0,1.0,0.0,0,30.0,,,,,,1.6101677920453548,-13.347077330476782,5.846945473770482,-0.9098559554414715,0.7233397252991021,-0.4621584625513009,1.6689787924367354,-0.7721610587679417,-3.162466373702407
3984,199.18265119999998,2.214856386,-3.6062827110000004,-2.2037897109999998,199.3446582,1.461612225,-2.6738147740000002,-3.3206932539999996,199.356097,-1.164045811,0.4266004562,-0.0810136199,0.0,1.0,0.0,0,30.0,,,,,,1.9084498730857196,-8.931395191506802,0.5153064547057973,-1.1048620356358523,0.5158030440333105,-0.19768491354967854,1.5344816260736698,-2.0658700426914,-3.2826164457132716
3985,199.2326512,2.533101797,-11.73679543,-1.2511471509999998,199.39465819999998,1.461612225,-2.6738147740000002,-3.3206932539999996,199.406097,-1.031568289,0.9656731486,0.1359898746,0.0,1.0,0.0,0,30.0,,,,,,2.216579508120759,-10.2031349406232,-0.6545361439342519,-1.0486334884418356,0.8304380055753464,0.03384952050102347,1.487218809714854,-2.4794593065702135,-3.3115301883842143
3986,199.28265119999998,2.533101797,-11.73679543,-1.2511471509999998,199.4446582,-0.05521704257,-0.4362182617,1.196773171,199.456097,-0.8662577868000001,0.6426113247999999,-0.2014268786,0.0,1.0,0.0,0,30.0,,,,,,2.3727142987693655,-10.898371569103036,-1.049644721155577,-0.908720860247553,0.6990737742511135,-0.12940700902762498,0.4868007887604431,-1.089427422487083,0.11186393211722301
3987,199.3326512,0.021834505719999998,-9.541379929,-1.595713615,199.4946582,1.605845809,1.335775375,-0.3198522925,199.506097,-1.058674693,0.7327113152,-0.010460759509999999,0.0,1.0,0.0,0,30.0,,,,,,1.213067294109063,-10.283222191270273,-1.411281535300496,-1.0237604991288247,0.722599557094835,-0.04687109818938302,1.212609128105512,0.5604558464880476,-0.2159611202925804
3988,199.3826512,-0.7154539823999999,-11.09043407,1.593021631,199.5446582,1.605845809,1.335775375,-0.3198522925,199.556097,-0.9763630033,0.6579588652,-0.044362783430000004,0.0,1.0,0.0,0,30.0,,,,,,0.2617622004640602,-10.649146249210276,0.5783330303524878,-0.9873987022655699,0.6773904591546388,-0.04513059738322913,1.467660942071336,1.0879114143020276,-0.2948512037342966
3989,199.43265119999998,1.8484555480000002,-8.73200798,0.6882356405,199.5946582,-0.5267880559,0.4029588699,1.8140487669999998,199.606097,-0.8838196397,0.39880689979999995,-0.2884726226,0.0,1.0,0.0,0,30.0,,,,,,1.0444496834899173,-9.78007205737224,0.6511165751156726,-0.9079362588726985,0.48255171216482107,-0.21398380445097062,0.17406891586674456,0.6219331695156793,1.3065485213167602
3990,199.4826512,-1.49132669,-10.02024364,-0.3723830283,199.64465819999998,-0.44094139340000005,0.5638008118,1.124519944,199.656097,-0.8717554212,0.2093679011,-0.4921138287,0.0,1.0,0.0,0,30.0,,,,,,-0.20640350108296368,-9.888946274512318,-0.026701077081581093,-0.880179512510735,0.2914894988419253,-0.40697614320201037,-0.22482442905196093,0.58238529973771,1.1683245574524403
