,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Still,Walk,Run,Cycle,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman
2140,107,7.66,-8.14,-1.88,0.344,1.68,0.101,9.43,0.801,-5.5,0,1,0,0,1.07E+11,2.868222274,-9.444440803,2.183776784,0.263985476,0.985913102,0.04089779,4.964279214,-0.513167583,-1.758830444
2141,107,-0.318,-8.59,-7.13,-1.98,3.15,-0.599,1.53,0.511,-10.3,0,1,0,0,1.07E+11,1.77149365,-9.040816558,-1.783533316,-1.489935732,2.269025496,-0.45019005,3.642868381,-0.038172985,-5.977898594
2142,107,-2.66,-12.1,-1.3,-1.56,2.21,-1,-0.858,-2.72,-3.31,0,1,0,0,1.07E+11,0.246130501,-10.4859266,-1.577566734,-1.544698611,2.234028614,-0.872140234,1.911065056,-1.28196688,-4.660040905
2143,107,-1.58,-8.72,-0.668,-1.82,1.29,-1.14,-0.0987,0.924,-1.7,0,1,0,0,1.07E+11,-0.382441354,-9.651730937,-1.190126343,-1.759876934,1.674303027,-1.077708488,1.137765876,-0.258870265,-3.197874191
2144,107,-2.29,-8.34,-0.673,-1.69,0.694,-0.917,-1.3,1.42,-0.714,0,1,0,0,1.07E+11,-1.039041539,-9.032090067,-0.969850437,-1.705260478,1.093069943,-0.954373183,0.199784441,0.519766276,-1.970918767
2145,107,-0.431,-9.28,-0.721,-1.53,0.48,-0.947,0.134,0.484,0.0617,0,1,0,0,1.07E+11,-0.829747739,-9.149198671,-0.863849745,-1.568275136,0.729573624,-0.948714674,0.174472501,0.503178376,-0.96686928
2146,107,0.283,-8.43,0.728,-0.826,0.429,-1.1,0.342,1.27,2.17,0,1,0,0,1.07E+11,-0.446729171,-8.809460741,-0.185783094,-0.988105545,0.551360014,-1.064818213,0.238932216,0.858819518,0.582645129
2147,107,-0.955,-9.63,-2.35,-1.13,0.351,-1.28,-1.52,-0.000494,-0.564,0,1,0,0,1.07E+11,-0.621680917,-9.19707056,-1.107656068,-1.099011648,0.432564234,-1.229958881,-0.437853769,0.46028192,0.016238638
2148,107,-2.33,-11.1,-0.12,-0.772,0.666,-0.775,-3.44,-1.66,2.19,0,1,0,0,1.07E+11,-1.209700898,-10.0959845,-0.686952636,-0.843416128,0.570971025,-0.880801879,-1.592992401,-0.523075181,1.090008138
2149,107,-3.79,-13,0.96,-0.127,0.894,-0.462,-5.29,-3.62,3.42,0,1,0,0,1.07E+11,-2.097864876,-11.46779548,0.014585721,-0.283458215,0.762498664,-0.5593935,-3.015493455,-1.95938557,2.240950581
2150,108,-6.52,-13.6,2.01,0.706,0.925,0.22,-8.23,-4.26,4.35,0,1,0,0,1.08E+11,-3.620006694,-12.47501534,0.864555317,0.489912067,0.858847607,0.038749968,-5.021883835,-3.02637849,3.282754349
2151,108,-3.59,-11,2.85,2.17,0.0874,1.62,-4.99,-1.4,4.51,0,1,0,0,1.08E+11,-3.609678069,-11.77824143,1.710278212,1.803085436,0.40144733,1.252276104,-5.009615774,-2.272086869,3.888975061
2152,108,6.12,-18.9,-2.81,2.76,-1.45,2.18,5.64,-9.08,-2.43,0,1,0,0,1.08E+11,-0.260628495,-15.14244733,-0.215186116,2.551019295,-0.696297393,1.964255392,-0.911953213,-5.429501781,0.767600883
2153,108,1.05,-17,1.48,2.26,0.291,1.56,1.37,-7.23,0.79,0,1,0,0,1.08E+11,0.190502536,-16.01992582,0.506897862,2.323555735,-0.11091726,1.654010623,-0.033923941,-6.264547696,0.77866535
2154,108,-1.6,-13.7,-1.11,1.88,-0.491,1.99,-0.421,-4.1,-2.86,0,1,0,0,1.08E+11,-0.425805821,-14.92402948,-0.181838334,1.976868191,-0.336272743,1.911864784,-0.182859559,-5.260660687,-1.018720383
2155,108,0.283,-7.92,-0.694,1.26,-1.35,1.55,2.26,1.35,-3.23,0,1,0,0,1.08E+11,-0.181827982,-11.6154368,-0.399999473,1.416556931,-0.93732346,1.634152581,0.757081792,-2.194728655,-2.111022697
2156,108,1.81,-3.22,-1.46,1.08,-1.94,0.829,4.11,5.73,-4.72,0,1,0,0,1.08E+11,0.50377852,-7.649565288,-0.851518872,1.153500746,-1.531822097,1.016240371,2.047187316,1.480649731,-3.399774997
2157,108,1.71,-1.92,-2.23,0.294,-1.94,0.414,3.93,6.82,-6.08,0,1,0,0,1.08E+11,0.918971672,-4.943009271,-1.438698728,0.48170648,-1.773835566,0.554052603,2.771638937,3.956965831,-4.723721477
2158,108,2.57,-1.97,-2.76,-0.902,-0.822,0.213,4.65,6.76,-6.71,0,1,0,0,1.08E+11,1.487271622,-3.53860674,-2.001522156,-0.599812168,-1.209481184,0.292312689,3.494377715,5.256974003,-5.704880365
2159,108,-1.2,-9.64,7.5,-1.82,0.0385,-0.603,0.783,-0.637,4.15,0,1,0,0,1.08E+11,0.562286635,-6.42080855,2.04576019,-1.55352306,-0.469538599,-0.394792642,2.451118375,2.523431236,-0.836880606
2160,108,-15.4,-23.3,12.3,1,-0.776,0.145,-13.7,-14.2,9.24,0,1,0,0,1.08E+11,-4.9320872,-14.39427119,6.413671336,0.442335764,-0.651243148,0.019469783,-3.763362461,-5.232662319,4.140780102
2161,108,-0.532,-4.35,-0.97,0.942,-1.7,0.936,1.34,4.57,-4.6,0,1,0,0,1.08E+11,-3.417534487,-9.649516342,3.268511826,0.83287824,-1.273063334,0.722858453,-1.799736905,-0.686324479,-0.176889213
2162,108,-0.845,-11.4,3.19,-1.07,0.845,-1.24,0.928,-2.48,-0.444,0,1,0,0,1.08E+11,-2.532043161,-10.47641695,3.235068838,-0.654430212,-0.017238887,-0.783532055,-0.750183038,-1.518206122,-0.30883351
2163,108,2.59,-9.57,-2.05,-0.129,-0.00367,0.343,4.38,-0.571,-5.5,0,1,0,0,1.08E+11,-0.768986228,-10.04823978,0.983833166,-0.243748768,-0.009193736,0.081021971,1.223762328,-1.078905154,-2.873105834
2164,108,3.81,-4.97,-2.55,-1.88,2.51,-0.984,5.64,4.21,-5.48,0,1,0,0,1.08E+11,0.807145249,-7.649359548,-0.521443584,-1.522658875,1.484465577,-0.73632633,2.923002172,1.374015145,-4.160829243
2165,108,-3.48,-16.7,-1.94,-1.89,2.54,-0.863,-1.78,-7.21,-3.78,0,1,0,0,1.08E+11,-0.668531757,-11.92473927,-1.125693985,-1.809776312,2.110304213,-0.833541682,1.113423643,-2.607131108,-3.972711608
2166,108,-0.905,-9,-0.91,-1.96,1.55,-0.991,0.502,0.674,-1.65,0,1,0,0,1.08E+11,-0.749926411,-10.54313871,-1.033816669,-1.927192659,1.778093288,-0.954382647,0.878165586,-1.085388353,-2.825365407
2167,108,0.0311,-6.94,-1.18,-1.63,1.06,-1.09,0.924,2.82,-0.887,0,1,0,0,1.08E+11,-0.481089541,-8.841073015,-1.096085113,-1.69490394,1.352327377,-1.05846185,0.895801346,0.725876144,-1.867874116
2168,108,-0.527,-9.46,-1.39,-1.44,0.806,-1.1,-0.182,0.282,-0.337,0,1,0,0,1.08E+11,-0.49689237,-9.133444349,-1.221281524,-1.49566855,1.028403506,-1.090340211,0.481094716,0.520012595,-1.111670649
2169,108,-0.0886,-9.01,0.936,-0.829,0.756,-1.35,-0.363,0.648,2.6,0,1,0,0,1.08E+11,-0.356354175,-9.075131299,-0.302362719,-0.974593829,0.866892283,-1.289615444,0.156311602,0.579371365,0.721777401
2170,109,-4.93,-10.2,-0.204,-1.14,0.297,-1.04,-5.92,-0.713,1.87,0,1,0,0,1.09E+11,-1.930647394,-9.606501387,-0.260463989,-1.103876913,0.528996503,-1.098048706,-2.181676521,-0.020012409,1.28896311
2171,109,-1.76,-12.6,0.634,-0.205,0.64,-0.695,-3.13,-3.15,3.07,0,1,0,0,1.09E+11,-1.871908902,-11.02058295,0.120543208,-0.401305846,0.594811761,-0.788730043,-2.546563876,-1.471656946,2.16873906
2172,109,-3.56,-12.1,1.59,0.0767,0.726,-0.334,-5.33,-2.79,3.99,0,1,0,0,1.09E+11,-2.45296622,-11.53048267,0.746475198,-0.027691758,0.672594803,-0.439748674,-3.617549165,-2.083086009,3.068384459
2173,109,-6.75,-13.7,2.02,1.11,0.322,0.772,-8.56,-4.26,4.16,0,1,0,0,1.09E+11,-3.932046948,-12.55532824,1.288947687,0.861539359,0.464723057,0.490204635,-5.519260753,-3.092708395,3.607607991
2174,109,-0.735,-13,3.86,2.62,-0.811,2,-1.89,-3.32,5.11,0,1,0,0,1.09E+11,-2.831592367,-12.76538415,2.384116865,2.23596946,-0.291668001,1.648893073,-4.122826696,-3.198123033,4.349742268
2175,109,6.76,-20.3,-8.47,2.23,-2.68,1.47,6.62,-10.5,-8.56,0,1,0,0,1.09E+11,0.469926886,-16.32461711,-2.239318825,2.231303686,-1.707737911,1.511602082,0.010700726,-6.584631503,-2.027262967
2176,109,-0.46,-15.1,0.881,2.26,0.0269,1.88,0.108,-5.37,-0.321,0,1,0,0,1.09E+11,0.149837025,-15.74612754,-0.910183239,2.253733001,-0.679250882,1.794328081,0.04813866,-6.021302337,-1.184422945
2177,109,-2.34,-12.1,-1.83,1.76,-0.903,1.84,-0.893,-2.71,-4.06,0,1,0,0,1.09E+11,-0.707189012,-14.02375476,-1.301989757,1.867826407,-0.811914339,1.829378899,-0.313984144,-4.485566617,-2.60486718
2178,109,2.6,-4.39,-1.16,1,-1.84,1.54,4.69,4.71,-4.15,0,1,0,0,1.09E+11,0.431177508,-9.472921358,-1.241507577,1.189524723,-1.421478326,1.607295803,1.611403533,-0.22079134,-3.368114049
2179,109,1.74,-1.83,-1.63,0.418,-1.9,0.774,4.06,7.01,-5.18,0,1,0,0,1.09E+11,0.881686914,-5.862526244,-1.406990379,0.586493395,-1.705199388,0.967785146,2.553552261,3.132748716,-4.26312841
2180,109,1.34,-3.05,-2.54,-0.271,-1.67,0.525,3.57,5.69,-6.38,0,1,0,0,1.09E+11,1.039442738,-4.53393332,-1.889608806,-0.083731903,-1.684329235,0.627970845,2.944651782,4.318766142,-5.308796187
2181,109,1.49,-4.5,-0.16,-1.33,-0.592,0.0911,3.67,4.33,-3.82,0,1,0,0,1.09E+11,1.194528923,-4.517903756,-1.152862095,-1.05782738,-1.036674509,0.215950742,3.223744723,4.323976213,-4.57337785
2182,109,-3.24,-14.5,15,-0.583,-0.589,-0.837,-1.3,-5.35,11.9,0,1,0,0,1.09E+11,-0.331878971,-9.233288099,5.72763479,-0.686697617,-0.771243068,-0.592133514,1.483139257,-0.162678685,3.563950438
2183,109,-8.89,-16,5.61,0.8,-0.473,0.641,-7.27,-6.9,2.31,0,1,0,0,1.09E+11,-3.2776674,-12.42977575,5.677526959,0.475319922,-0.594411272,0.354231501,-1.884814307,-3.28735418,2.94453849
2184,109,8.78,-5.72,0.127,-0.156,0.577,0.168,10.6,3.2,-3.52,0,1,0,0,1.09E+11,0.872698641,-9.260183738,3.313216337,-0.018125962,0.100132133,0.211308629,2.918979507,-0.278609971,-0.248739384
2185,109,-1.05,-20.3,5.47,0.497,2.54,-0.23,0.596,-11.3,2.05,0,1,0,0,1.09E+11,0.210887127,-14.47521792,4.231922988,0.38450158,1.546758197,-0.127372508,2.025164518,-5.390176695,0.886765261
2186,109,1.81,-5.87,-6.61,-0.964,1.15,-0.5,3.62,3.14,-10,0,1,0,0,1.09E+11,0.761317277,-10.41024906,-0.386318524,-0.669500552,1.311515625,-0.413344486,2.638810812,-1.433999932,-4.490953006
2187,109,1.17,-10.7,-3.54,-1.81,2.54,-1.15,2.81,-1.36,-6.07,0,1,0,0,1.09E+11,0.901989821,-10.54712273,-1.729665306,-1.560926131,2.039898302,-0.978688783,2.704679414,-1.399679805,-5.270952444
2188,109,-3.46,-13.9,0.18,-2.04,1.84,-0.845,-2.04,-4.25,-1.24,0,1,0,0,1.09E+11,-0.599449419,-12.13096873,-0.916221462,-1.935374965,1.92137629,-0.876089704,0.879064697,-2.721618469,-3.279789227
2189,109,-0.5,-7.46,0.0742,-1.88,1.37,-1.14,0.509,2.29,-0.293,0,1,0,0,1.09E+11,-0.565217964,-9.924477017,-0.494340081,-1.892093342,1.594458866,-1.078626948,0.736674559,-0.397299894,-1.804409669
2190,110,-1.22,-8.35,-0.979,-1.35,0.637,-0.99,-0.742,1.43,-0.492,0,1,0,0,1.1E+11,-0.790600305,-9.180719163,-0.700786521,-1.468387855,1.026770363,-1.01061044,0.167723573,0.45017623,-1.156120741
2191,110,-0.342,-8.73,0.711,-1.18,0.538,-0.991,-0.349,1.01,1.84,0,1,0,0,1.1E+11,-0.636187729,-8.967806345,-0.099419848,-1.24298102,0.736972712,-0.995560457,-0.031096641,0.709814665,0.323868313
2192,110,-1.19,-9.56,-1.88,-1.17,0.42,-1.49,-1.83,0.0931,-0.262,0,1,0,0,1.1E+11,-0.826815307,-9.247549457,-0.857878385,-1.185938301,0.54903589,-1.375016777,-0.723262384,0.423791022,0.034467869
2193,110,-1.26,-11.1,0.85,-0.823,0.418,-1,-2.53,-1.64,3,0,1,0,0,1.1E+11,-0.975921679,-10.12261797,-0.130387987,-0.902262154,0.471343192,-1.087211149,-1.418442494,-0.533366399,1.499347099
2194,110,-3.89,-13,-0.357,-0.153,0.742,-0.656,-5.62,-3.58,1.95,0,1,0,0,1.1E+11,-1.978975753,-11.48184772,-0.226915971,-0.316631458,0.631818757,-0.756279313,-3.035079657,-1.946352441,1.721955425
2195,110,-5.04,-13.2,1.57,0.469,0.855,-0.0586,-7.06,-3.9,3.81,0,1,0,0,1.1E+11,-3.032609991,-12.29347558,0.53850102,0.297425852,0.764145528,-0.22084718,-4.583751997,-2.852426915,2.753383483
2196,110,-4.53,-10.7,3.22,1.86,0.314,1.35,-6.37,-1.22,4.92,0,1,0,0,1.1E+11,-3.548026236,-11.54074284,1.68071628,1.518749238,0.497249006,0.98469533,-5.271048266,-2.095330143,3.823623664
2197,110,3.05,-14.2,1.44,2.93,-0.709,2.11,2,-4.48,1.98,0,1,0,0,1.1E+11,-1.276921591,-12.79693376,1.578180444,2.621796813,-0.21795008,1.848307326,-2.47336023,-3.201306698,2.9129318
2198,110,1.32,-19.6,-0.352,1.8,0.263,1.47,1.18,-9.8,-0.907,0,1,0,0,1.1E+11,-0.38303596,-16.0105948,0.755997945,1.979472277,0.067210833,1.557976397,-1.067653421,-6.261688502,1.02600611
2199,110,-1.82,-13.7,-0.462,1.56,-0.956,2.22,-1.06,-4.02,-1.91,0,1,0,0,1.1E+11,-0.877652945,-14.91910628,0.237177745,1.651608561,-0.539462774,2.066044673,-1.064708585,-5.222024701,-0.424288181
2200,110,-1.46,-8.68,-0.881,1.09,-1.38,1.77,0.208,0.737,-3.04,0,1,0,0,1.1E+11,-1.078102466,-11.97185133,-0.239122884,1.212649793,-1.037827086,1.838845961,-0.575007312,-2.458312346,-1.716367204
2201,110,1.42,-4.06,-1.25,0.885,-2.48,1.16,3.55,5.1,-4.06,0,1,0,0,1.1E+11,-0.218231369,-8.234417903,-0.669717586,0.956555474,-1.892908222,1.317867408,1.012175588,1.047127224,-2.874047772
2202,110,1.57,-2.57,-1.64,0.257,-2.67,0.686,3.7,6.39,-5.01,0,1,0,0,1.1E+11,0.39729524,-5.558636468,-1.083020504,0.409776011,-2.353655037,0.832942438,2.046372317,3.525076872,-3.929140839
2203,110,2.76,-2.87,-2.75,-0.566,-1.65,0.45,4.74,6.03,-6.36,0,1,0,0,1.1E+11,1.210561144,-4.288567083,-1.793089541,-0.352900137,-1.936449753,0.539054273,3.082801869,4.686825302,-5.129908571
2204,110,1.1,-7.92,2.78,-1.75,-0.293,-0.511,2.95,1.16,-0.446,0,1,0,0,1.1E+11,1.172504934,-6.003998577,0.154870391,-1.444887178,-0.962029253,-0.266807069,3.031703588,3.05113301,-2.816205646
2205,110,-9.98,-21.4,18.2,0.541,-0.948,-0.581,-8.51,-12.1,15.5,0,1,0,0,1.1E+11,-2.666295337,-13.2768259,7.841400653,0.107301845,-0.953711154,-0.507933576,-1.409208574,-3.975750871,6.231421571
2206,110,-1.8,-9.28,1.12,1.12,-1.71,1.06,-0.308,-0.151,-2.14,0,1,0,0,1.1E+11,-2.368108059,-11.38878845,4.978342952,0.898836721,-1.402123645,0.695372834,-0.985495522,-2.201884877,2.096203608
2207,110,2.3,-7.13,-0.934,-0.768,1.53,-1.02,3.97,1.91,-4.34,0,1,0,0,1.1E+11,-0.761299979,-9.377004216,2.459912649,-0.403979315,0.336366611,-0.621085472,0.921235132,-0.294850163,-1.083077813
2208,110,-2.62,-9.62,-5.87,-0.106,0.782,0.23,-0.875,-0.54,-9.14,0,1,0,0,1.1E+11,-1.401082525,-9.491791526,-1.08830914,-0.171075741,0.600587843,0.032077814,0.230096062,-0.408547241,-5.062943129
2209,110,3.56,-6.49,-2.95,-1.76,1.84,-0.994,5.38,2.76,-5.68,0,1,0,0,1.1E+11,0.306570205,-8.073792591,-1.881317736,-1.412994615,1.335449772,-0.75538289,2.211629456,1.060980674,-5.367749654
2210,111,-3.28,-14.7,-1.79,-1.99,2.21,-1.03,-1.74,-5.16,-3.45,0,1,0,0,1.11E+11,-0.927962055,-11.20390805,-1.842419883,-1.863987726,1.853980815,-0.966137039,0.691157294,-1.824223133,-4.420441905
2211,111,-2.06,-8.97,-0.132,-2.07,1.15,-0.959,-0.878,0.747,-0.658,0,1,0,0,1.11E+11,-1.317620482,-10.14864536,-1.113846915,-2.0250089,1.436582373,-0.960659731,0.087391168,-0.631725795,-2.561914407
2212,111,0.259,-6.53,-0.455,-1.65,0.465,-1.18,0.935,3.24,0.0176,0,1,0,0,1.11E+11,-0.774932411,-8.439254638,-0.83320352,-1.731898224,0.860519866,-1.128991797,0.413526411,1.163926513,-1.287715744
2213,111,-0.735,-9.65,-0.764,-1.47,0.611,-1.14,-0.635,0.0766,0.472,0,1,0,0,1.11E+11,-0.761187292,-9.011191412,-0.803725486,-1.52719601,0.712576631,-1.137440002,0.010083928,0.659639675,-0.418471732
2214,111,0.225,-9.49,0.283,-0.948,0.756,-1.31,-0.283,0.134,2.12,0,1,0,0,1.11E+11,-0.421732058,-9.237372906,-0.340822304,-1.074490703,0.738322842,-1.26987067,-0.102686246,0.415855343,0.83545309
2215,111,-4.04,-10.7,-0.855,-0.852,0.596,-0.913,-5.2,-1.25,1.46,0,1,0,0,1.11E+11,-1.667174984,-9.928294715,-0.559842199,-0.900589772,0.65393798,-0.995991214,-2.063984349,-0.356745079,1.143959561
2216,111,-2.73,-13.3,-0.0958,-0.118,0.971,-0.608,-4.32,-3.92,2.37,0,1,0,0,1.11E+11,-2.033009675,-11.52103504,-0.362178101,-0.288909884,0.841927755,-0.698228373,-2.932033665,-2.009332939,1.749584766
2217,111,-5.22,-13.3,2.41,0.398,0.981,0.0386,-7.12,-4,4.79,0,1,0,0,1.11E+11,-3.130002601,-12.36139003,0.818662995,0.247985662,0.924385313,-0.132751396,-4.543441341,-2.932576496,3.251453866
2218,111,-4.52,-11.7,3.12,1.93,0.451,1.66,-6.22,-2.21,4.93,0,1,0,0,1.11E+11,-3.608453189,-12.04895975,1.79894384,1.562664627,0.643709648,1.24309087,-5.188532302,-2.597455635,4.080602568
2219,111,4.46,-15,-0.294,3.13,-0.856,2.04,3.66,-5.25,0.315,0,1,0,0,1.11E+11,-0.831213287,-13.44298448,0.907430405,2.787709512,-0.24548568,1.854676634,-1.783874227,-3.827668634,2.220513805
2220,111,1.37,-18.4,1.13,1.98,0.49,1.33,1.38,-8.64,0.562,0,1,0,0,1.11E+11,-0.07353431,-15.78460001,1.002236475,2.156395801,0.190592355,1.452014979,-0.566507386,-6.059560813,1.401260345
2221,111,-1.59,-13.6,-0.831,1.81,-0.7,2.01,-0.776,-3.97,-2.38,0,1,0,0,1.11E+11,-0.595516529,-14.75262971,0.221348384,1.88564938,-0.337450222,1.880239092,-0.647114064,-5.090451729,-0.466562921
2222,111,-0.596,-8.25,-0.177,1.1,-0.988,1.63,1.08,1.14,-2.47,0,1,0,0,1.11E+11,-0.59568295,-11.68089031,0.05166732,1.27157809,-0.723168751,1.688193763,0.017429245,-2.200855315,-1.456197589
2223,111,1.26,-3.5,-1.36,0.921,-2.08,1.04,3.39,5.62,-4.26,0,1,0,0,1.11E+11,0.043061127,-7.816367153,-0.549648573,0.997562798,-1.527649763,1.190739154,1.315096486,1.426348006,-2.841187557
2224,111,1.67,-1.77,-1.91,0.163,-2.24,0.456,3.81,7.17,-5.33,0,1,0,0,1.11E+11,0.603069261,-4.960158958,-1.129105853,0.345260281,-1.950010524,0.626865544,2.27506282,4.09017355,-4.070582277
2225,111,2.28,-2.32,-2.17,-0.686,-1.22,0.0685,4.21,6.61,-5.72,0,1,0,0,1.11E+11,1.180285085,-3.712989604,-1.572486686,-0.460782924,-1.517178795,0.19834939,3.019570422,5.258833897,-4.885342445
2226,111,0.831,-10.4,6.3,-1.62,0.036,-0.612,2.58,-1.27,3.23,0,1,0,0,1.11E+11,1.060057759,-6.871827342,1.780889397,-1.366838434,-0.596280991,-0.423551086,2.85043647,2.230852006,-0.876619526
2227,111,-14.5,-24,12.2,1.14,-0.878,0.0715,2.25,-1.12,3.5,0,1,0,0,1.11E+11,-4.295865125,-14.96290513,6.219028986,0.592531214,-0.763315487,-0.043625444,2.619405969,0.676773682,1.285292319
2228,111,1.72,-4.7,0.323,0.747,-0.733,0.902,3.39,4.36,-3.06,0,1,0,0,1.11E+11,-2.225145958,-10.11487102,3.707547817,0.713265525,-0.74534107,0.682092296,2.915908195,2.385002625,-0.861144847
2229,111,-1.7,-16.5,5.54,0.0541,1.72,-1.15,-0.0558,-7.47,2.16,0,1,0,0,1.11E+11,-2.044385639,-13.13110493,4.488101827,0.198055245,0.716388393,-0.723942047,1.772481256,-2.18560974,0.631205351
2230,112,2.04,-4.28,-4.51,-0.849,0.651,-0.0207,3.8,4.73,-7.97,0,1,0,0,1.12E+11,-0.638500478,-8.949983092,0.655257047,-0.62033345,0.677618866,-0.184240808,2.55261152,1.021753399,-3.617518388
2231,112,3.22,-11.7,-0.931,-1.91,2.44,-1.01,5.02,-2.42,-3.49,0,1,0,0,1.12E+11,0.689632841,-10.24904748,-0.020427335,-1.628349527,1.722555209,-0.817967497,3.501990883,-0.574483753,-3.554528336
2232,112,-3.62,-12.6,-1.17,-2,1.99,-0.853,-2.05,-2.99,-2.63,0,1,0,0,1.12E+11,-0.793784566,-11.35960044,-0.510100979,-1.918835204,1.881126348,-0.844853087,1.365746182,-1.694766428,-3.097840588
2233,112,-0.326,-8.39,-0.302,-2.05,1.37,-1.21,0.836,1.34,-0.645,0,1,0,0,1.12E+11,-0.632768581,-9.956808334,-0.421457974,-2.021354866,1.578073583,-1.125084144,1.161915258,-0.287284164,-1.886214782
2234,112,-1.25,-7.73,-1.27,-1.61,0.989,-1.04,-0.676,2.04,-0.635,0,1,0,0,1.12E+11,-0.845225625,-8.904899316,-0.782904175,-1.699835854,1.228805005,-1.059786515,0.454738887,0.792077682,-1.268154185
2235,112,-1.31,-9.07,-0.359,-1.47,0.831,-1.19,-1.32,0.633,1.05,0,1,0,0,1.12E+11,-1.005205456,-8.982890123,-0.602337328,-1.520193905,0.992941765,-1.159718552,-0.228129073,0.718299684,-0.123059242
2236,112,0.156,-8.94,0.785,-0.711,0.839,-1.39,-0.497,0.649,2.72,0,1,0,0,1.12E+11,-0.605507268,-8.962629309,-0.011385069,-0.887719983,0.901667891,-1.336447426,-0.331582794,0.686159454,1.281322262
2237,112,-3.56,-10.9,0.503,-0.895,0.748,-0.662,-4.8,-1.43,2.87,0,1,0,0,1.12E+11,-1.622472319,-9.877812393,0.20772316,-0.893410101,0.810556423,-0.818844543,-2.050899931,-0.295285696,2.066078842
2238,112,-2.72,-13.6,-0.996,-0.109,0.834,-0.84,-4.35,-4.27,1.53,0,1,0,0,1.12E+11,-2.000252007,-11.63611511,-0.305016523,-0.280307423,0.824456388,-0.835080222,-2.935526776,-2.138702622,1.801272808
2239,112,-5.77,-13.7,0.572,0.314,0.556,-0.115,-7.8,-4.47,3.04,0,1,0,0,1.12E+11,-3.297835844,-12.61106159,0.068558736,0.184209132,0.665285464,-0.282456572,-4.807234757,-3.219925661,2.413164907
2240,112,-5.85,-13.4,1.37,1.67,0.0226,1.49,-7.69,-4.02,3.48,0,1,0,0,1.12E+11,-4.176315481,-12.98374343,0.622922572,1.345517904,0.284229764,1.077810518,-5.916439056,-3.590988947,2.940147765
2241,112,3.18,-13.5,3.78,2.82,-0.0886,2.17,2.25,-3.84,4.91,0,1,0,0,1.12E+11,-1.64420028,-13.22761487,1.967715902,2.497987609,0.063174652,1.91600849,-2.774230669,-3.706476753,3.913192491
2242,112,0.469,-19.7,-0.0862,2.07,-0.777,1.28,0.477,-9.93,-0.15,0,1,0,0,1.12E+11,-0.916816232,-16.28506757,1.092826866,2.163468218,-0.434974695,1.427905444,-1.523251607,-6.592859983,1.906103701
2243,112,-0.182,-14,-1.15,2.25,-1.21,1.67,0.547,-4.34,-2.31,0,1,0,0,1.12E+11,-0.663885352,-15.2056378,0.137469047,2.231102313,-0.894496251,1.613700234,-0.726678965,-5.548015084,-0.176518367
2244,112,-1.13,-7.92,-1.03,1.64,-0.595,1.36,0.3,1.54,-3.2,0,1,0,0,1.12E+11,-0.824326536,-11.7640178,-0.359827773,1.7690909,-0.716921451,1.418998675,-0.331642736,-2.260692784,-1.670022844
2245,112,0.912,-3.55,-1.35,1.31,-1.69,1.09,2.8,5.61,-4.3,0,1,0,0,1.12E+11,-0.226666092,-7.883845721,-0.781603,1.410260877,-1.293871095,1.166509542,0.873322348,1.389624573,-2.969148606
2246,112,2.04,-2.33,-2.13,0.387,-2.29,0.604,4,6.57,-5.74,0,1,0,0,1.12E+11,0.553542361,-5.260296831,-1.355968217,0.610470073,-1.884487507,0.734813069,2.076377029,3.792210363,-4.337861586
2247,112,2.2,-1.58,-2.55,-0.737,-1.18,0.185,3.98,7.29,-6.33,0,1,0,0,1.12E+11,1.120269075,-3.521782853,-1.864579731,-0.442725825,-1.466788624,0.312860493,2.808835826,5.414436286,-5.321915019
2248,112,-1.2,-8.52,9.08,-1.69,-0.543,-0.804,0.383,0.59,5.83,0,1,0,0,1.12E+11,0.321609926,-5.882861775,2.797389509,-1.417607674,-0.919063575,-0.544271138,1.875444703,3.176930162,0.186778818
2249,112,-12.2,-26.7,9.55,1.51,-1.06,-0.0134,-11.1,-17.4,6.41,0,1,0,0,1.12E+11,-3.988449662,-15.71654889,5.673741482,0.870639368,-1.00262639,-0.136855494,-3.117129427,-6.366362242,3.260853495
2250,113,3.81,-6.23,-0.0455,0.826,-0.674,0.824,4.92,2.74,-3.86,0,1,0,0,1.13E+11,-1.304147627,-11.23525329,3.237564973,0.835748778,-0.807779989,0.600550501,-0.024675598,-2.14295872,-0.256623224
2251,113,-1.98,-16.2,6.03,0.0327,1.77,-0.732,-0.842,-7.21,2.24,0,1,0,0,1.13E+11,-1.536782579,-13.58052145,4.427034792,0.208077927,0.720615791,-0.422111833,-0.339158275,-4.492981655,0.976629817
2252,113,0.757,-5.32,-5.28,-0.892,1.02,-0.169,2.1,3.64,-9.05,0,1,0,0,1.13E+11,-0.747240345,-9.678381884,0.292211892,-0.651753852,0.898124165,-0.22786183,0.599358897,-0.721018399,-3.976208795
