,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),SPM/RPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq,0,1,2,3,4,5,0_max_freq,1_max_freq,2_max_freq,3_max_freq,4_max_freq,5_max_freq
10,10,10,10,0.7170000000000001,-0.29,2.19,11.4,-1.6,1.98,0.915,3.35,-1.51,0.461,90.0,717000000.0,2.0307374285084494,2.0859931883779064,10.255804991912044,-1.5057380791449082,1.3043232669144729,0.7393709951513625,3.227647726999036,-0.8223360101455659,0.8520490502545599,,,,,,,,,,2.408305095276692,1.914477760534932,3.0995642684758486,2.419946770978929,1.7189310014746255,-1.9138321167596868,,,,,,
11,11,11,11,0.767,-0.836,-0.304,12.8,0.601,2.97,0.317,4.16,-2.05,6.06,90.0,767000000.0,0.9050439789641718,1.0629276758924924,11.455268217999222,0.1541983032482963,2.4151108037717304,0.4330178941714199,3.6386915878438617,-1.334055190686584,3.597329313516412,,,,,,,,,,2.556675143397343,2.721330276280635,2.2269534680911187,2.5929519834546357,0.9121158728239448,-2.734702795506688,,,,,,
12,12,12,12,0.8170000000000001,-0.836,-0.304,12.8,2.81,-0.713,0.836,4.22,-4.67,3.79,90.0,817000000.0,0.2213708735642601,0.477795124157014,12.089243880915713,2.246751614249919,0.32907191903594324,0.7253079126796547,3.894972224725264,-2.7245647976931866,3.6988922847283527,,,,,,,,,,0.5309857038347132,3.879441531012224,2.4365154283409467,2.5130197917736776,1.3201586495919209,-2.148999259929872,,,,,,
13,13,13,13,0.867,-1.97,-0.342,16.8,-0.5589999999999999,-0.431,0.831,2.79,-1.83,-1.21,90.0,867000000.0,-0.6391413558760616,0.1268698111624207,14.310136204654706,0.03605004121642885,-0.1777961767817563,0.8019682187666897,3.407824053458155,-2.351685813259254,1.1112552883070674,,,,,,,,,,1.1491157813450656,4.085621483822579,2.265836222865382,2.7715970743304106,2.043273414870034,-1.9223066486668388,,,,,,
14,14,14,14,0.917,-1.24,1.11,7.24,-1.1,3.95,-0.276,4.19,-4.45,-2.21,90.0,917000000.0,-0.8750883042611474,0.5477132950572103,10.97691010308174,-0.8590639950565953,2.5749015292771484,0.020098939022497042,3.7526614040653317,-3.2263209903198797,-0.6394865538853372,,,,,,,,,,2.9625884098696584,2.278078523515679,1.1133046411647345,3.0360876318950747,1.1714715127195898,-2.0277985732506467,,,,,,
15,15,15,15,0.967,-1.44,-2.02,5.73,2.13,0.997,0.117,4.44,-3.64,0.236,90.0,967000000.0,-1.0969196849941514,-0.5514346778113222,8.503246671915125,1.496072738810743,1.5226485251103663,0.09038297977120956,4.055687907050744,-3.3987539066446586,-0.17798907920961615,,,,,,,,,,1.2848741655846625,2.3902094321216265,1.1999297220878746,2.4316308558713025,0.7739842108935086,-1.4379794218837452,,,,,,
16,16,16,16,1.02,-1.44,-2.02,5.73,-0.509,2.0,0.155,4.35,-3.35,-2.64,90.0,1020000000.0,-1.2316416366089673,-1.1800759960180192,7.1957954760195815,-0.08375970911361262,1.8409792368166444,0.13725084047624467,4.185441031280426,-3.3784318859958726,-1.475795269709049,,,,,,,,,,1.8328755849813436,1.6205305193527928,0.9626759601384164,2.377972712762096,0.6374957158906653,-1.0230057157987362,,,,,,
17,17,17,17,1.07,-1.44,-2.02,5.73,-1.42,3.01,-0.447,5.48,-6.89,-1.49,90.0,1070000000.0,-1.3134605286623922,-1.5396180121541494,6.504744060249642,-1.1366071483067608,2.620562474919712,-0.2865165548764365,4.7561723499591375,-4.842150888651076,-1.4832830506698846,,,,,,,,,,2.737171038951577,0.993174133943638,0.4026234131209948,2.730859431942166,0.3628709869116121,-0.9168322371214578,,,,,,
18,18,18,18,1.12,-1.44,-2.02,5.73,-0.184,-0.35600000000000004,0.395,11.7,5.81,4.35,90.0,1120000000.0,-1.3631505022621149,-1.7452526953129075,6.139489846791574,-0.3860310465928513,0.6355864082347562,0.2077993817389716,7.8174927298036945,-0.4020387106783172,1.59163036429599,,,,,,,,,,1.5233813034862669,1.9351603400246535,2.0230049876855727,2.0716265188232144,-0.2757081340511653,-0.1822314697363091,,,,,,
19,19,19,19,1.27,2.95,5.79,9.11,-1.25,1.21,0.489,11.0,5.1,3.66,90.0,1270000000.0,0.3305521880568065,1.480324857929137,7.5399410495489825,-1.066767539538851,1.0186448237681307,0.4117591243984969,9.22056249641558,1.8913637329113144,2.681935403945726,,,,,,,,,,2.2901227033815994,1.946013471411843,3.4341933714859847,2.4677548340804947,-0.06547327396856972,-0.7300961639377932,,,,,,
