,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Time (s).1,Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Time (s).2,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Sitting,Walking,Running,Bikking,Unnamed: 16,Unnamed: 17,Unnamed: 18,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq,0,1,2,3,4,5,0_max_freq,1_max_freq,2_max_freq,3_max_freq,4_max_freq,5_max_freq,RPM
10,10,10,10,0.500985282,0.766301453,3.185744286,9.115457535,0.643499709,0.055760384,-0.487931252,-7.418509483,0.64130372,-4.825082302,-0.300460488,-1.843078852,0,0,0,1,,,,1.265027307,3.010874012,9.756652143,-4.173856425,-0.359765245,-1.706543308,0.19369783,-0.606618244,-5.307260827,,,,,,,,,,-4.684610796,-0.279606021,-2.610829703,3.513122818,2.732864993,2.529432989,,,,,,,64
11,11,11,11,0.550985282,-0.763609529,5.819344521,8.916853905,0.693499709,-2.636665344,-2.69180727,-7.130287647,0.69130372,-3.737316132,0.100026235,-1.608971715,0,0,0,1,,,,0.182830427,4.992499376,9.359260365,-3.825608603,-0.029200062,-1.633118363,-1.809664778,-2.09730351,-6.612773515,,,,,,,,,,-4.260310136,0.021058271,-2.458235532,3.179373211,4.722701893,2.181916281,,,,,,,64
12,12,12,12,0.600985282,-0.100199446,1.758724689,0.86530447,0.743499709,-2.636665344,-2.69180727,-7.130287647,0.74130372,-2.30319953,0.378878027,-1.161831498,0,0,0,1,,,,0.031845265,2.710784143,5.339925462,-2.611114425,0.264185992,-1.278463786,-2.395024998,-2.522309581,-6.983377643,,,,,,,,,,-3.766899061,-0.035588336,1.912170934,1.977125366,5.155984698,0.821008211,,,,,,,64
13,13,13,13,0.650985282,-2.688336134,-3.958326817,3.249752283,0.793499709,-2.636665344,-2.69180727,-7.130287647,0.79130372,-1.869574428,0.617032111,-1.346078277,0,0,0,1,,,,-1.419263155,-1.994865923,4.350856577,-2.019554624,0.51786325,-1.329345299,-2.566060729,-2.643482148,-7.088583377,,,,,,,,,,-2.996535426,0.039336986,2.909277708,0.96624998,4.724409996,-0.39735255,,,,,,,64
14,14,14,14,0.700985282,-5.980261803,-3.30239439,13.51825142,0.843499709,-4.1209445,2.024466038,1.209766388,0.84130372,-1.788942575,1.499706388,-1.247044683,0,0,0,1,,,,-3.852374255,-2.917443378,8.688863362,-1.835585023,1.223755313,-1.267412127,-3.666624796,0.693597367,-1.145938547,,,,,,,,,,-2.072372646,2.44302183,-2.405327548,0.868933091,1.134145949,-0.495612898,,,,,,,64
15,15,15,15,0.750985282,-4.785645485,0.030209387,9.958030701,0.893499709,-4.785246372,1.239790201,0.4211483,0.89130372,-2.444458008,2.297243834,-1.033095479,0,0,0,1,,,,-4.350237281,-0.837612571,9.289432738,-2.321310383,1.995535445,-1.091083275,-4.458397618,1.084066337,-0.023710536,,,,,,,,,,-2.643859346,3.47033606,-3.53311582,0.693449421,1.21480167,-1.267979746,,,,,,,64
16,16,16,16,0.800985282,-5.843871117,-0.774078131,10.37707329,0.943499709,-4.785246372,1.239790201,0.4211483,0.94130372,-2.052752256,1.680822611,-0.738896132,0,0,0,1,,,,-5.147031437,-0.792783381,9.804103727,-2.107069489,1.769273954,-0.826054072,-4.68974481,1.195392105,0.294863414,,,,,,,,,,-1.962747964,3.316067398,-4.083436767,0.561242585,1.0492264,-0.846283261,,,,,,,64
17,17,17,17,0.850985282,-6.748657227,-2.593520641,8.500203133,0.993499709,-4.785246372,1.239790201,0.4211483,0.99130372,-1.060507178,1.304769754,-0.173786044,0,0,0,1,,,,-6.001434998,-2.063363442,9.187098588,-1.272179672,1.435320581,-0.335206864,-4.75734188,1.227131955,0.385299012,,,,,,,,,,-0.827119234,2.724179039,-3.284062773,0.109771885,0.793036409,-0.676679826,,,,,,,64
18,18,18,18,0.900985282,-4.754538536,-2.792423964,7.156932354,1.043499709,-1.842512608,1.2787714,2.729658127,1.04130372,-1.192450166,2.129260778,-0.36207971,0,0,0,1,,,,-5.336265403,-2.577780388,8.226424895,-1.20857586,1.934226016,-0.35542932,-2.694193226,1.264048589,2.064150105,,,,,,,,,,-1.634934273,2.982413005,-2.43241816,-0.219492748,-0.16654635,-1.965591668,,,,,,,64
19,19,19,19,0.950985282,-6.169294834,-5.088337421,9.974780083,1.093499709,-0.0087924,1.545269966,2.092156887,1.09130372,-0.670328498,1.168703556,0.249454752,0,0,0,1,,,,-5.780653423,-4.349201338,9.053745736,-0.779191735,1.38385681,0.099760333,-0.793436585,1.465091544,2.084206425,,,,,,,,,,-0.888212775,1.586905492,-3.084693608,-0.244912027,-1.153327586,-1.595324602,,,,,,,64
