,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),SPM/RPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq,0,1,2,3,4,5,0_max_freq,1_max_freq,2_max_freq,3_max_freq,4_max_freq,5_max_freq
10,10,10,10,0.544,-0.958,-1.92,11.2,0.463,0.779,-0.622,7.96,1.79,9.54,60.0,544000000.0,-0.6668574479134439,-0.2923811787734121,10.338309588674713,0.049553907926005225,0.5909713869489702,-0.5848007761398246,8.200178891260615,2.8475467608659657,8.279274278995143,,,,,,,,,,4.141719913188691,4.3106707051956965,6.495862585792287,-4.398373735759129,2.927088378076518,-0.9546102775540656,,,,,,
11,11,11,11,0.594,-1.67,-1.56,10.3,-0.433,0.447,-0.6459999999999999,7.16,2.46,8.89,60.0,594000000.0,-1.1323139105677242,-0.7957327525054609,10.31922823616534,-0.3014410982895458,0.4957631110139753,-0.626838436861087,7.677841695888348,2.6941066310122967,8.584449855673377,,,,,,,,,,4.337787151359908,3.772168922069641,6.54281017370437,-4.3007036910114484,2.4190706643271382,-0.8115487943074214,,,,,,
12,12,12,12,0.644,-2.57,-1.3,9.74,0.618,0.0373,-1.03,6.04,3.13,8.24,60.0,644000000.0,-1.799398471084522,-0.9959718245886441,10.030722917577114,0.3673323166907837,0.19258147060680536,-0.9037694022638856,6.855381534758557,2.866690741352057,8.412330501232745,,,,,,,,,,4.138809933722425,3.2422532903137142,6.8088242338435645,-3.6909125079128615,2.546322739009877,-0.4799455196189419,,,,,,
13,13,13,13,0.6940000000000001,-2.37,-1.61,9.07,0.738,1.29,-0.499,6.16,3.07,7.79,60.0,694000000.0,-2.064156902792297,-1.2397968913904975,9.552200551739336,0.6369446762310003,0.9183042860858726,-0.6257340041196465,6.506187989208825,2.947187699331949,8.101356164775645,,,,,,,,,,4.053471177749904,2.8720511717930384,6.397654370097759,-3.2736468103108267,3.286306941078088,-1.4036853835703105,,,,,,
14,14,14,14,0.7440000000000001,-1.08,-2.89,4.98,-2.4,2.01,-1.69,7.32,2.12,4.35,60.0,744000000.0,-1.6075091616682209,-1.895078795800182,7.274853449082191,-1.5720364037312982,1.6402426227798248,-1.356776527497602,6.914852712430892,2.619675621674064,6.226828938798278,,,,,,,,,,6.764673929622668,2.866411855581032,3.931409635370012,-3.630726712999796,2.0124599750886607,-0.7375389312925559,,,,,,
15,15,15,15,0.794,-2.21,-6.12,4.02,-4.22,2.99,-3.11,5.51,-0.218,5.34,60.0,794000000.0,-1.8870642967734879,-3.5727606398289096,5.653657902326487,-3.498084277840368,2.5328371423226628,-2.5610626465182564,6.209390610198518,1.4961416458503989,5.7836866204228645,,,,,,,,,,9.879296261963695,1.3703355690215269,1.6155459323976142,-4.346769739780205,0.5561218423555044,-0.2740613454413066,,,,,,
16,16,16,16,0.8440000000000001,-6.39,-7.31,7.57,-2.84,2.69,-2.8,0.0468,-0.802,11.1,60.0,844000000.0,-3.976421694156605,-5.056788326057308,6.608160335805604,-3.0194137659616582,2.6367689732498567,-2.7251882713568936,3.1147780568808963,0.5862276394271824,8.440212484168578,,,,,,,,,,9.813541501370176,-1.5643128425578652,2.655905847512248,-3.928407350630213,0.3241362205896662,-0.7326650795903902,,,,,,
17,17,17,17,0.894,-10.8,-5.44,7.45,-1.34,2.72,-2.05,-5.82,1.42,12.4,60.0,894000000.0,-7.142554989642648,-5.208958635995997,7.0274684307429425,-1.797859394805852,2.6918096676734207,-2.2614025750372027,-1.3719189534194365,0.916347055076976,10.418891210144306,,,,,,,,,,8.95965797980664,-4.53604707061471,4.735930319073959,-1.672328013508824,1.1264229209812326,-1.4369284910098836,,,,,,
18,18,18,18,0.944,-13.0,-3.51,6.86,-1.66,1.98,-1.01,-9.28,3.27,12.9,60.0,944000000.0,-9.860403358043264,-4.534315742884775,6.944054888266917,-1.6975846478292729,2.221089968317227,-1.4018162897063675,-5.343048564569809,1.8482400137154367,11.65868422380725,,,,,,,,,,8.150191228991888,-6.4252387128028,6.911854269031748,0.8329361254570105,1.1602718959362064,-1.327523367667186,,,,,,
19,19,19,19,0.994,-13.3,-1.63,7.6,-1.32,1.59,-0.285,-10.3,4.76,14.4,60.0,994000000.0,-11.456372696991751,-3.381035170794589,7.270771636396821,-1.422941119545937,1.803750213194024,-0.6346770966331605,-7.832236261643318,3.0011070493714627,13.028500900572483,,,,,,,,,,7.356192669604424,-7.248013362295402,8.912701355877257,2.56716475614651,1.596254699962784,-1.2357808992464163,,,,,,
