,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),SPM/RPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq,0,1,2,3,4,5,0_max_freq,1_max_freq,2_max_freq,3_max_freq,4_max_freq,5_max_freq
13,13,13,13,0.65,-1.33,1.95,10.0,-0.121,-0.115,-0.276,1.93,0.34700000000000003,0.275,90.0,650000000.0,-0.7741289470898713,2.4353861345868126,9.855254925576252,-0.275979776222464,0.03528996393407008,-0.24372072499540165,2.12591278060296,0.2357232305584577,0.5822732268451436,,,,,,,,,,1.591893447314198,-1.0209066880814637,4.954694300550766,-1.4597296255722048,0.3178985384587077,-0.8809350600274918,,,,,,
14,14,14,14,0.7,-1.61,1.88,9.29,0.0382,0.145,-0.29600000000000004,1.53,0.975,0.975,90.0,700000000.0,-1.107076379034242,2.2089996049744625,9.568045876849276,-0.04016231410278834,0.11241351429699534,-0.2803583835358521,1.8524263592265136,0.5475415221456559,0.7931439417839947,,,,,,,,,,1.476302768036429,-0.9146278366282552,4.91610470743353,-1.2830433179410183,0.3514156178000701,-0.8101750111796902,,,,,,
15,15,15,15,0.75,-2.07,2.43,9.98,-0.28800000000000003,1.04,-0.935,2.76,0.924,-0.124,90.0,750000000.0,-1.4906320784370592,2.299083861591149,9.777361722306496,-0.2261846360214372,0.7644847868077164,-0.7391354868053146,2.268945468700833,0.7063273414353856,0.3006927012714669,,,,,,,,,,2.181490131517993,-0.7070194599099895,4.921195237455756,-1.1045100873078093,0.8661869458077701,-0.7041648142509379,,,,,,
16,16,16,16,0.8,-1.07,2.3,8.8,-1.46,-0.623,0.096,1.35,0.238,-2.09,90.0,800000000.0,-1.3230841517844236,2.299457278745248,9.280759136621997,-1.1522633983081445,-0.2108841286147356,-0.15386710663275238,1.8472074093082564,0.5087923028400155,-0.9829657227054124,,,,,,,,,,1.7825471039977066,-1.1147264002020951,4.873175330708555,-1.1168273667058362,0.2607076432143323,-0.33526427803851844,,,,,,
17,17,17,17,0.85,-2.43,1.19,6.91,-1.68,1.53,-1.26,3.28,-0.537,-0.942,90.0,850000000.0,-1.7639956118545197,1.8472199978795367,8.076163748747128,-1.5483725808418347,1.012916104101631,-0.9290522242053416,2.5047689214847906,0.06768922836374175,-0.9609695736312088,,,,,,,,,,3.0547486270105875,-0.6105989112423377,4.230423369811029,-0.7420957811379036,0.8384933559114183,-0.09881360664797152,,,,,,
18,18,18,18,0.9,-0.508,-0.481,8.1,-0.223,2.01,-1.89,2.85,-0.551,0.894,90.0,900000000.0,-1.2637020847929252,0.8981902547017384,8.088275268449587,-0.5535727164585748,1.7138424277804667,-1.6024906639810217,2.6632081914265253,-0.1932667201442181,0.03503773242503616,,,,,,,,,,3.3717681986654062,-0.3530564523549491,3.8756687807185917,-0.7290540591074341,1.2231920588856682,-0.5988775758564464,,,,,,
19,19,19,19,0.95,-1.89,-1.27,9.45,-0.913,1.52,-1.86,2.28,-0.102,-0.371,90.0,950000000.0,-1.513171740629326,0.014391888871559287,8.780174740890857,-0.8233521030826862,1.5775757851190948,-1.7829548911322426,2.487339762471485,-0.1547714740234714,-0.1829801515643792,,,,,,,,,,3.4525912411628523,-0.2569175730409445,3.952068624425425,-0.6445574805579135,1.5022198254529793,-0.4056151506657101,,,,,,
20,20,20,20,1.0,-3.07,-1.46,7.74,-1.72,1.3,-2.26,1.14,-0.4970000000000001,0.769,90.0,1000000000.0,-2.1332942003387583,-0.5866001998481586,8.251656313512957,-1.4963592641612318,1.3824465580903458,-2.117271198709809,1.8689956940582781,-0.2991195057241326,0.32817604024208435,,,,,,,,,,3.8236755663427537,0.102414708733672,3.793690496798831,-0.3850498707236165,1.446815385355219,0.22436873361154547,,,,,,
21,21,21,21,1.05,-4.61,-2.96,8.32,-1.32,0.848,-2.15,-0.8140000000000001,-0.0747,2.08,90.0,1050000000.0,-3.119826294608449,-1.554046169340639,8.286381948585896,-1.3639873386559231,1.0067432965013892,-2.140207822305793,0.6376697077589408,-0.2044619569087021,1.2688003057232693,,,,,,,,,,3.3577771084272587,0.5017364198818548,3.910496586782183,-0.059575347805122025,1.4532093153111107,0.6344385802515771,,,,,,
22,22,22,22,1.1,-6.59,-3.75,9.11,-1.69,1.1,-1.56,-2.5,0.7440000000000001,1.96,90.0,1100000000.0,-4.502080780037903,-2.4491615430485028,8.7048664809876,-1.6086863871342072,1.0723005639963001,-1.7335943675556136,-0.8023229992964247,0.1955883173992352,1.6399330701232218,,,,,,,,,,2.898045571771484,0.9103722527920372,4.1706268610753705,0.41065827275084377,1.7918461498176292,0.9301514235491892,,,,,,
