,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),SPM/RPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq,0,1,2,3,4,5,0_max_freq,1_max_freq,2_max_freq,3_max_freq,4_max_freq,5_max_freq
0,0,0,0,0.0475,0.7609999999999999,5.1,8.1,-1.69,0.293,-0.159,-0.895,-1.29,0.841,60.0,47500000.0,0.15569595618919446,3.61645991567984,6.968846578206014,-1.4722217519091978,0.3481324942154178,-0.2061690619560364,-0.972997531268708,-0.9284585301235893,0.6013225656211468,,,,,,,,,,-2.713466133565135,1.493509808579072,5.0515107208368475,0.8135416741855526,-2.6108846235995835,2.418203946322864,,,,,,
1,1,1,1,0.0975,-0.637,4.29,8.83,-1.29,0.8959999999999999,-0.516,-1.92,-1.5,1.02,60.0,97500000.0,-0.005734442947441049,3.738209557265821,7.640378146326755,-1.3475886171394338,0.6654276994528026,-0.4039042260830517,-1.1975436935354924,-1.0303702897136515,0.7537500053307553,,,,,,,,,,-2.7608019935637116,1.9639269560361228,5.156845127070231,1.00805311536612,-2.6934258304544443,2.596722646093856,,,,,,
2,2,2,2,0.147,-0.7709999999999999,4.47,8.72,-0.373,-0.29600000000000004,-0.0799,-1.79,-0.944,0.612,60.0,147000000.0,-0.2326631351075054,3.937693801946255,8.141432220061567,-0.6423804516056203,0.05051410580031978,-0.1830164987193895,-1.397634942493093,-1.007128907577685,0.6873816050360027,,,,,,,,,,-1.982059847711032,1.3937846892065844,5.752621728445102,0.7359573253693251,-2.674054664242312,2.5208213652736102,,,,,,
3,3,3,3,0.197,-0.397,4.74,7.22,0.231,0.26,-0.0977,-1.42,-0.6579999999999999,-0.906,60.0,197000000.0,-0.2884856516239351,4.192944978433979,7.687895622183231,-0.0077902781096403926,0.18610747358396545,-0.12448143689523446,-1.4061136558680476,-0.8973035809132477,-0.10311518814235844,,,,,,,,,,-1.8695042758781624,0.944937488321214,5.581270493488733,0.37180008062987097,-2.911344612702793,2.8567953916365334,,,,,,
4,4,4,4,0.247,1.4,4.2,6.13,-0.591,-0.0953,-0.0531,0.499,-1.16,-2.02,60.0,247000000.0,0.31595066557990303,4.195334350797976,6.909954827111522,-0.4316755559607067,0.0036933195109139227,-0.07547657237599015,-0.6542475299058244,-0.9853832027143038,-1.0674992353747401,,,,,,,,,,-2.474601313884841,0.2098062656635859,5.213026483828863,0.4860657315483081,-2.6672844182968376,2.9494931920505882,,,,,,
5,5,5,5,0.297,-0.244,4.93,8.97,-0.162,0.343,-0.117,-1.05,-0.213,0.66,60.0,297000000.0,0.1113291554063908,4.450665938202409,7.9423223719298175,-0.2356669589661,0.22367895704364524,-0.10398502856876077,-0.8126680587182225,-0.7194350340073286,-0.19542508729266828,,,,,,,,,,-2.341011919612748,0.7059366360703286,5.6907800930711865,0.600102112560401,-2.9281087411744213,2.7599559464405816,,,,,,
6,6,6,6,0.34700000000000003,-0.512,5.48,7.22,0.0473,-0.245,-0.0555,-1.15,0.331,-1.1,60.0,347000000.0,-0.11831438109570658,4.812269917998833,7.580018392158671,-0.02999740343940155,-0.08019057192044822,-0.07069679266235535,-0.948385294630129,-0.35369328571944986,-0.6524525453055439,,,,,,,,,,-2.2755049970511747,0.41140374529282253,5.834741516099365,0.05966978513315301,-2.8205716000630767,2.7581928700364786,,,,,,
7,7,7,7,0.397,-0.6679999999999999,5.05,7.44,-0.906,-0.464,0.203,-1.31,0.442,-1.16,60.0,397000000.0,-0.321480233942685,4.8961586372464385,7.5097722897323385,-0.6667045732979131,-0.3290353462447455,0.11721458939103685,-1.094133148118859,-0.07534628165453787,-0.9089381327258994,,,,,,,,,,-2.426924667512154,0.3996377446069799,5.973925470879222,-0.2836249429522768,-2.4425576319798936,2.7521223950925595,,,,,,
8,8,8,8,0.447,0.227,3.98,9.12,-0.921,-0.207,0.315,-0.76,-0.618,0.515,60.0,447000000.0,-0.11850088131823365,4.572267025970767,8.31765493002787,-0.8515347583956516,-0.2499130868309529,0.25300767633135546,-0.9593757177220584,-0.2655505842242433,-0.1893249159016676,,,,,,,,,,-2.2870516537955705,0.5635911245190283,6.1838671086147246,0.20823312870494665,-2.532294478988504,2.564903820664623,,,,,,
9,9,9,9,0.4970000000000001,-0.0215,3.9,10.5,-0.564,-0.583,0.161,-1.14,-0.353,1.71,60.0,497000000.0,-0.08258501566145074,4.334413999145847,9.41259490993466,-0.6425451567846439,-0.4658717570989761,0.18983816961643465,-1.0322388455733134,-0.2962277438979222,0.7705454680088568,,,,,,,,,,-1.9279378429200882,0.8011540407268533,6.6962226800639435,0.5957677603199149,-2.5680285434959447,2.1288660355466837,,,,,,
10,10,10,10,0.547,0.7809999999999999,2.74,11.1,-0.263,-0.8420000000000001,-0.0861,-1.51,-0.151,1.67,60.0,547000000.0,0.2372329708705113,3.770115331595292,10.25921350844065,-0.3666794073397393,-0.7097365053192353,0.00038791621947839583,-1.2249814010096407,-0.2452641747915912,1.2251081814191722,,,,,,,,,,-1.7310473328696618,0.8790104782965431,6.968899881162268,0.95790198493278,-2.5582613465906974,1.670173142485336,,,,,,
11,11,11,11,0.597,-0.151,3.5,7.42,-0.34700000000000003,0.013999999999999999,-0.363,-1.85,-0.487,-1.38,60.0,597000000.0,0.0934442838989346,3.6745025398187567,8.834699398662119,-0.35237577644939844,-0.2404980989545072,-0.2491025209149821,-1.4771390959670994,-0.3301070157348259,-0.09145193509266723,,,,,,,,,,-2.1663565971517897,0.9317215751607204,6.054496688987039,0.5415052915307085,-2.5025486476628798,2.282438304617844,,,,,,
12,12,12,12,0.647,1.52,1.29,12.3,-0.918,0.4920000000000001,0.307,0.0922,-2.37,3.35,60.0,647000000.0,0.6218101241125931,2.8304118453430003,10.57333969952834,-0.763489836304093,0.23442094173460445,0.1326995576485095,-0.8439979973054335,-1.046099581316162,1.6477768177849788,,,,,,,,,,-1.8627259978231407,1.2935648308548953,6.3156804286656865,1.915104494142373,-2.8539563180393905,2.014672346201873,,,,,,
13,13,13,13,0.6970000000000001,0.584,1.68,9.97,-0.154,0.65,0.293,-0.6990000000000001,-1.66,0.84,60.0,697000000.0,0.6078058814505615,2.423167627697912,10.270627072441195,-0.3204928100843589,0.5038638153487561,0.2427566844801517,-0.7854991522112087,-1.2615812890556468,1.2395453968913732,,,,,,,,,,-1.6078766303257246,1.032168400482522,5.960032431686897,1.9112131865333204,-3.0336036668849538,2.2914247853859657,,,,,,
14,14,14,14,0.747,0.156,1.57,10.1,0.6829999999999999,0.539,0.403,-0.892,-1.86,0.98,60.0,747000000.0,0.44046368919596735,2.1211445149154904,10.18501878670236,0.40887840511148216,0.5266445308484027,0.3527745792301804,-0.8284665446454104,-1.4716311787796772,1.108377265132658,,,,,,,,,,-1.032263681561846,0.7253075754823998,5.8758820312054745,1.8448507441989497,-3.219681978440873,2.430823053205849,,,,,,
15,15,15,15,0.797,-0.479,2.39,7.96,1.02,1.24,0.334,-1.25,-1.36,-1.07,60.0,797000000.0,0.09990731457567904,2.2163203492309784,9.06866330726258,0.8530614320439429,0.9891523432385756,0.3398845522347264,-0.9985327816875208,-1.432447541125312,0.007476581932047477,,,,,,,,,,-1.0753749476033574,0.5621342171919572,5.244988325463343,1.2854385158010522,-3.381733982034893,3.046487038208633,,,,,,
16,16,16,16,0.847,-0.773,2.45,8.18,0.78,2.15,0.985,-0.927,-1.7,-0.7040000000000001,60.0,847000000.0,-0.22340548751377287,2.299043934763046,8.622795687863768,0.7999579874434208,1.7417941472132037,0.7828000401264928,-0.9696731142049804,-1.5263612881597188,-0.3520869542421119,,,,,,,,,,-0.9944073628975356,0.5680719029288561,4.826792846638242,1.0311002294804692,-3.7306744596632235,3.7021487603521015,,,,,,
17,17,17,17,0.897,-1.8,1.67,9.66,-0.0596,0.223,1.31,-1.32,-2.71,0.904,60.0,897000000.0,-0.807354461050815,2.0763595900537246,9.143190650242992,0.1752033011381282,0.7570759005269055,1.1447585046634798,-1.1110113558516552,-1.9418312943960208,0.2827098546949367,,,,,,,,,,-0.2436234708481829,0.4906372245934972,5.482222261233837,1.010215743986788,-2.965817499162198,3.458450082191203,,,,,,
