,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Still,Walk,Run,Cycle,SPM/RPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq,0,1,2,3,4,5,0_max_freq,1_max_freq,2_max_freq,3_max_freq,4_max_freq,5_max_freq
0,0,0,0,0.0481,2.33,4.13,9.51,-0.542,0.687,0.106,0.537,1.55,0.227,,,,,160,48100000.0,1.463419736700115,2.6484537738988654,6.092889287550026,-0.3187510235565466,0.3145161461482566,0.03330267414380804,0.3877622363809398,1.033243588940277,-0.013169637769090844,,,,,,,,,,-0.20896511333499573,-1.8657134614883184,-0.1554961002591726,-0.7209403649395899,0.3584736513587581,0.4984315526585999,,,,,,
1,1,1,1,0.0982,2.42,4.35,9.29,0.0589,-0.055,-0.0525,0.847,1.87,-0.0648,,,,,160,98200000.0,1.6602537775924904,3.394926273954203,6.779927689281071,-0.08911621004342163,0.25650043551558466,-0.006259237643385658,0.5012641249495172,1.4085110271714023,-0.02696445673141645,,,,,,,,,,-0.34343196243877905,-1.970330464991916,-0.05508064107130358,-0.7585247902504203,0.4685548603419685,0.4280255026772264,,,,,,
2,2,2,2,0.14800000000000002,2.19,4.28,8.2,0.142,0.18600000000000005,-0.0231,0.643,1.69,-1.13,,,,,160,148000000.0,1.8275763887474807,3.8808051418069263,7.241242301112036,0.0662071802422998,0.2398657520319153,-0.01569812932973936,0.5528653347536601,1.5653579152739998,-0.4509916883185031,,,,,,,,,,-0.3934426847007342,-2.0149457238875916,0.02071522892898759,-0.8039981856429531,0.5034382179486746,0.3774364721955597,,,,,,
3,3,3,3,0.198,1.97,4.4,8.49,-0.117,0.191,-0.16399999999999998,0.515,1.73,-0.831,,,,,160,198000000.0,1.8793860668141384,4.176922036259316,7.7051696696326575,-0.0581536042633876,0.22621184894538265,-0.10154665091248984,0.5374134311991194,1.6604457630034144,-0.6128193793044563,,,,,,,,,,-0.39194497356004776,-2.0846811807259016,-0.03163014082977928,-0.7535499111421416,0.5380694456984937,0.4443510924767961,,,,,,
4,4,4,4,0.248,1.59,3.95,9.46,-0.0547,0.306,-0.17600000000000002,0.237,1.29,0.113,,,,,160,248000000.0,1.7686686783032963,4.046612647942329,8.388528798215804,-0.05580690451702141,0.25025202163385696,-0.14488702741656692,0.410307538592752,1.4451642974127332,-0.2940435918950315,,,,,,,,,,-0.5002385173408683,-2.1248994238633707,-0.13465813836129145,-0.7744991364927534,0.6342571617552819,0.4613274887010944,,,,,,
5,5,5,5,0.298,1.73,4.04,8.31,0.116,0.0745,-0.0616,0.478,1.29,-1.02,,,,,160,298000000.0,1.7536000193019678,4.042810651677739,8.357430065178868,0.06094686290224805,0.1954486285605629,-0.09635741128122507,0.4392840876355468,1.3548940243840704,-0.6159029604575265,,,,,,,,,,-0.5071724195498736,-2.084053981844188,-0.02455764888708918,-0.7703078648038354,0.6483268822011498,0.42661661396207656,,,,,,
6,6,6,6,0.348,1.14,3.91,8.3,-0.187,0.458,-0.0781,-0.0111,1.12,-1.03,,,,,160,348000000.0,1.5128742523778669,3.9664335983170464,8.33454895845933,-0.10755069255893053,0.2786169333732889,-0.08571740506818849,0.2457634147218828,1.218213353957578,-0.8000297664488614,,,,,,,,,,-0.46140836073771296,-2.0585571017151003,-0.14767333153808246,-0.7670855757579512,0.5579325515325311,0.4879948301527623,,,,,,
7,7,7,7,0.398,1.09,3.78,11.7,0.0932,0.373,-0.0665,0.157,1.08,2.27,,,,,160,398000000.0,1.3465633664864545,3.8592145520534142,9.67832365819932,0.028873849241497218,0.30873186103686856,-0.07451760569104132,0.20757696963047248,1.1377868120841923,0.5662665122557853,,,,,,,,,,-0.7823119152376999,-2.185917343875724,-0.31143684092733376,-0.8635232695300118,0.8076350469521852,0.4917063440350609,,,,,,
8,8,8,8,0.448,1.61,4.92,7.18,0.0272,-0.234,-0.145,0.68,2.06,-2.15,,,,,160,448000000.0,1.4502635353521405,4.469282797904186,8.679998708014091,0.0277363483355392,0.1349833962012882,-0.11559457148294365,0.4108962227767735,1.6744271821199492,-0.642921698118853,,,,,,,,,,-0.5699272130954358,-2.1293069404596494,-0.0012866188150101752,-0.6917578103761579,0.6735135561977618,0.469498744064809,,,,,,
9,9,9,9,0.498,1.47,3.81,9.14,-0.318,0.2,-0.0366,0.58,1.02,-0.214,,,,,160,498000000.0,1.4580352694072818,4.090122212172323,8.863866237845377,-0.20721640384059206,0.1558296053205801,-0.06955668679484793,0.483683680729796,1.2936123800605384,-0.4519644213601082,,,,,,,,,,-0.5327741344931649,-2.1325021572188305,-0.12403694273175822,-0.6669359890094186,0.7047289637299027,0.6042429263850585,,,,,,
