,Unnamed: 0,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Time (s).1,Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Time (s).2,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Sitting,Walking,Running,Biking,RPM,COUNT,Time(m),Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq
23,23,1.221292925,-7.404589652999999,-5.531308651,3.44147706,1.268672195,5.340579987,0.9990696907,-1.267858744,1.245827664,-0.4430933297,-1.442439437,1.085246563,0,0,0,1,32,,,-8.512232793075437,-5.887291974253224,3.5070973873578084,-0.5671690426186661,-1.0128272574792874,1.0615875149763083,2.251394666118837,0.4567204076602582,-0.2441931318707934,,,,,,,,,
24,24,1.271292925,-2.941975355,-4.463511467,1.406381488,1.318672195,0.2017812729,0.4350733757,-1.842025757,1.29736105,-0.9113077521,-0.8481613994,-0.1786728203,0,0,0,1,32,,,-5.4012587660616935,-4.929005985728637,2.4413332801192023,-0.819844879039505,-0.8979951587236926,0.18722596485246332,1.184066085362813,0.4461556281697001,-1.0829783467449934,,,,,,,,,
25,25,1.321292925,-8.11824894,-4.951946259,1.238883972,1.368672195,0.6685347557,-0.5416455269,9.043486595,1.348894487,-1.325538516,-0.08590039611,-0.1427855492,0,0,0,1,32,,,-6.918690582356281,-4.944446105817708,1.8312901450687302,-1.1911386602113598,-0.3316692242091366,-0.04542630236916589,0.9156050554757436,-0.03593824057680245,4.232928300480923,,,,,,,,,
26,26,1.371292925,-6.933203697000001,-6.007779598,11.50947666,1.418672195,-0.6191897392,1.081949234,-2.058784246,1.400427925,-0.02283041552,-0.7890619636,0.05612159147999999,0,0,0,1,32,,,-6.926796118563052,-5.660130568210683,6.7413609523426254,-0.3333355280307537,-0.6506386135916067,0.02616316263991031,0.11636635251232053,0.5096439291624557,0.9300820710676034,,,,,,,,,
27,27,1.421292925,-8.683254242,-4.999803066,0.8270193337999999,1.468672195,1.601873875,0.5662345886,4.500147343,1.4519613619999998,-0.9723924994,-0.17470231649999998,0.1469087601,0,0,0,1,32,,,-7.907773328730718,-5.2156922648834865,3.7408157494362335,-0.8025482329929181,-0.31873760817314944,0.1112866683547468,0.8899388909029549,0.5372628581489625,2.804194490089733,,,,,,,,,
28,28,1.471292925,-5.829514027,-4.983053207,6.932007313,1.518672195,-0.9598708153,-2.008187771,-1.827463746,1.5034948,-0.1712663025,0.1169772521,-0.07062921673,0,0,0,1,32,,,-6.747071012500934,-5.059112828633597,5.359814981231329,-0.3390441708124946,-0.014885598818601575,-0.01696080578231003,-0.07334266008937508,-0.7050379178255524,0.3727968654939948,,,,,,,,,
29,29,1.521292925,-7.938488007,-7.851150036,0.3242274821,1.568672195,4.42001915,0.2955741882,6.30646801,1.555028237,-0.2941993177,-0.4788278937,-0.06444438547,0,0,0,1,32,,,-7.412474248394957,-6.938314096985517,2.8050914145164896,-0.3061178813318114,-0.3384224147472113,-0.05043588771339968,2.266558854601687,-0.2166916966704639,3.4876885932823667,,,,,,,,,
30,30,1.571292925,-4.3235316280000005,-5.933302879,10.50150013,1.618672195,6.312209129,2.001697063,-1.458152533,1.606561675,0.5855734348,0.1579803675,-0.9529217482,0,0,0,1,32,,,-5.687307975355745,-6.261883872476805,6.709739427695409,0.348585710306169,0.007751187788911095,-0.6866724208372458,4.373316246130301,0.8659873569777752,0.8913600750944655,,,,,,,,,
31,31,1.621292925,0.3113660514,-4.034897327,2.433500528,1.668672195,-5.145555019,-1.216725826,-1.8228302,1.6580951119999998,0.3016058207,0.1091125906,-1.802381158,0,0,0,1,32,,,-2.33706441806442,-4.762994126581309,4.540259045329006,0.31409181995267577,0.07843701632240807,-1.4732273021254845,-0.5836006981920141,-0.150475572690995,-0.5334591692353745,,,,,,,,,
32,32,1.671292925,-11.02941704,-7.796115397999999,1.569093466,1.718672195,-0.7874994278,-2.134122849,-0.1382126808,1.70962855,0.30527091030000003,0.06375718117000001,-0.9023740888,0,0,0,1,32,,,-7.191720335765625,-6.804458805608977,3.0328864243782725,0.307615272350794,0.06819982265329247,-1.070785906299807,-0.6897802061930425,-1.1185896354595233,-0.3259737883909292,,,,,,,,,
