,Unnamed: 0,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Still,Walk,Run,Cycle,SPM/RPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq
34,34,1.75,-4.08,-8.08,1.75,-0.8079999999999999,-0.922,-0.7290000000000001,1.25,-0.299,-0.926,0.0,0.0,0.0,1,60,1750000000.0,-4.504040914516118,-7.525622968362197,1.4672767814237642,-0.6698023688079662,-0.7286294778496273,-0.7477805043527731,1.0439918265117292,0.2927288348309799,-1.0248345581741578,,,,,,,,,
35,35,1.8,-3.35,-10.6,1.21,0.7090000000000001,-2.21,-1.59,0.83,-2.26,-1.96,0.0,0.0,0.0,1,60,1800000000.0,-3.736900193633701,-9.795170910776706,1.3274596113710702,0.41549110545700296,-1.8767977321529608,-1.3901068015867848,0.915873139460481,-1.0708313565471554,-1.6269829812745673,,,,,,,,,
36,36,1.85,-3.19,-9.51,1.8,-0.309,-0.999,-3.11,-0.35700000000000004,-0.584,-1.11,0.0,0.0,0.0,1,60,1850000000.0,-3.373352138317121,-9.584653967875653,1.5842618872597003,-0.15477587102485155,-1.196441647060397,-2.701798735006834,0.15379346335809851,-0.8107865516198899,-1.294100208121439,,,,,,,,,
37,37,1.9,-1.08,-9.4,1.7,-1.09,-0.63,-2.19,0.841,-0.115,-0.7929999999999999,0.0,0.0,0.0,1,60,1900000000.0,-1.848862311147765,-9.448339572373019,1.6471598462881265,-0.8909166767396679,-0.7574088081639703,-2.311470871187253,0.5652297149344272,-0.4391266905176493,-0.9714442537111608,,,,,,,,,
38,38,1.95,-0.5529999999999999,-10.4,1.51,-1.2,-0.997,-1.68,0.913,-1.0,-0.894,0.0,0.0,0.0,1,60,1950000000.0,-0.9874468505971634,-10.150868185296687,1.5726202565762153,-1.1342047469999184,-0.943109120941945,-1.8298738929488627,0.7734426545640791,-0.7387215827124717,-0.92157827813605,,,,,,,,,
39,39,2.0,-1.71,-12.3,1.62,0.171,0.561,-0.327,-0.408,-2.87,-0.8079999999999999,0.0,0.0,0.0,1,60,2000000000.0,-1.4677590478463598,-11.737387166383407,1.598368803551989,-0.1068419867507362,0.22268313787156047,-0.6836935983197561,0.0661031668181522,-1.8771606608133824,-0.8484458052184307,,,,,,,,,
40,40,2.05,0.5,-12.1,1.06,0.17,0.117,-0.297,1.63,-2.67,-1.43,0.0,0.0,0.0,1,60,2050000000.0,-0.1597049305666982,-12.0050732587554,1.3057919868565382,0.1110679996484542,0.14077113781093584,-0.38877824141804734,1.0024211373667673,-2.30066207404328,-1.2229056385319832,,,,,,,,,
41,41,2.1,-0.0958,-8.84,1.2,0.246,0.434,-0.391,1.22,0.528,-1.37,0.0,0.0,0.0,1,60,2100000000.0,-0.11722457151528028,-9.668572500888713,1.2482993065577317,0.2172767145810699,0.3680444907017673,-0.3904726875792661,1.132687419759556,-0.7897099678473647,-1.3176189727739296,,,,,,,,,
42,42,2.15,-1.64,-8.87,1.74,0.245,0.665,0.951,-0.2,0.459,-0.903,0.0,0.0,0.0,1,60,2150000000.0,-1.1294789186061531,-9.079055147468528,1.5155142904223349,0.23909848309075316,0.5982062898435632,0.6326135015087355,0.33479643336932463,-0.12270171606646953,-1.0506478668971906,,,,,,,,,
43,43,2.2,-1.72,-9.28,1.84,0.0449,0.0623,-0.0402,-0.303,0.0603,-0.7979999999999999,0.0,0.0,0.0,1,60,2200000000.0,-1.5220237122010742,-9.22739522068873,1.691856223722466,0.0862394857557971,0.18284054316214746,0.1194862354377172,-0.047057570147898686,-0.024949909244757804,-0.8879691419895109,,,,,,,,,
44,44,2.25,-0.759,-9.76,1.62,0.0394,-0.0409,0.0447,0.684,-0.423,-1.0,0.0,0.0,0.0,1,60,2250000000.0,-1.0148090178751183,-9.620571606681796,1.652805926921875,0.049370831074530094,0.009425602227653318,0.06244984081877731,0.3906326548630228,-0.23757150198051494,-0.9601052568636004,,,,,,,,,
45,45,2.3,-1.02,-9.93,1.75,0.168,-0.142,0.107,0.453,-0.61,-0.92,0.0,0.0,0.0,1,60,2300000000.0,-1.0182596743970411,-9.848996153062126,1.7056260927503035,0.14274712933755662,-0.1079400855781568,0.09642642091407956,0.4279725058360265,-0.4365071227593775,-0.9342816912528168,,,,,,,,,
46,46,2.35,-1.57,-9.94,1.44,0.0596,-0.0904,0.102,-0.0606,-0.614,-1.18,0.0,0.0,0.0,1,60,2350000000.0,-1.3850252466220658,-9.916176142203627,1.5612714958012002,0.07729972353442227,-0.09434526558351372,0.10067715966814404,0.13546010342112969,-0.5313163519338875,-1.0924984600747103,,,,,,,,,
47,47,2.4,-0.747,-9.83,1.65,-0.0706,-0.0715,0.132,0.789,-0.485,-0.89,0.0,0.0,0.0,1,60,2400000000.0,-0.9609023952344224,-9.852559665403355,1.6094910311877968,-0.0391162420080373,-0.07663855156158192,0.12456580496357822,0.5267398316338154,-0.5065761156913072,-0.9621106948723476,,,,,,,,,
48,48,2.45,-0.23,-9.58,1.41,-0.119,-0.272,0.133,1.3,-0.217,-1.06,0.0,0.0,0.0,1,60,2450000000.0,-0.4750401231210261,-9.651352293036902,1.5010775160630931,-0.1019949596002892,-0.22805767395784,0.1309982206503107,0.9896970636898962,-0.35189675071780474,-1.0251410970077162,,,,,,,,,
49,49,2.5,-0.0718,-10.2,1.82,-0.133,-0.155,0.07400000000000001,1.42,-0.85,-0.578,0.0,0.0,0.0,1,60,2500000000.0,-0.2069890613738825,-10.05637148042028,1.6743961220746884,-0.1263998855048162,-0.1714327464406664,0.08752801585819596,1.2473229662075886,-0.6179625340071141,-0.7372291640105718,,,,,,,,,
50,50,2.55,-0.555,-10.2,2.26,0.0272,0.0263,-0.0421,0.903,-0.77,-0.145,0.0,0.0,0.0,1,60,2550000000.0,-0.43832691291744585,-10.162399899967117,1.9926428264101508,-0.005497166894443087,-0.018175709737702852,-0.011333956938722885,1.0411739557650928,-0.6991745327763779,-0.3558957343957777,,,,,,,,,
51,51,2.6,-1.69,-9.34,1.98,0.0553,0.147,0.0233,-0.223,0.0448,-0.439,0.0,0.0,0.0,1,60,2600000000.0,-1.2703679149323284,-9.555293028003684,1.9857720866735549,0.042357965597904716,0.10984729223684228,0.015079941402147743,0.2843025459934451,-0.30177468205078034,-0.4094061663727398,,,,,,,,,
52,52,2.65,-1.65,-9.82,1.64,0.0675,-0.0122,0.0624,-0.17,-0.4370000000000001,-0.804,0.0,0.0,0.0,1,60,2650000000.0,-1.5227256826586557,-9.75070315184359,1.7978620718534437,0.06214795839489455,0.015251902024974104,0.05116900831312278,0.01230785182589922,-0.37400635326184295,-0.6634831953388115,,,,,,,,,
53,53,2.7,-0.6659999999999999,-9.78,1.07,0.0608,-0.129,0.0428,0.784,-0.391,-1.38,0.0,0.0,0.0,1,60,2700000000.0,-0.9532232597983628,-9.772330293369693,1.4023051068305703,0.061086943865822835,-0.09655364559775093,0.04478631023999615,0.4743263134922081,-0.3830836448037293,-1.1248448157366833,,,,,,,,,
54,54,2.75,-0.108,-9.85,0.8740000000000001,0.0125,-0.0727,-0.0873,1.29,-0.451,-1.56,0.0,0.0,0.0,1,60,2750000000.0,-0.3913669885514258,-9.82966742702252,1.115197449058811,0.02284281662099912,-0.07806536328212668,-0.055950503977353926,0.9626768754905766,-0.4193617030912239,-1.4050390478425692,,,,,,,,,
55,55,2.8,-0.476,-10.1,1.22,0.138,0.308,-0.0329,0.913,-0.674,-1.23,0.0,0.0,0.0,1,60,2800000000.0,-0.44762620054692337,-10.029230954231867,1.1721524613948346,0.11348621808982436,0.2211629352750115,-0.03837083125758914,0.9329349116949402,-0.5553787665704647,-1.2923322837334037,,,,,,,,,
56,56,2.85,-1.31,-9.71,2.04,0.157,0.371,-0.0628,0.0454,-0.311,-0.416,0.0,0.0,0.0,1,60,2850000000.0,-1.0208831373633664,-9.79357027520572,1.6437846035229111,0.14773712351516072,0.33729738288640165,-0.05700195466219535,0.4015604174361063,-0.4248419196025999,-0.7280662699696067,,,,,,,,,
57,57,2.9,-1.46,-9.62,2.46,0.217,0.321,-0.0726,-0.106,-0.23,-0.0287,0.0,0.0,0.0,1,60,2900000000.0,-1.3127830377427996,-9.665438212106665,2.087357274604528,0.20225584362639887,0.3246657517899213,-0.06889794390008902,0.09767979681056926,-0.32076557711762604,-0.2777477906779405,,,,,,,,,
58,58,2.95,-1.25,-9.71,2.29,0.133,-0.0421,0.0196,0.155,-0.334,-0.237,0.0,0.0,0.0,1,60,2950000000.0,-1.2710484508254254,-9.698334368632151,2.1974835405938182,0.14774265458091573,0.04039603187608632,-0.0014041910145058956,0.1319978774299836,-0.3278348436671813,-0.2515104922047421,,,,,,,,,
59,59,3.0,-0.912,-9.51,1.81,0.0699,0.0941,0.134,0.5589999999999999,-0.149,-0.7,0.0,0.0,0.0,1,60,3000000000.0,-1.032373495019544,-9.559303500940247,1.986905392727797,0.0864705469990418,0.08202045133643612,0.10186303539249726,0.3876475902805312,-0.23230880663750386,-0.5402906583905976,,,,,,,,,
60,60,3.05,-0.472,-9.96,1.97,0.0162,0.0898,0.0868,1.02,-0.601,-0.5489999999999999,0.0,0.0,0.0,1,60,3050000000.0,-0.6598691203428904,-9.855103228609641,1.9777181644555328,0.03115865616169493,0.08805015873491094,0.09037507719129602,0.7662421985206801,-0.4292481149392242,-0.5458985763037861,,,,,,,,,
61,61,3.1,-1.14,-9.52,1.99,0.165,0.17800000000000002,0.0606,1.05,-0.618,-0.593,0.0,0.0,0.0,1,60,3100000000.0,-0.979032767916554,-9.607725726801188,1.9843927390805427,0.13650888499841665,0.15776772876556516,0.06766684786832743,0.9361303134744428,-0.5300714042382053,-0.5762269464729778,,,,,,,,,
62,62,3.15,-1.67,-9.74,2.05,0.127,0.309,0.147,-0.0633,-0.401,-0.478,0.0,0.0,0.0,1,60,3150000000.0,-1.4383483928075644,-9.705372256415457,2.0200470107136232,0.1290241817985946,0.27498355633290417,0.12817098963171064,0.3377631165193614,-0.4611268942109601,-0.5129790923848219,,,,,,,,,
63,63,3.2,-0.919,-10.1,1.7,-0.0174,0.145,0.128,0.725,-0.792,-0.785,0.0,0.0,0.0,1,60,3200000000.0,-1.0931151867466742,-9.996692198273383,1.846117334502437,0.013769658140900295,0.17423698977263424,0.12804058748822816,0.5696050568560171,-0.6378653652656805,-0.6881320250695849,,,,,,,,,
64,64,3.25,-1.57,-9.78,2.11,0.0388,0.195,0.0496,0.0467,-0.392,-0.231,0.0,0.0,0.0,1,60,3250000000.0,-1.4101210786708105,-9.836726822302767,1.9895244391575682,0.03347173343753025,0.1903298038418651,0.0682171691718352,0.2565374733586009,-0.5065344400329537,-0.3937869811104115,,,,,,,,,
65,65,3.3,-2.03,-8.74,2.63,-0.0907,0.184,-0.027999999999999997,-0.449,0.685,0.414,0.0,0.0,0.0,1,60,3300000000.0,-1.822181253783827,-9.027107739169304,2.3375912533793417,-0.06426727285137593,0.1854237529108131,-0.005163720762064422,-0.16587364999167187,0.12993305946679545,0.12634306006531554,,,,,,,,,
66,66,3.35,-2.02,-9.55,2.47,-0.285,-0.00855,-0.0751,-0.438,-0.112,0.309,0.0,0.0,0.0,1,60,3350000000.0,-1.9536798744087525,-9.413114181480227,2.4095488660540667,-0.23801210485958704,0.03508020507600987,-0.05850125088687237,-0.3287979434079594,0.0007026099523863573,0.2439549500977065,,,,,,,,,
67,67,3.4,-1.3,-9.38,1.68,-0.0131,-0.0959,0.181,0.34700000000000003,0.0368,-0.524,0.0,0.0,0.0,1,60,3400000000.0,-1.5191507005183205,-9.388668919036645,2.0130751549001857,-0.06097756631937335,-0.06643883172376827,0.12415652738573353,0.07580787844373682,0.019984315360074074,-0.2505274335153148,,,,,,,,,
68,68,3.45,-1.17,-10.2,1.56,0.132,-0.179,0.106,0.484,-0.802,-0.659,0.0,0.0,0.0,1,60,3450000000.0,-1.287055176424804,-9.987604607506396,1.7668512126467664,0.0909204131673512,-0.1536818007899507,0.11030928755291464,0.3201958773513308,-0.4190850681171659,-0.5135408837650294,,,,,,,,,
69,69,3.5,-1.92,-9.69,1.47,-0.0266,-0.217,0.0215,0.467,-0.797,-0.654,0.0,0.0,0.0,1,60,3500000000.0,-1.707800809513838,-9.767908458920422,1.6055272937019167,-0.0015831541739958904,-0.20275793329310293,0.042578086364980734,0.4080887247775611,-0.6209512982404101,-0.6039818032461899,,,,,,,,,
70,70,3.55,-0.991,-9.71,1.61,-0.0565,0.013999999999999999,-0.0708,0.619,-0.276,-0.5379999999999999,0.0,0.0,0.0,1,60,3550000000.0,-1.2313124632672503,-9.725159661503904,1.607957995868038,-0.04480972170401909,-0.03475501421136573,-0.043890729912703236,0.5343630608550031,-0.4366928439102841,-0.5614964387901954,,,,,,,,,
71,71,3.6,-1.52,-10.0,2.19,-0.141,0.00367,-0.0586,0.6,-0.263,-0.49,0.0,0.0,0.0,1,60,3600000000.0,-1.4232154792867848,-9.928050601980804,1.92426903445414,-0.12052375235858435,-0.004972876860047409,-0.05510888780472781,0.5736604536626685,-0.34391345052864963,-0.5154602419306538,,,,,,,,,
72,72,3.65,-2.2,-8.86,2.48,0.028999999999999998,0.112,0.0263,-0.596,0.583,0.371,0.0,0.0,0.0,1,60,3650000000.0,-1.9395776091130807,-9.139600616961744,2.2262813057167614,-0.00282947183075416,0.08568948095512259,0.006978332546552904,-0.1266249469087819,0.15120466594417906,0.055327114285823376,,,,,,,,,
73,73,3.7,-0.733,-8.98,3.27,-0.0296,-0.16399999999999998,0.0825,0.902,0.457,1.18,0.0,0.0,0.0,1,60,3700000000.0,-1.1375135369300289,-9.021780895412308,2.7934907224730035,-0.02390129501045435,-0.10783774872720102,0.0645756138374895,0.4892213254429933,0.31454764341435204,0.7794983840297873,,,,,,,,,
74,74,3.75,-2.16,-9.67,0.97,-0.146,-0.36,0.016,-0.589,-0.212,-1.09,0.0,0.0,0.0,1,60,3750000000.0,-1.8172043464406693,-9.500305263283103,1.8025138265978016,-0.12000856116784335,-0.303281560039107,0.027528985721359433,-0.15631869509914975,0.033288077221498236,-0.42426239215273,,,,,,,,,
75,75,3.8,1.32,-10.8,1.54,-0.247,-0.365,0.008020000000000001,2.83,-1.32,-0.381,0.0,0.0,0.0,1,60,3800000000.0,0.2682304201842445,-10.459758040872693,1.6598505403608408,-0.21996703036523285,-0.3511177776049438,0.012650282027550851,1.6316149701975768,-0.6895814272879668,-0.3964059598415809,,,,,,,,,
