,Unnamed: 0,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Still,Walk,Run,Cycle,RPM/SPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq
15,15,0.802,-3.63,-5.98,4.42,-1.23,1.07,-1.89,-2.06,-5.46,-5.25,0.0,0.0,0.0,1.0,30.0,802000000.0,-2.194697927617109,-5.600488332304924,5.681798609117903,-1.0941933695286268,1.2133751651363986,-1.4945471157200512,-0.9534960246584464,-4.800007096328723,-4.097539306374398,,,,,,,,,
16,16,0.852,-8.5,-5.41,4.2,-1.23,0.968,-3.46,-6.53,-4.04,-5.31,0.0,0.0,0.0,1.0,30.0,852000000.0,-5.851159052396572,-5.458467275791856,4.773611320622279,-1.1973898246364991,1.040387488416056,-2.9142468359189606,-4.026865133534305,-4.372949080819733,-4.864139470761059,,,,,,,,,
17,17,0.902,-14.7,-3.09,3.16,-3.01,0.815,-2.07,-12.5,-0.6940000000000001,-6.1,0.0,0.0,0.0,1.0,30.0,902000000.0,-10.982624897402617,-3.692627008840157,3.784636830862172,-2.5747520100133365,0.8814909776781303,-2.304424500399393,-8.696649301085554,-2.3056991565696956,-5.645534580274787,,,,,,,,,
18,18,0.952,-16.7,-0.706,6.87,-3.72,1.65,-0.7559999999999999,-14.2,3.52,-1.61,0.0,0.0,0.0,1.0,30.0,952000000.0,-14.298146080705099,-1.4659101149380849,5.675640863898478,-3.4450005297625483,1.4232841264265639,-1.1859556579610584,-11.729701350490028,0.9678378929692166,-3.0939948693998294,,,,,,,,,
19,19,1.0,-15.4,0.445,11.3,-0.636,2.22,0.871,-12.1,5.74,3.79,0.0,0.0,0.0,1.0,30.0,1000000000.0,-14.937113822458286,-0.041207343209344716,9.122783382216396,-1.3105034314842396,1.984962933253527,0.2998389531632604,-11.933783615127988,3.649378485062589,1.2585353578264828,,,,,,,,,
20,20,1.05,-11.9,-0.998,8.46,-0.619,3.4,1.4,-7.18,4.19,1.59,0.0,0.0,0.0,1.0,30.0,1050000000.0,-13.175883370577376,-0.7545560147300625,8.716566689254897,-0.7850453538233315,2.9825536461457203,1.0945149683948865,-9.313838976762405,3.953160864562467,1.4681098933924532,,,,,,,,,
21,21,1.1,-6.6,-0.14800000000000002,9.93,0.792,1.18,1.15,-0.79,4.88,3.84,0.0,0.0,0.0,1.0,30.0,1100000000.0,-9.36251138961491,-0.30233064360640755,9.460274259757854,0.4133163623478562,1.711766646796301,1.1345932877979588,-4.61611035239742,4.473964042316053,2.9677802540119504,,,,,,,,,
22,22,1.15,-4.8,-0.441,7.16,1.17,0.412,1.23,1.65,3.86,1.14,0.0,0.0,0.0,1.0,30.0,1150000000.0,-6.716699240001818,-0.4057173159166769,8.05044724305906,0.9883034110440684,0.7954407933054259,1.2035081461247144,-1.1626798021211178,4.128969504222203,1.8121331244614496,,,,,,,,,
23,23,1.2,-9.51,-1.97,1.79,-0.163,0.16,0.444,-2.9,2.02,-4.25,0.0,0.0,0.0,1.0,30.0,1200000000.0,-8.336541772272023,-1.571987726786255,4.21344950648807,0.11345353123427593,0.3474597405569499,0.6548949068480283,-2.1201661312350897,2.943911761294391,-2.020760175501457,,,,,,,,,
24,24,1.25,-9.42,-2.92,2.49,-0.0626,0.0415,0.332,-2.66,0.871,-3.52,0.0,0.0,0.0,1.0,30.0,1250000000.0,-8.964842069942321,-2.5770150814710773,3.1571556792485045,-0.02032563619365729,0.1317603897227514,0.4216591871751593,-2.4176838851726683,1.7791153450353296,-2.968681655823929,,,,,,,,,
25,25,1.3,-11.2,-6.19,1.15,-1.46,-0.4370000000000001,-0.442,-4.57,-2.27,-4.95,0.0,0.0,0.0,1.0,30.0,1300000000.0,-10.261015875379488,-5.2707209173408645,1.9269796960047576,-1.1143022219428915,-0.2692114746645677,-0.20218516684536314,-3.603886238448301,-0.4961358693777807,-4.221405889934895,,,,,,,,,
26,26,1.35,-7.08,-7.91,1.74,-1.05,-0.613,-0.448,-4.74,-1.73,-4.76,0.0,0.0,0.0,1.0,30.0,1350000000.0,-8.416336424484863,-7.238468113673028,1.8123807541821355,-1.0654403561719925,-0.5115798201722446,-0.379743868710102,-4.230030525187802,-1.1894603807879576,-4.5619419010656435,,,,,,,,,
27,27,1.4,-1.18,-6.32,3.44,0.0315,-1.97,-2.47,4.73,-1.54,-2.77,0.0,0.0,0.0,1.0,30.0,1400000000.0,-4.219966019066915,-6.553692928594121,2.80994072094448,-0.23189975522661946,-1.5397552592247183,-1.8895923374742252,0.7080956153542477,-1.3864331867745854,-3.428954215277382,,,,,,,,,
28,28,1.45,-10.0,-3.77,3.02,0.535,0.443,-2.11,-5.09,1.75,-3.4,0.0,0.0,0.0,1.0,30.0,1450000000.0,-7.571822806987394,-4.478276067264238,2.9386850212944653,0.35085034673193705,-0.14192750295068368,-2.0487986681446797,-2.487398879402729,0.37596991678219016,-3.410647449336964,,,,,,,,,
29,29,1.5,-8.52,-1.57,4.56,0.823,-1.22,-2.88,-4.05,4.21,-1.98,0.0,0.0,0.0,1.0,30.0,1500000000.0,-8.121673500840219,-2.309974752422836,3.9323810632182585,0.7096263866975636,-0.9019606442821496,-2.649197918246573,-3.348592638131224,2.5303619228087117,-2.5060947386847743,,,,,,,,,
30,30,1.55,-7.14,-4.4,3.81,0.617,-0.815,-4.25,-4.05,1.8,-3.13,0.0,0.0,0.0,1.0,30.0,1550000000.0,-7.552398398706143,-3.8682191130260484,3.8573742688104438,0.6392416414605429,-0.8406540328205542,-3.805500489336862,-3.7351581697525473,2.119961915264025,-2.900570195664945,,,,,,,,,
31,31,1.6,-6.56,-8.4,3.79,0.394,-1.01,-2.23,-4.94,-1.94,-3.41,0.0,0.0,0.0,1.0,30.0,1600000000.0,-6.976903944557207,-7.246944371086582,3.8160808832603865,0.4528879631385779,-0.9600416779887,-2.66747395546076,-4.399180595829648,-0.1613841726427383,-3.222666456622689,,,,,,,,,
32,32,1.65,-4.99,-14.1,4.68,-0.407,1.57,-0.156,-3.66,-7.57,-2.49,0.0,0.0,0.0,1.0,30.0,1650000000.0,-5.824693029767037,-12.356325420998845,4.345572609322395,-0.2005217956951036,0.8236189926236075,-0.8533685008858009,-3.9917973195144887,-4.324383048176965,-2.759424845379975,,,,,,,,,
33,33,1.7,-3.57,-8.72,3.77,0.903,2.05,0.205,-1.35,-2.14,-3.16,0.0,0.0,0.0,1.0,30.0,1700000000.0,-4.5171906197133485,-9.645218025281668,3.992806940483193,0.638019892332804,1.6882084808809827,-0.08888035421427587,-2.535828144037771,-3.0969495116317685,-3.0126957854487766,,,,,,,,,
