,Unnamed: 0,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),SPM/RPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq
33,33,1.69,-9.17,-4.06,-0.6779999999999999,0.243,0.12,-1.21,-9.51,2.53,6.58,60.0,1690000000.0,-7.538453021298847,-3.775531954660517,0.18153418074994665,0.2797401120880416,0.19934670029301527,-0.8865636005518504,-7.725134131868828,2.673882880510211,7.5198299844066465,,,,,,,,,
34,34,1.74,-9.85,-3.61,1.33,1.23,-0.418,-1.13,-10.4,3.23,8.33,60.0,1740000000.0,-8.611008582904915,-3.70980049635378,0.7535684556739675,0.9709302105081591,-0.20890466252588752,-1.0537796418135557,-9.06834721177936,2.8940689788444818,7.924666398344075,,,,,,,,,
35,35,1.79,-11.6,-4.74,1.5,1.24,-0.853,-1.1,-12.2,2.5,8.09,60.0,1790000000.0,-9.997897656598226,-4.118884397411275,1.125355237767684,1.1666433827732463,-0.6348448801820106,-1.0855283428183622,-10.640940955896523,2.738043377564681,8.007282551973224,,,,,,,,,
36,36,1.84,-7.36,-4.73,2.17,1.38,-0.747,-2.47,-8.17,2.89,8.29,60.0,1840000000.0,-8.773915960146516,-4.361553528161664,1.6456777588331213,1.321832480913268,-0.7090130436927607,-2.03651956515208,-9.400130856951943,2.7982083258972725,8.148554520755964,,,,,,,,,
37,37,1.89,-4.53,-8.67,1.71,-0.318,0.418,-4.13,-6.55,-1.07,7.57,60.0,1890000000.0,-6.804743483110915,-6.072403229362196,1.6777157580640119,0.1290683141861353,0.03628065679180892,-3.4745277576860736,-7.968906442338437,1.2666502218382727,7.859454843522941,,,,,,,,,
38,38,1.94,-7.2,-14.6,2.33,0.633,-0.622,-0.8440000000000001,-9.95,-7.18,8.15,60.0,1940000000.0,-6.988142005754793,-9.45864392578356,2.002609089271909,0.4956128775841259,-0.3990403080060464,-1.6676227479490155,-8.963734233212223,-2.0776720253564487,8.004638093476574,,,,,,,,,
39,39,1.99,-5.25,-11.6,1.97,0.333,-0.246,0.326,-7.9,-4.09,7.67,60.0,1990000000.0,-6.181645929898653,-10.30895946560676,1.9863669866669729,0.3773332289645762,-0.2978347613867041,-0.2982067041522385,-8.429568453801828,-2.874422652478128,7.837421750001157,,,,,,,,,
40,40,2.04,-4.03,-8.9,2.25,0.542,-0.585,0.16899999999999998,-6.45,-1.21,7.84,60.0,2040000000.0,-5.183284562334828,-9.749472767455817,2.1176787866917905,0.4971068170908979,-0.4877371109136136,0.022716778066455057,-7.435506319020918,-2.2154199064456805,7.838710160254693,,,,,,,,,
41,41,2.09,-3.23,-8.51,2.32,0.375,-0.191,0.122,-6.29,-1.07,7.71,60.0,2090000000.0,-4.276962573708452,-9.257288125363687,2.2184520305310875,0.4082900393836619,-0.29150486809397463,0.0909142535775044,-6.860277721642361,-1.7619083868096703,7.774394586763289,,,,,,,,,
42,42,2.14,-3.09,-8.63,2.13,0.121,-0.0867,0.248,-5.21,-0.674,7.46,60.0,2140000000.0,-3.726213139003673,-9.008197068049974,2.174395407384379,0.19932401904525596,-0.1560674148545762,0.19881618012475044,-6.0315726592722365,-1.3311676651768551,7.6172937669854415,,,,,,,,,
43,43,2.19,-2.09,-4.55,2.79,1.29,0.332,-1.11,-4.12,3.48,8.04,60.0,2190000000.0,-2.9670119110696005,-7.237882707586537,2.481019153510742,0.992648462928486,0.16669154365305786,-0.7002074151747917,-5.0716553977664605,0.5737407927135907,7.828517180467446,,,,,,,,,
44,44,2.24,-3.13,-5.6,2.68,-0.964,-1.49,-1.61,-5.78,2.34,7.8,60.0,2240000000.0,-3.042638267256032,-6.587492532675341,2.5801286753367085,-0.4305579930053047,-0.9288785309832146,-1.3251423884185751,-5.4273585242847835,1.2730641503885385,7.814267434457848,,,,,,,,,
45,45,2.29,-3.3,-5.66,2.66,-1.57,-0.8690000000000001,-1.09,-6.06,1.74,8.47,60.0,2290000000.0,-3.1620538204096897,-6.219192597717076,2.6199114724526256,-1.2593534240484734,-0.8892808718999853,-1.163623508735606,-5.745046360347124,1.4579402814565727,8.141932675491871,,,,,,,,,
46,46,2.34,-2.17,-7.82,2.69,-0.7929999999999999,-0.934,-2.03,-5.15,-0.934,9.0,60.0,2340000000.0,-2.7017419189547227,-6.854860495407348,2.654821585229094,-0.920142142416842,-0.9188536400673268,-1.7587360124264246,-5.4462373434981215,0.5108880062058421,8.570703087377492,,,,,,,,,
47,47,2.39,-2.78,-7.91,4.58,-0.769,-1.31,-1.93,-6.07,-1.61,11.3,60.0,2390000000.0,-2.738053573574452,-7.273847901874029,3.613725137550355,-0.8102059493719942,-1.1775186783667209,-1.8763769152157876,-5.759466697919454,-0.3288452547518585,9.934514305612137,,,,,,,,,
48,48,2.44,0.737,-12.0,2.29,-1.13,0.527,-1.23,-2.8,-6.22,9.38,60.0,2440000000.0,-1.1256323490894082,-9.150565139647878,2.954396727343207,-1.0428143930272664,-0.05032052065764714,-1.43238173578454,-4.273337970296609,-2.6613580328940967,9.657427331951652,,,,,,,,,
49,49,2.49,-0.206,-14.8,2.5,-0.897,-0.145,0.0428,-4.09,-9.51,9.81,60.0,2490000000.0,-0.6989238994212752,-11.393910661317149,2.72806827386743,-0.9367534577930592,-0.11293205475935245,-0.4190819347217556,-4.181272871690111,-5.372973445283373,9.733667067194228,,,,,,,,,
50,50,2.54,-1.8,-13.1,3.75,0.117,0.93,0.0288,-5.65,-7.92,11.1,60.0,2540000000.0,-1.2098220383183724,-12.071385258097205,3.2370777213732445,-0.17028530529915342,0.5767588866288713,-0.11143260359936258,-4.918810376847565,-6.381429789003649,10.416414540733992,,,,,,,,,
51,51,2.59,-0.067,-8.28,-1.19,-0.913,0.914,-0.107,-4.39,-3.25,6.04,60.0,2590000000.0,-0.6795538065466806,-10.565856357985918,1.0320141574156223,-0.7105133319531239,0.7997764081146264,-0.1083878563347898,-4.653262371591081,-5.141587929013976,8.22954991138258,,,,,,,,,
52,52,2.64,-0.632,-9.91,-0.448,-0.4270000000000001,-0.00489,0.133,-4.97,-5.12,6.93,60.0,2640000000.0,-0.6574889034568664,-10.305420977713636,0.2948404535943301,-0.5042943639281315,0.2676505364770767,0.05742104835803233,-4.812315544800322,-5.133040472499178,7.5801735647280095,,,,,,,,,
53,53,2.69,-0.448,-10.3,0.0886,-0.5529999999999999,1.33,-0.214,-5.04,-5.71,7.41,60.0,2690000000.0,-0.5602862773989634,-10.30326842651466,0.19211506057811467,-0.5397213399437344,0.9701822333505492,-0.1290176044998197,-4.926649775288566,-5.361478811919587,7.495138914437053,,,,,,,,,
54,54,2.74,-0.426,-9.93,-0.6679999999999999,-0.487,0.987,-0.0909,-5.48,-5.54,6.5,60.0,2740000000.0,-0.4979775844531892,-10.155046637819812,-0.23629583209024296,-0.5013734355580858,0.9813038143654788,-0.10283468502611236,-5.204520677182506,-5.432161538180359,6.997874760402082,,,,,,,,,
55,55,2.79,-1.39,-9.93,-0.529,-0.518,0.557,0.00863,-6.76,-5.68,6.49,60.0,2790000000.0,-0.9118750472584742,-10.065682537172627,-0.38208754690924696,-0.5134670967161619,0.7007117023022875,-0.02626978434954487,-5.985621816583599,-5.530289328790747,6.744093079032852,,,,,,,,,
56,56,2.84,-1.05,-9.62,-0.321,-0.483,0.493,-0.083,-6.55,-5.5,6.68,60.0,2840000000.0,-0.975964858987494,-9.888705517073854,-0.3516607260845474,-0.4913062664665262,0.5633519602474788,-0.06523766984270263,-6.26903061525362,-5.5182967310714455,6.7120661171449765,,,,,,,,,
57,57,2.89,-0.915,-9.68,-0.405,-0.364,0.519,-0.278,-6.61,-5.72,6.53,60.0,2890000000.0,-0.9476772380277456,-9.80583034491474,-0.3782282493921957,-0.3987075623538701,0.534022006161367,-0.21138374691926076,-6.440252203427876,-5.598157980671671,6.6210890203026,,,,,,,,,
58,58,2.94,-1.07,-10.0,-0.541,-0.477,0.525,-0.304,-6.97,-6.2,6.31,60.0,2940000000.0,-1.004434896201981,-9.882933563597778,-0.4593025140388614,-0.4556550942512333,0.5280557379897375,-0.2750016853235057,-6.706270771890644,-5.836448072566188,6.465639921970904,,,,,,,,,
59,59,2.99,-1.21,-9.7,-0.168,-0.462,0.313,-0.404,-7.31,-6.12,6.63,60.0,2990000000.0,-1.099816907431525,-9.810292031332473,-0.3142089338228823,-0.4602701943579842,0.3858393806242107,-0.363610415707419,-7.0094400052989565,-5.9487160877901255,6.547769593396588,,,,,,,,,
60,60,3.04,-1.66,-9.64,-0.388,-0.354,0.17800000000000002,-0.32299999999999995,-7.87,-6.26,6.41,60.0,3040000000.0,-1.3597412620020433,-9.742670562598072,-0.3509632048669716,-0.3829724949871823,0.2483952064755901,-0.33571520042866165,-7.441579599972321,-6.071964295312362,6.478926987409926,,,,,,,,,
61,61,3.09,-1.05,-10.1,-0.278,-0.35,0.313,-0.33,-7.38,-6.89,6.49,60.0,3090000000.0,-1.2160216177123195,-9.88456337872495,-0.3146212838714973,-0.3589893025914723,0.29111835024644195,-0.3317894480807126,-7.410656785037362,-6.395853001890657,6.484459982194482,,,,,,,,,
62,62,3.14,-0.922,-10.1,0.124,-0.0559,0.3720000000000001,-0.371,-7.41,-6.99,6.8,60.0,3140000000.0,-1.0795958898813731,-9.97011169124451,-0.09615035217716028,-0.138531380160389,0.3446053886460493,-0.35872310325894746,-7.410326896594252,-6.63109635240508,6.642133280452155,,,,,,,,,
63,63,3.19,-2.27,-10.6,0.206,0.35,0.337,0.0496,-8.92,-7.56,6.74,60.0,3190000000.0,-1.6319421452116982,-10.220235457530661,0.054346378684476115,0.21681145408141508,0.3395759535602449,-0.07824666418467435,-8.168425863243115,-6.998881560071318,6.691036500880363,,,,,,,,,
64,64,3.24,-3.18,-12.3,0.613,0.769,-0.633,0.523,-9.79,-9.01,7.06,60.0,3240000000.0,-2.350239404463708,-11.046093416453765,0.3326036746299032,0.6184565706538937,-0.30358850619797884,0.3347486377625,-8.98271710523582,-7.79515332057959,6.875405025861236,,,,,,,,,
65,65,3.29,-3.15,-11.6,1.03,1.92,-1.72,0.858,-9.31,-7.62,7.57,60.0,3290000000.0,-2.7213275300036877,-11.26604544672817,0.6799667074322443,1.5651595671204288,-1.2402614036586228,0.6941690860652935,-9.14706601582779,-7.725803989669474,7.222489500764414,,,,,,,,,
66,66,3.34,-0.453,-11.5,0.5529999999999999,2.51,-1.6,0.7190000000000001,-5.83,-6.54,7.12,60.0,3340000000.0,-1.6688259286726603,-11.358946930612918,0.6167264091411685,2.2524076982905443,-1.4781565424398029,0.7112253857390144,-7.481364849139715,-7.256302972404458,7.1712761364159014,,,,,,,,,
67,67,3.39,-0.508,-11.5,-1.04,1.58,-0.682,0.621,-5.31,-5.72,5.29,60.0,3390000000.0,-1.1302039173228324,-11.41495797749916,-0.20846509162516813,1.7633188605097203,-0.9516582324089229,0.6492497177213943,-6.390990115148147,-6.648027161261704,6.231215214389395,,,,,,,,,
68,68,3.44,-1.88,-10.8,-0.606,1.28,-1.03,0.8170000000000001,-6.27,-4.38,5.42,60.0,3440000000.0,-1.4781085146017938,-11.170763153684364,-0.40647149660998416,1.4117674290714617,-1.0034656220567588,0.7644770790849483,-6.330233590516522,-5.750036447207763,5.8258565217152265,,,,,,,,,
69,69,3.49,-2.06,-9.56,-0.0287,0.545,-2.27,0.603,-5.71,-2.75,6.01,60.0,3490000000.0,-1.7481055297167272,-10.531142141447539,-0.21830896478807132,0.7813072269017903,-1.8410247557438315,0.6535587407387601,-6.018776500694049,-4.562217776706336,5.917871881014955,,,,,,,,,
70,70,3.54,-1.43,-8.44,0.536,-0.13699999999999998,-2.05,0.703,-4.16,-1.42,6.83,60.0,3540000000.0,-1.600504871728099,-9.700766137986296,0.1574014534259732,0.11335853824723795,-1.9792200469947565,0.6875198630043723,-5.085371390877908,-3.3181045605476536,6.3736560664590005,,,,,,,,,
71,71,3.59,-0.917,-8.97,0.584,-0.273,-1.4,0.6709999999999999,-2.83,-1.92,7.13,60.0,3590000000.0,-1.2833593229103015,-9.41058484920667,0.36988402988078894,-0.16766689009274988,-1.596181831452774,0.6761724001094672,-3.9528118398018064,-2.7645463686620153,6.751596048227148,,,,,,,,,
72,72,3.64,-0.764,-9.27,0.728,-0.368,-1.7,0.79,-1.9,-2.27,7.5,60.0,3640000000.0,-1.042377138685216,-9.35475991058744,0.5482564200394524,-0.3133830898714479,-1.6648368147450725,0.7543603976482933,-2.9219698181780536,-2.568738269954411,7.12556841786891,,,,,,,,,
73,73,3.69,-0.747,-9.43,1.65,-0.448,-1.11,0.77,-1.13,-2.52,8.6,60.0,3690000000.0,-0.9053224450068624,-9.384637270132606,1.0970189884698955,-0.4112993380839065,-1.29792325518803,0.7651032005320071,-2.022112491897761,-2.5494410878386686,7.86233205199615,,,,,,,,,
74,74,3.74,-1.61,-9.66,2.39,-0.204,-1.37,0.569,-1.32,-2.85,9.44,60.0,3740000000.0,-1.232292101399286,-9.493981549514386,1.7410342263589738,-0.2605161139617125,-1.345587607532457,0.6304002529385319,-1.6695390197234996,-2.6684427668029005,8.650681796409147,,,,,,,,,
75,75,3.8,-1.02,-8.87,1.9,-0.262,-1.49,0.403,-0.0514,-2.1,8.92,60.0,3800000000.0,-1.1337887791565675,-9.246203416164834,1.8202127726439,-0.2615954434578637,-1.4410875246640518,0.4741994079222408,-0.8569727394980584,-2.4433764862156666,8.785258310974278,,,,,,,,,
76,76,3.85,-0.321,-8.72,1.81,-0.454,-1.26,0.32,1.27,-2.07,8.84,60.0,3850000000.0,-0.7566556388057095,-9.037252349832023,1.8151259094476653,-0.4015446518360661,-1.3213343437064529,0.3682800946346941,0.21110997080414395,-2.2955437353297823,8.812612437283072,,,,,,,,,
77,77,3.9,-1.16,-8.84,2.63,-0.454,-0.863,0.375,0.91,-2.37,9.71,60.0,3900000000.0,-0.9438069857757316,-8.95892507828619,2.221002993272097,-0.43969907080805937,-1.0182378398226355,0.3728959860847703,0.5620652874521512,-2.3250235123032708,9.261030924100561,,,,,,,,,
78,78,3.95,-2.98,-8.89,3.29,-0.518,-0.735,0.487,-0.486,-2.62,10.4,60.0,3950000000.0,-1.8885984272132943,-8.931555616718043,2.7534549589449804,-0.4966527854401392,-0.8309326742686858,0.4512738293420935,0.03576779262579355,-2.441814907899868,9.830165841940948,,,,,,,,,
79,79,4.0,-2.61,-8.25,3.24,-0.573,-0.8059999999999999,0.528,0.336,-2.2,10.4,60.0,4000000000.0,-2.2233279550872083,-8.660915326723245,2.99579602836812,-0.5521854327882808,-0.8144446937355957,0.5039769021798788,0.18653269048018645,-2.3460720024972432,10.114907908345351,,,,,,,,,
80,80,4.05,-0.529,-8.09,0.836,-1.35,-0.21600000000000005,-0.229,2.75,-2.37,8.09,60.0,4050000000.0,-1.4371615456927596,-8.434209472497491,1.9200328025590212,-1.1324914539700988,-0.4186932393499441,0.0004963259134592722,1.4738059523471638,-2.3555458828138907,9.103075261106156,,,,,,,,,
81,81,4.1,-1.15,-13.9,3.39,-0.5820000000000001,-0.52,-0.195,2.01,-8.59,11.0,60.0,4100000000.0,-1.3039188772573989,-10.604631069631788,2.652202305946428,-0.7320807583415503,-0.4856873845283281,-0.1337897595645803,1.7430616771524168,-4.823982954275927,10.050955664404082,,,,,,,,,
