,Unnamed: 0,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq
14,14,0.921,0.6579999999999999,3.78,7.36,-0.797,0.467,0.472,-0.0154,0.153,-0.594,921000000.0,0.6201650419835143,4.147448404129936,7.42319167656264,-0.7134856557493189,0.5327272091247996,0.3433157489554575,-0.21756311406945528,0.29002673589861905,-0.9218340888192956,,,,,,,,,
15,15,0.971,0.718,3.73,8.51,-0.473,0.29,-0.0758,-0.18,-0.613,-0.8059999999999999,971000000.0,0.6827329134350006,3.878231997642625,8.095567473605799,-0.5533041096328406,0.3725612731561716,0.06102883403898152,-0.19533567652334705,-0.29067582538268044,-0.8519739974788392,,,,,,,,,
16,16,1.02,0.419,2.66,8.42,-0.8270000000000001,2.43,-0.908,-0.7140000000000001,-0.442,-0.738,1020000000.0,0.5140691938457217,3.0925827310348897,8.296284176978963,-0.7356061784865635,1.7301824477026595,-0.5916408818948599,-0.5022479504794141,-0.3879867195415767,-0.7832357248247718,,,,,,,,,
17,17,1.07,-1.31,2.69,8.69,-0.565,0.574,-1.05,-0.773,0.298,-0.309,1070000000.0,-0.652468122585672,2.832953362140048,8.539864067482496,-0.6219696266271793,0.9672641163154604,-0.9003593391115325,-0.6624616497061384,0.053145579761801176,-0.4972219030706097,,,,,,,,,
18,18,1.12,-3.32,4.12,9.62,-0.192,0.311,-1.04,-2.69,1.61,-0.379,1120000000.0,-2.3584206752704246,3.662981821754312,9.208111644339033,-0.3355775080348027,0.5342217932981504,-0.9944114489081028,-1.862228842157516,1.0543001924528568,-0.4259217179794959,,,,,,,,,
19,19,1.17,-3.92,4.09,9.03,-0.224,0.348,-1.21,-2.71,2.18,0.314,1170000000.0,-3.3570893152293064,3.938369976665207,9.097919156330637,-0.2612584978575301,0.41134150926513596,-1.1396167714560996,-2.3638854637454547,1.7781955012625916,0.0203285828530036,,,,,,,,,
20,20,1.22,-4.3,4.43,9.73,-0.439,1.48,-1.36,-2.52,2.26,0.612,1220000000.0,-3.960104135369976,4.255426711646975,9.488968299587613,-0.3796477174906359,1.1165063121197536,-1.2880514357165915,-2.4562640225362826,2.0880258720897777,0.3771684114858307,,,,,,,,,
21,21,1.27,-4.72,3.43,9.51,-1.45,1.09,-1.31,-1.78,1.15,-0.274,1270000000.0,-4.446076196485807,3.7231012718777965,9.501980122316082,-1.0925828963746065,1.0990158840256878,-1.3028344075741205,-2.056094329576165,1.4848166498922672,-0.015554336668804625,,,,,,,,,
22,22,1.32,-4.33,2.23,7.36,-2.47,0.773,-1.71,-0.193,-0.511,-2.34,1320000000.0,-4.371842549837758,2.760186171014892,8.17680146122809,-2.0100463351575217,0.8838911055006177,-1.5770725614881118,-0.9536345979381686,0.20138193797961645,-1.4174384797029318,,,,,,,,,
23,23,1.37,-3.59,-0.0718,6.85,-2.41,0.365,-2.11,-0.173,-1.29,-1.79,1370000000.0,-3.8718348517898034,0.9338115394798756,7.355949203274755,-2.2764456232592747,0.5414957247217738,-1.9360149602688348,-0.4917051050782614,-0.7576697467332111,-1.64213207510779,,,,,,,,,
