,Unnamed: 0,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Time (s).1,Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Time (s).2,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Sitting,Walking,Running,Bikking,Unnamed: 16,Unnamed: 17,Unnamed: 18,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq
10,10,0.500985282,0.7663014531,3.1857442860000003,9.115457535,0.643499709,0.055760383610000006,-0.4879312515,-7.418509482999999,0.64130372,-4.825082302,-0.3004604876,-1.843078852,0,0,0,1,,,,1.2650273072148068,3.010874012120164,9.756652142906978,-4.1738564246074885,-0.3597652454201499,-1.7065433084623085,0.1936978297065342,-0.6066182443097511,-5.307260826712737,,,,,,,,,
11,11,0.5509852820000001,-0.7636095285,5.8193445210000005,8.916853905,0.693499709,-2.636665344,-2.69180727,-7.130287647,0.69130372,-3.737316132,0.100026235,-1.608971715,0,0,0,1,,,,0.18283042661877325,4.992499376090692,9.359260364563756,-3.8256086025095426,-0.02920006231425798,-1.6331183632768929,-1.8096647777932704,-2.0973035103831084,-6.612773515032853,,,,,,,,,
12,12,0.600985282,-0.1001994461,1.758724689,0.8653044701,0.7434997090000001,-2.636665344,-2.69180727,-7.130287647,0.74130372,-2.30319953,0.3788780272,-1.161831498,0,0,0,1,,,,0.03184526537748186,2.7107841431616384,5.339925462012354,-2.6111144253427465,0.2641859923020283,-1.2784637860428931,-2.395024998153446,-2.5223095814019763,-6.983377643497287,,,,,,,,,
13,13,0.650985282,-2.688336134,-3.958326817,3.2497522830000003,0.7934997090000001,-2.636665344,-2.69180727,-7.130287647,0.79130372,-1.869574428,0.6170321107,-1.346078277,0,0,0,1,,,,-1.4192631546132075,-1.9948659226619103,4.350856577364222,-2.0195546235502557,0.517863249720774,-1.3293452986623906,-2.5660607289270985,-2.643482148484579,-7.088583377048013,,,,,,,,,
14,14,0.700985282,-5.980261802999999,-3.30239439,13.51825142,0.843499709,-4.1209445,2.024466038,1.209766388,0.84130372,-1.788942575,1.499706388,-1.247044683,0,0,0,1,,,,-3.852374254527823,-2.917443378046363,8.6888633624956,-1.8355850226137091,1.2237553126672074,-1.267412127191352,-3.666624795968135,0.6935973671486244,-1.1459385468736247,,,,,,,,,
15,15,0.750985282,-4.785645485,0.03020938672,9.958030701,0.8934997090000001,-4.785246372,1.239790201,0.4211483002000001,0.89130372,-2.444458008,2.297243834,-1.033095479,0,0,0,1,,,,-4.350237281076817,-0.8376125714623188,9.289432738410193,-2.321310382728707,1.9955354447239133,-1.091083275386771,-4.4583976180726905,1.0840663366694152,-0.0237105360327865,,,,,,,,,
16,16,0.8009852820000001,-5.843871117000001,-0.7740781307,10.37707329,0.943499709,-4.785246372,1.239790201,0.4211483002000001,0.94130372,-2.052752256,1.680822611,-0.7388961315000001,0,0,0,1,,,,-5.147031436716949,-0.7927833810264076,9.804103726905996,-2.1070694888197403,1.7692739544889655,-0.8260540716082203,-4.689744809981252,1.1953921050037206,0.2948634139683698,,,,,,,,,
17,17,0.850985282,-6.748657227000001,-2.593520641,8.500203133,0.993499709,-4.785246372,1.239790201,0.4211483002000001,0.99130372,-1.060507178,1.304769754,-0.1737860441,0,0,0,1,,,,-6.001434998364378,-2.0633634416435496,9.187098587910725,-1.2721796718724163,1.4353205810649965,-0.33520686442456593,-4.757341880390559,1.2271319554467237,0.3852990122950392,,,,,,,,,
18,18,0.900985282,-4.754538536,-2.792423964,7.1569323539999985,1.043499709,-1.842512608,1.2787714,2.729658127,1.04130372,-1.192450166,2.129260778,-0.3620797098,0,0,0,1,,,,-5.336265403101781,-2.5777803877108267,8.226424894522037,-1.2085758595581952,1.934226015771672,-0.355429319811285,-2.6941932264753157,1.2640485893187117,2.064150105177445,,,,,,,,,
19,19,0.950985282,-6.169294834,-5.088337421,9.974780082999999,1.093499709,-0.008792400359999999,1.545269966,2.092156887,1.09130372,-0.6703284979,1.168703556,0.2494547516,0,0,0,1,,,,-5.780653422669421,-4.349201337559544,9.053745735565565,-0.7791917352264228,1.3838568096187729,0.09976033323837002,-0.7934365848110994,1.4650915440514682,2.084206425077745,,,,,,,,,
