,Unnamed: 0,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Still,Walk,Run,Cycle,SPM/RPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq
17,17,0.895,-12.9,-8.34,19.1,-4.6,-0.16899999999999998,-0.354,-11.6,-9.34,9.42,,,,,140,895000000.0,-11.017140744786504,-7.6668479304288,12.036214026834896,-4.402490478793915,0.4703041644297137,0.19237137602883855,-10.241947854594086,-10.10699765867997,3.471697214558477,,,,,,,,,
18,18,0.945,-16.7,0.0335,9.29,-2.63,0.305,-1.99,-15.4,1.1,-0.3670000000000001,,,,,140,945000000.0,-13.156450020190668,-3.406155471368177,10.946794621179404,-3.2417265690549764,0.4159874670501837,-1.0967070145521514,-12.178397856373087,-3.509287358525756,1.867717087147724,,,,,,,,,
19,19,0.995,-9.33,-2.76,6.95,-1.82,1.01,-1.16,-7.82,-0.305,-2.42,,,,,140,995000000.0,-11.715985098111224,-3.048630095963299,9.361271504871064,-2.3106699815660576,0.6111719875251395,-1.1340927580274314,-10.542156121862883,-1.6228802884341753,0.07611625551944723,,,,,,,,,
20,20,1.05,-7.7,1.06,-0.6559999999999999,-1.98,1.43,-1.92,-5.94,4.3,-9.74,,,,,140,1050000000.0,-10.204169738975502,-0.7752771021232165,5.387433371832311,-2.0941216909714213,0.8802278880836794,-1.5983107156158738,-8.814401912185968,1.863999128427029,-4.025497957191525,,,,,,,,,
21,21,1.1,1.79,1.81,8.36,-1.39,0.746,-0.184,3.97,6.16,-0.156,,,,,140,1100000000.0,-5.6889714052938505,0.6551868857548729,6.566646418812202,-1.633008288051918,0.8361223952549635,-0.7629087337785412,-4.014846202911123,4.393112544531555,-2.4086478947618573,,,,,,,,,
22,22,1.15,-1.31,-1.36,1.97,1.29,0.109,-0.813,0.938,3.03,-6.51,,,,,140,1150000000.0,-4.040510095273899,-0.4598395656898808,4.743162977401399,0.2812038016692797,0.5971996831495557,-0.7924965479284833,-2.1554349021039756,3.5906298351692287,-4.122377132315233,,,,,,,,,
23,23,1.2,-3.7,-7.02,3.24,1.54,0.585,-0.391,-1.48,-3.2,-5.52,,,,,140,1200000000.0,-3.912325281911296,-4.089652953466421,4.14686024937766,1.1055609783541929,0.593191023021472,-0.5553414404752182,-1.901861260135052,-0.4071053292189801,-4.7063667395780024,,,,,,,,,
24,24,1.25,-13.0,-10.3,5.53,2.67,-0.0983,-1.3,-10.8,-7.22,-3.52,,,,,140,1250000000.0,-7.3333752518008755,-7.525910623663182,4.695550011792609,2.1300768123434346,0.3659762981615664,-0.9951947130783853,-5.242425321802993,-4.4179479502651136,-4.210649416300266,,,,,,,,,
25,25,1.3,-15.6,-12.8,8.75,3.1,0.98,-0.628,-13.4,-10.9,-0.621,,,,,140,1300000000.0,-10.445341572359114,-10.444125988401154,6.303944870201611,2.765257540765944,0.5677363010644798,-0.7783009497850549,-8.304964549688416,-8.234018968513253,-2.710732639970156,,,,,,,,,
26,26,1.35,-12.4,-6.28,5.48,2.84,1.11,-0.0439,-9.63,-5.83,-3.92,,,,,140,1350000000.0,-11.18117148030921,-8.140066553449612,5.977087055692757,2.8142046331280115,0.745916923104964,-0.3445065927205721,-8.802413086229999,-6.818740616271946,-3.216018895079851,,,,,,,,,
