Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Still,Walk,Run,Cycle,SPM/RPM,Timestamps
3.45E+01,4.81E+00,-3.73E+00,-3.22E+00,-1.23E+00,-1.27E+00,-2.13E-02,1.16E+01,3.28E+00,-4.46E+00,,,,,150,3.45E+10
3.45E+01,1.04E+01,-1.92E+00,1.95E+00,-1.33E+00,1.76E+00,-3.33E+00,1.66E+01,5.61E+00,1.21E+00,,,,,150,3.45E+10
3.46E+01,-3.88E+00,5.81E+00,3.23E+00,2.57E-01,-5.10E+00,-3.53E+00,7.23E-01,1.44E+01,2.22E+00,,,,,150,3.46E+10
3.46E+01,-5.87E+00,-3.56E+00,-2.68E+00,1.44E-01,5.96E+00,2.71E+00,-1.68E+00,5.23E+00,-3.87E+00,,,,,150,3.46E+10
3.47E+01,4.45E+00,-6.84E+00,-9.98E+00,5.95E-01,-1.06E+00,6.78E-01,9.86E+00,1.34E+00,-1.01E+01,,,,,150,3.47E+10
3.47E+01,3.64E-01,-3.50E+01,-9.94E+00,-6.34E-01,-3.36E-01,-4.48E-01,5.84E+00,-2.69E+01,-9.93E+00,,,,,150,3.47E+10
3.48E+01,-8.40E-01,-1.88E+01,-4.52E+00,-8.23E-01,-3.61E-01,-4.07E+00,3.72E+00,-1.01E+01,-4.14E+00,,,,,150,3.48E+10
3.48E+01,-1.39E+01,-2.04E+01,-1.06E+00,-2.48E+00,-2.25E+00,-2.94E+00,-1.10E+01,-1.11E+01,-2.72E-01,,,,,150,3.48E+10
3.49E+01,-1.10E+01,-1.03E+01,6.59E+00,-1.27E+00,5.22E-01,-2.42E+00,-9.39E+00,-7.83E-01,8.52E+00,,,,,150,3.49E+10
3.49E+01,-8.61E+00,-4.28E+00,3.77E+00,-4.30E-01,6.48E-01,-8.29E-01,-7.98E+00,5.18E+00,6.27E+00,,,,,150,3.49E+10
3.50E+01,-7.77E+00,1.03E+00,3.34E+00,4.60E-01,-2.86E-01,1.03E+00,-7.23E+00,1.05E+01,5.86E+00,,,,,150,3.50E+10
3.50E+01,-7.33E-01,4.13E+00,3.21E+00,1.27E+00,-3.53E-01,2.46E+00,6.67E-01,1.36E+01,5.44E+00,,,,,150,3.50E+10
3.51E+01,-4.31E-01,-1.60E+00,1.19E+00,1.93E+00,-8.56E-01,2.24E+00,2.14E+00,7.76E+00,2.59E+00,,,,,150,3.51E+10
3.51E+01,-2.76E+01,-3.82E+01,-1.52E+00,2.73E+00,5.94E-01,5.80E+00,-2.36E+01,-2.93E+01,-1.43E+00,,,,,150,3.51E+10
3.52E+01,-9.64E+00,-2.38E+01,-3.03E+00,1.35E+00,5.65E-01,2.30E+00,-3.53E+00,-1.61E+01,-3.35E+00,,,,,150,3.52E+10
3.52E+01,-9.12E-01,-3.67E+00,-3.28E+00,-8.75E-01,-1.38E+00,1.31E+00,5.95E+00,3.31E+00,-3.89E+00,,,,,150,3.52E+10
3.53E+01,9.75E+00,-3.03E+00,-7.99E+00,-1.55E+00,-1.25E+00,-1.11E+00,1.67E+01,3.84E+00,-8.87E+00,,,,,150,3.53E+10
3.53E+01,5.98E+00,1.94E+00,7.14E+00,4.34E-01,-7.90E-01,-5.07E+00,1.18E+01,9.86E+00,7.18E+00,,,,,150,3.53E+10
3.54E+01,-1.64E+01,1.91E+00,3.65E+00,2.81E-01,-3.83E-01,2.20E-01,-1.26E+01,1.09E+01,2.41E+00,,,,,150,3.54E+10
3.54E+01,1.97E+00,-2.99E+00,1.98E+01,7.46E-01,5.03E+00,2.51E+00,6.93E+00,5.46E+00,1.94E+01,,,,,150,3.54E+10
3.55E+01,7.04E-01,-8.61E+00,-6.18E+00,-1.03E+00,-1.44E-01,8.87E-02,6.15E+00,-4.59E-01,-6.49E+00,,,,,150,3.55E+10
3.55E+01,1.65E+00,-3.61E+01,-4.72E+00,-3.03E-01,1.34E+00,-2.84E+00,6.83E+00,-2.77E+01,-4.66E+00,,,,,150,3.55E+10
3.56E+01,-6.99E+00,-2.42E+01,-7.65E+00,-2.02E+00,-2.20E+00,-3.92E+00,-3.39E+00,-1.51E+01,-7.28E+00,,,,,150,3.56E+10
3.56E+01,-1.60E+01,-1.50E+01,1.12E+01,-2.88E+00,3.08E+00,-2.39E+00,-1.38E+01,-5.57E+00,1.26E+01,,,,,150,3.56E+10
3.57E+01,-1.10E+01,-6.41E+00,7.66E+00,-1.25E+00,5.93E-01,-1.89E+00,-1.00E+01,3.05E+00,1.01E+01,,,,,150,3.57E+10
3.57E+01,-8.55E+00,-2.43E+00,2.28E+00,2.88E-01,-2.93E-01,3.28E-01,-8.12E+00,7.02E+00,4.86E+00,,,,,150,3.57E+10
3.58E+01,-3.76E+00,3.30E+00,2.97E+00,5.29E-01,-2.83E-01,1.99E+00,-2.78E+00,1.28E+01,5.34E+00,,,,,150,3.58E+10
3.58E+01,1.67E+00,1.13E+00,-1.26E+00,1.91E+00,-2.38E-01,1.68E+00,3.66E+00,1.06E+01,5.75E-01,,,,,150,3.58E+10
3.59E+01,-1.43E+00,-2.92E+00,2.40E+00,1.60E+00,-1.42E+00,1.47E+00,1.30E+00,6.46E+00,3.34E+00,,,,,150,3.59E+10
3.59E+01,-2.63E+01,-6.01E+01,-5.55E+00,1.96E+00,2.58E+00,5.39E+00,-2.24E+01,-5.11E+01,-5.99E+00,,,,,150,3.59E+10
3.60E+01,-7.81E+00,-1.68E+01,-3.36E+00,8.16E-01,1.02E+00,2.76E+00,-1.96E+00,-8.91E+00,-3.58E+00,,,,,150,3.60E+10
3.60E+01,1.12E+00,-2.45E+00,-2.60E+00,-1.38E+00,-2.82E+00,3.86E-01,7.66E+00,4.84E+00,-3.03E+00,,,,,150,3.60E+10
3.61E+01,1.08E+01,-1.41E+00,-5.61E+00,-1.35E+00,2.99E-01,-2.56E+00,1.70E+01,6.14E+00,-6.28E+00,,,,,150,3.61E+10
3.61E+01,2.87E+00,3.97E+00,8.12E+00,9.63E-01,-2.43E+00,-4.13E+00,7.65E+00,1.25E+01,7.89E+00,,,,,150,3.61E+10
3.62E+01,-1.06E+01,-6.44E-01,-3.62E-01,-2.01E-01,-1.34E+00,6.70E-01,-7.28E+00,8.49E+00,-1.75E+00,,,,,150,3.62E+10
3.62E+01,-5.48E-01,-5.93E+00,2.48E+01,6.91E-01,4.40E+00,2.65E+00,3.86E+00,2.82E+00,2.44E+01,,,,,150,3.62E+10
3.63E+01,2.45E+00,-1.49E+01,-7.26E+00,-5.21E-01,-6.80E-01,3.88E-01,7.50E+00,-6.47E+00,-7.52E+00,,,,,150,3.63E+10
3.63E+01,5.27E+00,-2.64E+01,-7.95E+00,-5.02E-01,1.03E+00,-3.91E+00,9.78E+00,-1.77E+01,-7.82E+00,,,,,150,3.63E+10
3.64E+01,-8.30E+00,-2.69E+01,-8.26E+00,-2.08E+00,-2.27E+00,-3.65E+00,-5.68E+00,-1.75E+01,-7.80E+00,,,,,150,3.64E+10
3.64E+01,-1.69E+01,-1.52E+01,1.62E+01,-2.37E+00,2.94E+00,-1.62E+00,-1.56E+01,-5.65E+00,1.80E+01,,,,,150,3.64E+10
3.65E+01,-1.17E+01,-4.65E+00,8.87E+00,-8.13E-01,1.49E+00,-1.45E+00,-1.14E+01,4.81E+00,1.14E+01,,,,,150,3.65E+10
3.65E+01,-8.08E+00,-1.02E+00,1.79E+00,5.91E-01,3.18E-02,1.03E+00,-8.01E+00,8.47E+00,4.28E+00,,,,,150,3.65E+10
3.66E+01,-2.65E+00,4.29E+00,4.63E+00,3.59E-01,-7.91E-01,2.53E+00,-1.76E+00,1.38E+01,6.93E+00,,,,,150,3.66E+10
3.66E+01,1.64E+00,9.29E-01,-2.86E+00,1.88E+00,-9.38E-01,1.84E+00,3.75E+00,1.04E+01,-1.18E+00,,,,,150,3.66E+10
3.67E+01,-7.77E+00,-1.11E+01,9.31E+00,2.25E+00,-1.16E+00,2.08E+00,-4.77E+00,-1.81E+00,1.01E+01,,,,,150,3.67E+10
3.67E+01,-2.08E+01,-6.92E+01,1.84E+00,1.24E+00,2.71E+00,5.02E+00,-1.58E+01,-6.07E+01,1.67E+00,,,,,150,3.67E+10
3.68E+01,-5.93E+00,-8.69E+00,-5.02E+00,-2.09E-01,-1.41E+00,2.35E+00,3.63E-01,-1.17E+00,-5.37E+00,,,,,150,3.68E+10
3.68E+01,2.95E+00,-4.24E+00,-5.24E+00,-1.25E+00,-2.54E+00,-4.12E-01,9.63E+00,2.91E+00,-6.02E+00,,,,,150,3.68E+10
3.69E+01,1.29E+01,-5.82E-01,-5.03E+00,-1.21E+00,1.03E+00,-3.34E+00,1.89E+01,7.09E+00,-5.71E+00,,,,,150,3.69E+10
3.69E+01,-1.05E+00,7.42E+00,1.29E+01,6.66E-01,-6.71E+00,-4.03E+00,3.30E+00,1.62E+01,1.23E+01,,,,,150,3.69E+10
3.70E+01,-8.78E+00,-5.84E+00,7.21E-01,1.25E+00,6.34E+00,2.18E+00,-5.53E+00,3.21E+00,-1.21E+00,,,,,150,3.70E+10
3.70E+01,6.42E+00,-7.23E+00,1.98E+01,1.28E+00,2.32E+00,1.79E+00,1.12E+01,1.28E+00,1.91E+01,,,,,150,3.70E+10
3.71E+01,2.22E+00,-2.29E+01,-1.10E+01,-1.25E+00,-2.86E+00,7.84E-01,1.16E+01,1.02E+00,1.88E+01,,,,,150,3.71E+10
3.71E+01,3.40E+00,-2.38E+01,-5.96E+00,-8.85E-01,1.72E+00,-3.98E+00,8.19E+00,-1.52E+01,-6.39E+00,,,,,150,3.71E+10
3.72E+01,-9.45E+00,-2.36E+01,-6.90E+00,-2.31E+00,-3.22E+00,-3.61E+00,-6.51E+00,-1.42E+01,-6.76E+00,,,,,150,3.72E+10
3.72E+01,-1.50E+01,-1.28E+01,1.44E+01,-1.73E+00,3.65E+00,-1.37E+00,-1.35E+01,-3.21E+00,1.59E+01,,,,,150,3.72E+10
3.73E+01,-8.76E+00,-3.62E+00,7.00E+00,-1.04E+00,1.14E+00,-1.51E+00,-8.13E+00,5.90E+00,9.29E+00,,,,,150,3.73E+10
3.73E+01,-6.99E+00,2.75E-01,2.98E+00,3.72E-01,-1.11E-01,9.56E-01,-6.59E+00,9.77E+00,5.39E+00,,,,,150,3.73E+10
3.74E+01,-1.91E+00,5.67E+00,6.36E+00,8.26E-01,3.03E-01,2.32E+00,-8.14E-01,1.52E+01,8.59E+00,,,,,150,3.74E+10
3.74E+01,1.80E+00,-9.82E-02,-9.00E-01,1.87E+00,-1.18E+00,1.64E+00,3.97E+00,9.34E+00,6.27E-01,,,,,150,3.74E+10
3.75E+01,-1.83E+01,-1.34E+01,7.87E+00,2.68E+00,-1.24E+00,2.94E+00,-1.53E+01,-4.08E+00,8.40E+00,,,,,150,3.75E+10
3.75E+01,-1.90E+01,-4.72E+01,-1.01E+00,1.32E+00,2.12E+00,2.79E+00,-1.39E+01,-3.88E+01,-1.39E+00,,,,,150,3.75E+10
3.76E+01,-2.23E+00,-7.77E+00,-4.47E+00,-5.29E-01,-1.18E+00,1.95E+00,3.87E+00,-1.18E-01,-5.07E+00,,,,,150,3.76E+10
3.76E+01,4.53E+00,-4.46E+00,-4.55E+00,-1.41E+00,-2.24E+00,-7.04E-01,1.09E+01,2.92E+00,-5.38E+00,,,,,150,3.76E+10
3.77E+01,9.53E+00,-1.35E+00,1.77E-01,-6.53E-01,1.77E+00,-4.17E+00,1.51E+01,6.72E+00,-3.04E-01,,,,,150,3.77E+10
3.77E+01,-4.23E+00,8.01E+00,1.19E+01,1.10E+00,-7.54E+00,-4.06E+00,-7.11E-01,1.71E+01,1.10E+01,,,,,150,3.77E+10
3.78E+01,-9.45E+00,-5.95E+00,-1.62E+00,-1.74E-01,6.84E+00,3.58E+00,-6.64E+00,3.29E+00,-3.35E+00,,,,,150,3.78E+10
3.78E+01,6.40E+00,-4.98E+00,2.94E+00,1.76E+00,1.13E+00,2.76E+00,1.13E+01,3.54E+00,2.72E+00,,,,,150,3.78E+10
3.79E+01,-7.90E-02,-2.87E+01,-1.68E+00,-1.11E+00,-2.26E+00,7.31E-01,5.50E+00,-2.07E+01,-2.40E+00,,,,,150,3.79E+10
3.79E+01,5.79E-01,-2.48E+01,-4.47E+00,-1.53E+00,1.75E-01,-4.80E+00,5.54E+00,-1.63E+01,-4.68E+00,,,,,150,3.79E+10
3.80E+01,-1.05E+01,-2.27E+01,-5.80E+00,-1.93E+00,-2.19E+00,-3.54E+00,-7.56E+00,-1.33E+01,-5.49E+00,,,,,150,3.80E+10
3.80E+01,-1.28E+01,-1.15E+01,7.83E+00,-1.37E+00,1.12E+00,-2.64E+00,-1.14E+01,-1.91E+00,9.29E+00,,,,,150,3.80E+10
3.81E+01,-9.80E+00,-3.69E+00,4.84E+00,-5.27E-01,1.35E+00,-1.27E+00,-9.63E+00,5.88E+00,6.98E+00,,,,,150,3.81E+10
3.81E+01,-8.43E+00,1.19E+00,3.03E+00,4.02E-01,-3.92E-01,1.14E+00,-8.42E+00,1.08E+01,5.22E+00,,,,,150,3.81E+10
3.82E+01,-3.85E-01,5.45E+00,5.93E+00,9.57E-01,-5.97E-01,2.59E+00,5.88E-01,1.50E+01,7.88E+00,,,,,150,3.82E+10
3.82E+01,2.45E+00,-8.45E-01,-2.26E+00,1.88E+00,-4.50E-01,1.68E+00,4.53E+00,8.67E+00,-1.11E+00,,,,,150,3.82E+10
3.83E+01,-1.99E+01,-1.92E+01,3.57E+00,3.50E+00,-1.59E+00,3.16E+00,-1.70E+01,-9.90E+00,3.70E+00,,,,,150,3.83E+10
3.83E+01,-1.78E+01,-4.16E+01,-2.61E+00,1.44E+00,1.49E+00,3.08E+00,-1.23E+01,-3.36E+01,-3.36E+00,,,,,150,3.83E+10
3.84E+01,-4.53E+00,-7.08E+00,-2.90E+00,-1.08E+00,-1.69E+00,1.61E+00,1.89E+00,2.60E-01,-3.90E+00,,,,,150,3.84E+10
3.84E+01,4.77E+00,-5.28E+00,-3.64E+00,-1.27E+00,-1.94E+00,-7.97E-01,1.14E+01,1.87E+00,-4.89E+00,,,,,150,3.84E+10
3.85E+01,1.02E+01,-9.89E-01,-4.09E-01,-8.25E-01,1.56E+00,-3.71E+00,1.60E+01,6.86E+00,-1.39E+00,,,,,150,3.85E+10
3.85E+01,-3.70E+00,6.98E+00,9.90E+00,8.08E-01,-5.54E+00,-3.62E+00,3.20E-01,1.59E+01,8.78E+00,,,,,150,3.85E+10
3.86E+01,-7.52E+00,-4.48E+00,6.70E-01,5.46E-01,5.21E+00,2.79E+00,-4.14E+00,4.55E+00,-1.13E+00,,,,,150,3.86E+10
3.86E+01,6.21E+00,-6.82E+00,-6.60E+00,1.97E+00,1.25E+00,1.87E+00,1.12E+01,1.56E+00,-7.47E+00,,,,,150,3.86E+10
3.87E+01,2.56E+00,-3.32E+01,-1.02E+01,-1.64E+00,-7.89E-01,-3.80E-01,7.92E+00,-2.50E+01,-1.11E+01,,,,,150,3.87E+10
3.87E+01,-2.32E+00,-2.15E+01,-5.55E+00,-1.02E+00,-1.46E+00,-4.07E+00,2.04E+00,-1.27E+01,-5.84E+00,,,,,150,3.87E+10
3.88E+01,-1.37E+01,-1.97E+01,-2.89E+00,-2.46E+00,-8.66E-01,-2.90E+00,-1.09E+01,-1.03E+01,-2.69E+00,,,,,150,3.88E+10
3.88E+01,-1.08E+01,-9.87E+00,5.32E+00,-1.26E+00,9.92E-01,-2.34E+00,-9.35E+00,-2.76E-01,6.76E+00,,,,,150,3.88E+10
3.89E+01,-8.81E+00,-3.06E+00,4.82E+00,-6.89E-01,1.06E+00,-9.82E-01,-8.42E+00,6.51E+00,6.92E+00,,,,,150,3.89E+10
3.89E+01,-6.24E+00,1.41E+00,3.16E+00,3.34E-01,-4.15E-01,1.16E+00,-5.91E+00,1.09E+01,5.40E+00,,,,,150,3.89E+10
3.90E+01,1.29E+00,4.62E+00,4.99E+00,1.11E+00,-3.78E-01,2.12E+00,2.49E+00,1.41E+01,6.99E+00,,,,,150,3.90E+10
3.90E+01,2.11E+00,-1.03E+00,-1.54E+00,2.22E+00,6.90E-02,1.04E+00,4.17E+00,8.48E+00,-3.60E-01,,,,,150,3.90E+10
3.91E+01,-2.54E+01,-2.30E+01,3.54E+00,3.22E+00,-1.09E+00,3.50E+00,-2.26E+01,-1.36E+01,3.65E+00,,,,,150,3.91E+10
3.91E+01,-1.47E+01,-3.30E+01,-2.85E+00,1.49E+00,8.97E-01,2.41E+00,-9.33E+00,-2.48E+01,-3.53E+00,,,,,150,3.91E+10
3.92E+01,-2.92E+00,-6.18E+00,-3.69E+00,-8.74E-01,-1.42E+00,1.97E+00,3.33E+00,1.31E+00,-4.68E+00,,,,,150,3.92E+10
3.92E+01,3.93E+00,-4.86E+00,-5.74E+00,-1.54E+00,-2.12E+00,-8.77E-01,1.04E+01,2.38E+00,-6.97E+00,,,,,150,3.92E+10
3.93E+01,1.01E+01,-4.88E-01,2.83E+00,-9.83E-01,1.70E+00,-4.27E+00,1.57E+01,7.52E+00,2.14E+00,,,,,150,3.93E+10
3.93E+01,-6.33E+00,6.27E+00,9.72E+00,1.07E+00,-7.57E+00,-3.79E+00,-2.87E+00,1.54E+01,8.47E+00,,,,,150,3.93E+10
3.94E+01,-5.00E+00,-4.99E+00,-3.14E-01,-1.12E-01,7.55E+00,3.00E+00,-2.01E+00,4.15E+00,-2.24E+00,,,,,150,3.94E+10
3.94E+01,2.86E+00,-3.57E+00,-1.23E+01,1.11E+00,1.49E+00,1.25E+00,7.53E+00,5.02E+00,-1.30E+01,,,,,150,3.94E+10
3.95E+01,5.30E+00,-3.20E+01,-1.17E+01,-1.84E+00,-1.61E+00,-3.82E-01,1.03E+01,-2.36E+01,-1.25E+01,,,,,150,3.95E+10
3.95E+01,9.55E-01,-2.45E+01,2.06E-01,-1.09E+00,-1.11E+00,-3.97E+00,4.96E+00,-1.56E+01,1.32E-01,,,,,150,3.95E+10
3.96E+01,-1.15E+01,-2.08E+01,-4.29E+00,-2.49E+00,-2.83E-01,-3.25E+00,-9.23E+00,-1.12E+01,-3.88E+00,,,,,150,3.96E+10
3.96E+01,-9.07E+00,-1.05E+01,3.95E+00,-1.38E+00,8.13E-01,-2.05E+00,-8.21E+00,-8.85E-01,5.72E+00,,,,,150,3.96E+10
3.97E+01,-8.95E+00,-2.90E+00,4.73E+00,-3.20E-01,1.07E+00,-8.92E-01,-9.05E+00,6.61E+00,7.11E+00,,,,,150,3.97E+10
3.97E+01,-7.02E+00,1.14E+00,2.70E+00,3.23E-01,-1.16E-01,9.96E-01,-7.21E+00,1.07E+01,5.04E+00,,,,,150,3.97E+10
3.98E+01,-1.09E+00,5.06E+00,3.93E+00,8.54E-01,-2.21E-01,2.46E+00,-4.34E-01,1.46E+01,6.10E+00,,,,,150,3.98E+10
3.98E+01,8.55E-01,2.59E-01,-6.51E-01,1.80E+00,-5.85E-01,2.07E+00,2.68E+00,9.78E+00,8.45E-01,,,,,150,3.98E+10
3.99E+01,-2.06E+01,-2.17E+01,1.15E+00,3.19E+00,-4.42E-01,4.41E+00,-1.76E+01,-1.24E+01,1.63E+00,,,,,150,3.99E+10
3.99E+01,-1.60E+01,-3.45E+01,2.94E-01,9.10E-01,2.21E+00,2.71E+00,-1.07E+01,-2.62E+01,1.57E-01,,,,,150,3.99E+10
4.00E+01,-1.39E+00,-5.43E+00,-2.25E+00,-8.14E-01,-1.91E+00,1.66E+00,4.85E+00,2.13E+00,-2.56E+00,,,,,150,4.00E+10
4.00E+01,6.69E+00,-4.36E+00,-5.58E+00,-1.26E+00,-1.89E+00,-1.03E+00,1.31E+01,3.02E+00,-6.24E+00,,,,,150,4.00E+10
4.01E+01,7.80E+00,8.04E-01,1.21E+00,-6.97E-01,9.65E-01,-4.61E+00,1.31E+01,9.04E+00,1.10E+00,,,,,150,4.01E+10
4.01E+01,-7.42E+00,7.17E+00,7.32E+00,1.48E+00,-6.26E+00,-3.29E+00,-4.11E+00,1.64E+01,6.61E+00,,,,,150,4.01E+10
4.02E+01,-6.27E+00,-5.16E+00,5.99E-01,-2.59E-01,5.66E+00,3.02E+00,-3.11E+00,4.03E+00,-6.94E-01,,,,,150,4.02E+10
4.02E+01,5.56E+00,-4.65E+00,-9.88E+00,1.99E-01,1.10E+00,1.59E+00,1.03E+01,3.94E+00,-1.03E+01,,,,,150,4.02E+10
4.03E+01,9.32E+00,-2.98E+01,-1.37E+01,-1.78E+00,-5.26E-01,-9.61E-01,1.43E+01,-2.14E+01,-1.38E+01,,,,,150,4.03E+10
4.03E+01,2.61E-01,-2.62E+01,-8.36E-01,1.48E-01,-1.16E+00,-4.14E+00,1.31E+01,-2.07E+01,-1.34E+01,,,,,150,4.03E+10
4.04E+01,-1.25E+01,-2.31E+01,-1.90E+00,-2.97E+00,2.80E-01,-2.41E+00,-1.02E+01,-1.36E+01,-9.68E-01,,,,,150,4.04E+10
4.04E+01,-1.06E+01,-9.51E+00,3.28E+00,-1.27E+00,1.49E+00,-1.83E+00,-9.49E+00,-4.00E-02,5.58E+00,,,,,150,4.04E+10
4.05E+01,-1.06E+01,-2.88E+00,3.94E+00,-3.61E-01,1.28E+00,-6.85E-01,-1.05E+01,6.49E+00,6.83E+00,,,,,150,4.05E+10
4.05E+01,-7.11E+00,2.19E+00,4.30E+00,4.38E-01,4.26E-01,1.56E+00,-6.86E+00,1.16E+01,7.18E+00,,,,,150,4.05E+10
4.06E+01,1.59E+00,3.02E+00,3.34E+00,1.29E+00,-1.35E+00,2.40E+00,2.90E+00,1.24E+01,5.89E+00,,,,,150,4.06E+10
4.06E+01,1.53E+00,-8.24E-01,-1.81E+00,2.40E+00,1.59E-01,1.41E+00,3.87E+00,8.57E+00,-2.35E-01,,,,,150,4.06E+10
4.07E+01,-2.37E+01,-2.24E+01,2.00E+00,2.91E+00,-2.46E-01,4.43E+00,-2.04E+01,-1.31E+01,2.49E+00,,,,,150,4.07E+10
4.07E+01,-1.57E+01,-3.07E+01,-1.31E+00,1.34E+00,1.49E+00,3.23E+00,-9.98E+00,-2.28E+01,-1.38E+00,,,,,150,4.07E+10
4.08E+01,-2.68E-01,-7.23E+00,-2.66E+00,-1.02E+00,-1.74E+00,1.23E+00,6.41E+00,-5.87E-02,-2.94E+00,,,,,150,4.08E+10
4.08E+01,6.84E+00,-4.00E+00,-5.05E+00,-1.32E+00,-1.91E+00,-1.40E+00,1.35E+01,3.14E+00,-5.64E+00,,,,,150,4.08E+10
4.09E+01,5.42E+00,1.54E+00,4.93E+00,-2.62E-01,4.02E-01,-4.41E+00,1.10E+01,9.62E+00,4.81E+00,,,,,150,4.09E+10
4.09E+01,-8.44E+00,6.55E+00,2.04E+00,1.33E+00,-4.12E+00,-2.49E+00,-4.70E+00,1.56E+01,1.05E+00,,,,,150,4.09E+10
4.10E+01,-4.23E+00,-5.59E+00,5.82E-01,-2.95E-01,4.60E+00,3.13E+00,-2.13E-01,3.29E+00,-5.38E-01,,,,,150,4.10E+10
4.10E+01,3.68E+00,-4.65E+00,-8.11E+00,5.01E-01,9.77E-01,1.12E+00,9.03E+00,3.57E+00,-8.48E+00,,,,,150,4.10E+10
4.11E+01,4.18E+00,-3.34E+01,-6.96E+00,-1.13E+00,2.03E-01,-1.13E+00,9.66E+00,-2.53E+01,-7.15E+00,,,,,150,4.11E+10
4.11E+01,1.17E-01,-2.23E+01,-1.91E+00,-1.01E+00,-1.69E+00,-4.00E+00,4.40E+00,-1.35E+01,-1.67E+00,,,,,150,4.11E+10
4.12E+01,-1.35E+01,-2.21E+01,-5.53E+00,-2.49E+00,-3.90E-01,-3.08E+00,-1.09E+01,-1.27E+01,-4.86E+00,,,,,150,4.12E+10
4.12E+01,-9.81E+00,-1.10E+01,3.62E+00,-1.20E+00,7.78E-01,-2.59E+00,-8.64E+00,-1.46E+00,5.67E+00,,,,,150,4.12E+10
4.13E+01,-8.14E+00,-4.26E+00,2.97E+00,-3.75E-01,1.04E+00,-8.36E-01,-8.03E+00,5.19E+00,5.60E+00,,,,,150,4.13E+10
4.13E+01,-7.57E+00,2.09E+00,3.12E+00,3.09E-01,6.11E-02,7.43E-01,-7.54E+00,1.15E+01,5.78E+00,,,,,150,4.13E+10
4.14E+01,-6.03E-01,6.14E+00,3.39E+00,9.90E-01,-4.10E-01,2.39E+00,1.51E-01,1.56E+01,5.86E+00,,,,,150,4.14E+10
4.14E+01,1.28E+00,-5.99E-02,-1.75E+00,1.81E+00,-3.98E-01,2.06E+00,3.17E+00,9.40E+00,3.06E-02,,,,,150,4.14E+10
4.15E+01,-2.29E+01,-2.15E+01,2.74E+00,3.48E+00,-1.08E+00,4.78E+00,-1.98E+01,-1.22E+01,3.55E+00,,,,,150,4.15E+10
4.15E+01,-1.67E+01,-3.47E+01,-1.92E+00,1.08E+00,1.48E+00,2.89E+00,-1.11E+01,-2.66E+01,-1.84E+00,,,,,150,4.15E+10
4.16E+01,-1.84E+00,-8.06E+00,-2.87E+00,-9.76E-01,-1.82E+00,1.91E+00,4.75E+00,-7.94E-01,-2.98E+00,,,,,150,4.16E+10
4.16E+01,6.04E+00,-5.65E+00,-3.73E+00,-1.14E+00,-1.93E+00,-6.14E-01,1.30E+01,1.30E+00,-4.20E+00,,,,,150,4.16E+10
4.17E+01,7.56E+00,3.50E-01,6.94E-01,-4.93E-01,8.17E-01,-4.19E+00,1.36E+01,8.04E+00,4.38E-01,,,,,150,4.17E+10
4.17E+01,-4.62E+00,8.37E+00,5.78E+00,1.18E+00,-4.26E+00,-3.04E+00,-2.65E-01,1.71E+01,5.01E+00,,,,,150,4.17E+10
4.18E+01,-6.23E+00,-4.97E+00,-1.43E+00,-3.08E-02,4.53E+00,2.56E+00,-2.09E+00,3.84E+00,-2.65E+00,,,,,150,4.18E+10
4.18E+01,2.61E+00,-4.86E+00,-7.85E+00,2.32E-01,1.75E+00,1.25E+00,7.99E+00,3.33E+00,-8.20E+00,,,,,150,4.18E+10
4.19E+01,2.38E+00,-3.79E+01,-1.07E+01,-1.55E+00,-5.83E-01,-7.86E-01,7.99E+00,-2.98E+01,-1.08E+01,,,,,150,4.19E+10
4.19E+01,1.93E+00,-2.12E+01,-2.07E+00,-8.37E-01,-1.17E+00,-4.73E+00,6.34E+00,-1.25E+01,-1.70E+00,,,,,150,4.19E+10
4.20E+01,-1.10E+01,-2.17E+01,-6.20E+00,-2.07E+00,-5.11E-01,-3.12E+00,-8.45E+00,-1.23E+01,-5.41E+00,,,,,150,4.20E+10
4.20E+01,-1.38E+01,-1.05E+01,5.54E+00,-7.97E-01,2.02E+00,-2.01E+00,-1.27E+01,-9.89E-01,7.53E+00,,,,,150,4.20E+10
4.21E+01,-9.96E+00,-2.20E+00,3.32E+00,-5.23E-01,1.15E+00,-1.03E+00,-9.85E+00,7.30E+00,5.77E+00,,,,,150,4.21E+10
4.21E+01,-7.22E+00,2.69E+00,3.83E+00,-7.91E-02,-1.42E-01,9.90E-01,-7.18E+00,1.21E+01,6.44E+00,,,,,150,4.21E+10
4.22E+01,1.20E-01,5.86E+00,4.55E+00,9.56E-01,-8.37E-01,2.24E+00,1.04E+00,1.53E+01,7.04E+00,,,,,150,4.22E+10
4.22E+01,1.41E+00,-9.67E-01,-1.13E+00,1.88E+00,-2.57E-01,2.00E+00,3.40E+00,8.47E+00,6.36E-01,,,,,150,4.22E+10
4.23E+01,-2.78E+01,-3.05E+01,-2.91E+00,3.54E+00,-3.65E-01,5.73E+00,-2.46E+01,-2.13E+01,-2.21E+00,,,,,150,4.23E+10
